date,SO2_mean,NO2_mean,NOX_mean,NO_mean
2011-01-01,3.083,3.354,5.084,1.729
2011-01-02,2.125,1.25,2.48,1.229
2011-01-03,1.808,1.188,2.375,1.188
2011-01-04,1.917,3.812,6.416,2.604
2011-01-05,1.842,3.938,7.604,3.667
2011-01-06,2.1,5.521,12.208,6.688
2011-01-07,2.35,4.208,6.75,2.542
2011-01-08,2.433,3.188,5.458,2.271
2011-01-09,2.35,2.979,5.25,2.271
2011-01-10,2.244,2.992,5.812,2.82
2011-01-11,1.951,2.127,4.221,2.094
2011-01-12,1.99,4.188,7.312,3.125
2011-01-13,3.367,4.438,7.666,3.23
2011-01-14,2.166,3.479,6.792,3.312
2011-01-15,1.983,3.5,7.438,3.938
2011-01-16,2.058,4.334,7.875,3.542
2011-01-17,2.142,6.083,10.021,3.938
2011-01-18,2.15,4.604,7.23,2.625
2011-01-19,2.25,6.587,10.37,3.782
2011-01-20,3.267,7.333,10.75,3.416
2011-01-21,2.534,3.021,4.688,1.666
2011-01-22,1.8,1.166,2.166,1.0
2011-01-23,2.433,3.354,6.375,3.02
2011-01-24,2.373,3.269,5.779,2.51
2011-01-25,2.263,4.762,7.604,2.842
2011-01-26,2.485,4.271,6.417,2.146
2011-01-27,2.3,4.625,6.854,2.229
2011-01-28,2.4,5.438,9.062,3.625
2011-01-29,2.333,3.542,5.375,1.834
2011-01-30,3.125,4.271,7.042,2.771
2011-01-31,2.558,8.396,17.167,8.771
2011-02-01,2.217,4.5,7.854,3.354
2011-02-02,2.108,2.5,4.125,1.625
2011-02-03,2.225,5.312,9.125,3.812
2011-02-04,2.492,5.625,9.438,3.812
2011-02-05,2.617,4.688,9.208,4.521
2011-02-06,3.825,12.604,19.583,6.98
2011-02-07,4.352,9.894,18.054,8.16
2011-02-08,3.04,2.794,5.829,3.036
2011-02-09,2.41,3.583,6.417,2.833
2011-02-10,2.758,4.354,8.146,3.792
2011-02-11,2.275,4.854,9.771,4.916
2011-02-12,2.283,3.729,8.166,4.438
2011-02-13,2.8,7.391,12.892,5.5
2011-02-14,6.317,7.913,12.25,4.337
2011-02-15,5.408,3.584,6.646,3.062
2011-02-16,2.625,4.828,9.082,4.254
2011-02-17,2.317,6.458,11.646,5.188
2011-02-18,2.433,4.104,7.167,3.062
2011-02-19,2.258,3.916,6.583,2.666
2011-02-20,3.058,4.625,7.979,3.354
2011-02-21,3.238,3.144,6.396,3.254
2011-02-22,2.928,6.365,9.998,3.633
2011-02-23,5.091,6.604,9.812,3.208
2011-02-24,3.192,3.771,5.771,2.0
2011-02-25,2.608,3.458,4.834,1.375
2011-02-26,2.25,2.792,4.125,1.334
2011-02-27,2.133,3.438,5.0,1.562
