date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,12.812,14.958,2.146,2.521,23.979,188.583,89.0,75.875,59.0,7.333,,9.1,6.25,3.9,195.917
2011-01-02,8.196,10.0,1.804,1.761,12.208,187.87,89.0,67.5,49.0,6.87,,8.8,4.742,0.5,194.739
2011-01-03,11.5,12.854,1.354,4.688,29.292,190.667,84.0,65.917,44.0,8.375,,9.0,5.558,3.4,199.042
2011-01-04,14.688,16.73,2.042,3.166,22.354,189.417,91.0,71.875,54.0,8.583,,4.5,2.525,0.6,198.0
2011-01-05,14.413,18.37,3.956,1.696,15.74,188.304,86.0,71.708,46.0,10.609,,6.5,1.25,-2.2,198.913
2011-01-06,22.396,37.125,14.73,1.542,12.75,188.625,86.0,73.708,52.0,11.792,,8.1,2.058,-2.5,200.417
2011-01-07,13.98,19.625,5.646,0.646,5.77,188.375,90.0,73.375,45.0,9.583,,9.3,3.7,-1.2,197.958
2011-01-08,7.521,8.042,0.521,0.604,5.75,187.542,81.0,65.333,47.0,7.167,,10.1,4.925,0.1,194.708
2011-01-09,14.5,21.196,6.696,4.109,26.833,191.522,93.0,72.167,40.0,6.043,,10.8,5.204,1.3,197.565
2011-01-10,19.146,24.208,5.062,4.208,39.5,192.375,88.0,75.292,57.0,7.833,,9.7,4.283,-0.9,200.208
2011-01-11,15.956,17.956,2.0,3.23,19.104,188.522,83.0,61.167,43.0,4.87,,7.4,4.15,-0.7,193.391
2011-01-12,21.792,29.625,7.834,2.625,12.562,189.667,86.0,74.375,57.0,5.625,,7.5,2.475,-2.3,195.292
2011-01-13,18.708,22.396,3.688,5.521,24.562,189.75,87.0,67.583,49.0,4.875,,7.4,4.204,1.1,194.625
2011-01-14,17.792,27.0,9.208,1.979,24.729,189.792,88.0,68.958,40.0,6.792,,9.8,3.454,-1.1,196.583
2011-01-15,18.584,23.5,4.916,2.416,13.416,188.375,84.0,70.625,53.0,4.833,,8.2,4.25,0.9,193.208
2011-01-16,9.152,9.978,0.826,0.587,9.229,187.087,91.0,77.292,60.0,5.217,,6.7,4.442,0.6,192.304
2011-01-17,11.292,16.125,4.834,0.434,8.282,185.5,94.0,77.292,46.0,6.667,,10.6,3.733,-1.3,192.167
2011-01-18,21.646,28.708,7.062,3.083,11.958,185.75,90.0,67.417,46.0,8.708,,11.1,6.125,0.3,194.458
2011-01-19,14.75,15.666,0.917,2.166,11.396,184.917,92.0,86.458,57.0,5.167,,9.2,6.854,5.9,190.083
2011-01-20,6.125,7.021,0.896,0.292,2.938,183.167,84.0,68.458,57.0,2.958,,12.0,9.425,5.3,186.125
2011-01-21,12.875,15.125,2.25,0.521,5.354,183.5,90.0,76.625,58.0,11.208,,11.7,7.262,3.8,194.708
2011-01-22,11.334,13.729,2.396,1.771,7.625,184.5,92.0,75.292,55.0,5.0,,12.7,7.812,3.4,189.5
