date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,PM25_mean
2011-01-01,87.0,69.625,43.0,17.6875,28.646,10.9585,20.271,70.0,-9.333,-59.0,17.083
2011-01-02,95.0,87.542,73.0,11.229,16.1455,4.9165,13.3125,24.0,-11.0,-47.0,9.958
2011-01-03,95.0,78.25,57.0,10.9375,15.729,4.792,8.667,32.0,-15.625,-65.0,4.292
2011-01-04,96.0,81.958,72.0,11.617,17.3635,5.7465,13.0,19.0,-14.042,-38.0,7.292
2011-01-05,96.0,80.0,54.0,11.333,16.979,5.646,10.479,16.0,-20.75,-54.0,5.208
2011-01-06,90.0,72.833,45.0,19.435000000000002,34.0,14.565,11.223500000000001,43.0,-18.292,-81.0,7.391
2011-01-07,89.0,67.208,35.0,6.9795,10.1875,3.2085,7.2915,31.0,-5.833,-48.0,3.333
2011-01-08,89.0,73.5,45.0,12.9375,19.375,6.4375,9.479,31.0,-26.667,-77.0,6.375
2011-01-09,88.0,73.167,48.0,19.104,37.479,18.375,19.0,73.0,-12.458,-74.0,17.167
2011-01-10,93.0,77.375,47.0,24.396,51.7915,27.396,17.9585,62.0,-0.625,-48.0,15.792
2011-01-11,93.0,74.792,55.0,14.4865,36.420500000000004,21.934,12.875,35.0,-12.75,-38.0,10.208
2011-01-12,86.0,66.958,44.0,13.979,22.417,8.4375,8.5415,14.0,-33.542,-67.0,4.208
2011-01-13,84.0,69.667,42.0,18.479,36.6665,18.1875,13.229,58.0,-20.167,-96.0,9.0
2011-01-14,90.0,68.375,48.0,9.625,15.8335,6.2085,11.8545,26.0,-8.5,-27.0,7.792
2011-01-15,92.0,71.708,43.0,7.271,11.4585,4.1875,9.1875,52.0,1.958,-30.0,6.833
2011-01-16,77.0,66.5,55.0,9.146,14.875,5.729,14.875,13.0,-6.167,-23.0,11.208
2011-01-17,81.0,63.125,41.0,12.2295,19.896,7.6665,11.521,34.0,-4.708,-47.0,7.583
2011-01-18,84.0,63.833,34.0,24.3785,51.1435,26.764499999999998,16.771,69.0,-14.208,-78.0,12.833
2011-01-19,99.0,70.909,46.0,24.521,58.1875,33.6665,23.75,61.0,0.583,-66.0,20.75
2011-01-20,94.0,80.364,75.0,13.0,19.2705,6.2705,11.4375,22.0,7.708,-2.0,6.625
2011-01-21,100.0,96.824,92.0,20.979,32.833,11.854,14.292000000000002,22.0,6.792,-4.0,11.708
2011-01-22,100.0,93.231,82.0,19.1875,31.896,12.7085,20.25,57.0,20.583,4.0,15.583
2011-01-23,99.0,72.318,54.0,7.6875,13.5,5.8125,6.75,55.0,17.833,-16.0,3.5
2011-01-24,84.0,66.958,42.0,12.125,20.9165,8.7915,9.75,23.0,-15.75,-38.0,6.458
2011-01-25,92.0,71.083,43.0,18.423000000000002,32.760000000000005,14.337,11.896,24.0,-17.125,-59.0,10.958
2011-01-26,96.0,79.333,60.0,14.4375,23.479,9.042,9.0,-2.0,-30.417,-68.0,7.5
2011-01-27,93.0,84.917,74.0,21.125,35.042,13.9165,15.125,8.0,-37.875,-79.0,15.417
2011-01-28,98.0,76.5,54.0,8.104,12.854,4.75,11.4375,2.0,-27.333,-48.0,9.75
2011-01-29,87.0,71.792,50.0,5.5835,8.6875,3.104,8.208,6.0,-32.542,-61.0,6.167
2011-01-30,87.0,69.0,40.0,18.1455,28.875,10.729,10.729,13.0,-35.833,-85.0,8.792
2011-01-31,85.0,70.458,36.0,17.583,28.583,11.0,13.229,35.0,-30.917,-72.0,11.042
2011-02-01,88.0,69.125,47.0,10.826,14.921,4.095000000000001,10.6045,41.0,-13.125,-65.0,7.5
2011-02-02,94.0,63.917,34.0,9.904,16.4675,6.563000000000001,10.771,-21.0,-44.625,-76.0,7.542
2011-02-03,73.0,54.125,27.0,20.625,36.083,15.4585,11.9165,24.0,-48.583,-116.0,8.875
2011-02-04,89.0,65.958,35.0,15.4165,28.521,13.104,12.9165,53.0,-14.458,-82.0,11.083
2011-02-05,92.0,71.125,44.0,13.270499999999998,19.5,6.229,15.125,48.0,-3.667,-54.0,11.958
2011-02-06,95.0,83.727,63.0,24.0,42.25,18.25,31.375,49.0,1.167,-62.0,28.458
