date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min,SO2_mean
2011-01-01,192.75,6.375,15.917,12.985999999999999,18.403000000000002,5.416999999999999,22.333,23.861,208.667,81.0,69.625,57.0,95.0,64.625,35.0,2.125
2011-01-02,190.958,5.208,11.083,7.819333333333333,11.069333333333333,3.25,15.0,18.694333333333333,202.042,91.0,63.625,44.0,87.0,47.0,12.0,1.167
2011-01-03,196.208,5.917,13.25,10.833333333333334,14.722333333333333,3.889,28.333,32.111,209.458,86.0,63.958,36.0,105.0,53.667,24.0,3.917
2011-01-04,194.5,5.875,11.292,10.613,13.883666666666668,3.2703333333333333,24.625,28.277666666666665,205.792,94.0,76.542,50.0,49.0,26.542,11.0,2.091
2011-01-05,191.13,7.958,23.435,21.203333333333333,35.60333333333333,14.400333333333334,17.917,22.416666666666668,214.565,98.0,80.417,48.0,68.0,28.417,2.0,1.25
2011-01-06,190.375,8.261,23.333,25.107,46.23666666666667,21.129666666666665,15.333,17.903000000000002,213.708,94.0,75.75,48.0,81.0,30.583,-8.0,1.0
2011-01-07,189.583,6.0,13.917,15.110999999999999,26.430666666666667,11.319666666666668,8.083,12.666666666666666,203.5,90.0,72.417,49.0,92.0,45.375,12.0,0.125
2011-01-08,190.833,7.208,17.0,15.375333333333336,24.069333333333333,8.694333333333335,10.5,13.653,207.833,87.0,64.833,36.0,99.0,54.458,10.0,1.083
2011-01-09,194.167,7.458,19.375,20.083,30.305333333333333,10.222333333333333,26.542,32.56933333333333,213.542,87.0,64.708,40.0,104.0,66.75,36.0,3.792
2011-01-10,195.167,9.583,23.083,24.236,41.583333333333336,17.346999999999998,40.125,44.75,218.25,86.0,67.167,44.0,101.0,61.875,21.0,4.667
2011-01-11,190.5,6.208,14.125,16.280333333333335,25.135,8.855,19.708,25.079666666666668,204.625,85.0,62.667,33.0,85.0,50.833,18.0,1.227
2011-01-12,191.739,7.333,20.565,20.770333333333337,36.736,15.966000000000001,10.583,13.319333333333333,212.304,88.0,67.875,41.0,77.0,39.458,2.0,1.208
