date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,13.791666666666666,17.208333333333332,3.4166666666666665,,4.1875,14.805666666666667,197.152,3.792,70.0,62.125,46.0,18.978499999999997,0.0,115.0,75.375,30.0,216.13049999999998
2011-01-02,6.069333333333333,7.014,0.9443333333333334,,4.5,11.291333333333334,194.0435,3.25,73.0,58.667,50.0,13.195500000000001,0.0,98.0,77.75,63.0,207.239
2011-01-03,8.164,9.756,1.5923333333333334,,4.5,14.777666666666667,191.739,3.042,73.0,56.875,48.0,9.891,1.0,98.0,72.458,43.0,201.63049999999998
2011-01-04,6.701666666666667,7.9433333333333325,1.2413333333333334,,6.289,19.950666666666667,193.3185,3.478,72.0,56.625,39.0,12.282499999999999,0.0,81.0,62.708,40.0,205.6015
2011-01-05,18.445,25.445000000000004,7.0,,4.0489999999999995,10.654333333333334,194.065,3.792,83.0,70.083,51.0,19.522,2.0,89.0,54.292,36.0,213.587
2011-01-06,16.074666666666666,21.101333333333333,5.026666666666666,,4.4165,11.930666666666667,190.5985,2.792,75.0,58.208,42.0,14.2305,0.0,101.0,76.292,56.0,204.829
2011-01-07,12.028,15.152666666666667,3.1246666666666667,,3.2705,8.292,194.196,2.087,66.0,57.417,42.0,13.3695,0.0,94.0,66.292,42.0,207.565
2011-01-08,17.444666666666667,24.333,6.889,,3.0835,8.958333333333334,197.6955,3.792,76.0,61.042,44.0,18.6525,0.0,98.0,53.125,20.0,216.348
2011-01-09,21.125,30.305666666666667,9.180333333333333,,4.8545,18.194333333333333,199.674,4.417,77.0,62.333,50.0,22.022,0.0,116.0,74.5,39.0,221.6955
2011-01-10,26.916666666666668,47.833333333333336,20.916666666666668,,5.7915,29.541666666666668,198.739,5.75,84.0,66.042,47.0,24.3915,0.0,111.0,71.833,28.0,223.13049999999998
2011-01-11,12.731,15.435333333333332,2.7046666666666668,,5.6105,21.30333333333333,193.25099999999998,3.19,66.0,56.917,45.0,13.4805,0.0,106.0,77.708,36.0,206.7315
2011-01-12,21.291666666666668,32.69433333333333,11.403,,3.4375,8.403,195.022,3.167,67.0,53.292,39.0,15.761000000000001,0.0,80.0,48.542,18.0,210.78250000000003
2011-01-13,17.694666666666667,27.518333333333334,9.824,,5.5625,16.746,192.325,3.208,69.0,57.542,49.0,17.5445,0.0,102.0,78.25,43.0,209.86950000000002
2011-01-14,14.097333333333333,18.125,4.027666666666667,,8.604,36.65266666666667,195.239,4.348,64.0,56.333,50.0,18.195500000000003,0.0,92.0,79.917,68.0,213.4345
2011-01-15,14.527666666666667,18.819333333333333,4.291666666666667,,4.292,13.236333333333334,195.9565,3.333,71.0,59.542,52.0,16.738999999999997,0.0,88.0,71.958,42.0,212.696
2011-01-16,16.125,22.194666666666667,6.069333333333333,,3.0625,12.305666666666667,194.4565,2.625,81.0,57.292,46.0,15.782499999999999,0.0,66.0,58.125,33.0,210.23899999999998
2011-01-17,17.605999999999998,28.399666666666665,10.793333333333331,,3.021,10.402666666666667,193.196,3.083,88.0,61.208,36.0,16.869500000000002,0.0,109.0,61.708,26.0,210.065
2011-01-18,37.843333333333334,79.09633333333333,41.25366666666667,,5.5,23.296333333333333,202.63049999999998,6.0,80.0,61.542,38.0,47.087,0.0,107.0,58.25,8.0,249.7175
2011-01-19,32.203,52.501666666666665,20.299,,3.5415,21.596999999999998,196.505,4.375,89.0,74.417,59.0,36.928,23.0,78.0,66.375,56.0,233.433
