date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,6.0835,8.4375,2.354,7.9585,196.542,2.708,9.458,206.0
2011-01-02,4.354,6.125,1.771,7.8125,191.875,3.042,7.292,199.167
2011-01-03,4.896,7.625,2.729,4.2085,194.13,2.708,8.391,202.522
2011-01-04,4.7765,6.943,2.1665,17.4375,191.458,3.458,7.75,199.208
2011-01-05,7.646,12.146,4.5,4.4795,193.792,2.292,8.083,201.875
2011-01-06,16.9375,31.6455,14.707999999999998,7.7915,197.5,3.0,10.917,208.417
2011-01-07,19.335,40.817,21.4815,7.3125,196.167,3.435,12.542,208.708
2011-01-08,11.6455,16.9795,5.333,7.5205,197.75,3.167,13.417,211.167
2011-01-09,15.4585,25.8125,10.354,10.729,199.208,3.25,11.917,211.125
2011-01-10,19.9585,38.3955,18.4375,13.875,197.0,3.458,13.13,210.13
2011-01-11,17.3975,35.6285,18.231,11.479,193.208,3.375,11.667,204.875
2011-01-12,21.4165,40.0,18.5835,6.6045,197.5,3.0,12.455,209.955
2011-01-13,15.604,29.6875,14.0835,7.4165,192.917,3.0,10.917,203.833
2011-01-14,12.261,26.4665,14.206,11.8335,190.833,3.957,10.958,201.792
2011-01-15,12.833,20.521,7.6875,11.792,195.792,3.708,11.958,207.75
2011-01-16,23.0,47.917,24.9165,13.542,194.458,3.75,14.667,209.125
2011-01-17,16.542,28.0835,11.5415,9.9795,189.565,2.667,18.217,207.783
2011-01-18,20.53,55.6215,35.0915,14.1875,192.75,3.75,20.292,213.042
2011-01-19,14.5275,32.132000000000005,17.604,10.6455,192.667,2.889,18.5,211.167
2011-01-20,18.621000000000002,28.275,9.654,4.3125,186.75,2.7,13.167,199.917
2011-01-21,16.095,25.0075,8.9125,4.6665,188.75,2.565,11.125,199.875
2011-01-22,10.5205,20.5,9.979,5.8125,193.5,3.125,13.917,207.417
2011-01-23,13.792000000000002,35.104,21.3125,7.6875,193.542,3.25,11.917,205.458
2011-01-24,15.1665,32.896,17.7295,5.3955,193.217,2.875,11.783,205.0
2011-01-25,8.5455,13.7425,5.1975,6.5585,189.833,2.417,9.458,199.292
2011-01-26,11.771,22.354,10.582999999999998,6.271,193.333,2.583,10.333,203.667
2011-01-27,9.333,15.2915,5.9585,10.396,191.833,2.667,9.542,201.375
2011-01-28,12.613499999999998,20.415,7.8015,16.292,194.208,3.522,11.958,206.167
2011-01-29,11.5,17.7295,6.229,11.1875,195.042,3.083,11.542,206.583
2011-01-30,17.860999999999997,34.2015,16.340500000000002,8.417,195.542,3.0,11.292,206.833
2011-01-31,13.021,19.479,6.4585,4.5,190.739,2.25,9.261,200.0
2011-02-01,15.485500000000002,28.323999999999998,12.839,13.0625,191.583,2.917,11.292,202.875
