date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,194.125,,,,6.417,6.042,7.625,1.583,13.042,,,,200.542
2011-01-02,191.333,,,,5.458,7.083,8.792,1.708,12.25,,,,196.792
2011-01-03,191.292,,,,3.125,5.917,7.0,1.083,8.5,,,,194.417
2011-01-04,191.292,,,,3.042,3.458,4.125,0.667,15.042,,,,194.333
2011-01-05,193.435,,,,3.13,4.083,4.958,0.875,7.583,,,,196.565
2011-01-06,195.5,,,,3.917,10.478,13.174,2.696,10.0,,,,199.417
2011-01-07,194.167,,,,3.708,7.75,9.667,1.917,7.708,,,,197.875
2011-01-08,195.958,,,,3.167,6.083,8.042,1.958,8.542,,,,199.125
2011-01-09,199.792,,,,8.125,13.458,16.958,3.5,22.292,,,,207.917
2011-01-10,194.75,,,,7.208,9.833,12.417,2.583,16.042,,,,201.958
2011-01-11,197.042,,,,12.875,16.083,25.542,9.458,19.542,,,,209.917
2011-01-12,192.957,,,,8.826,8.333,10.625,2.292,10.0,,,,201.783
2011-01-13,194.208,,,,14.958,15.043,21.565,6.522,14.125,,,,209.167
2011-01-14,194.792,,,,9.667,7.333,9.083,1.75,11.208,,,,204.458
2011-01-15,196.75,,,,8.833,7.417,8.625,1.208,11.292,,,,205.583
2011-01-16,195.458,,,,8.5,8.0,10.458,2.458,13.292,,,,203.958
2011-01-17,193.167,,,,6.542,4.167,5.542,1.375,11.917,,,,199.708
2011-01-18,196.083,,,,12.958,13.792,21.417,7.625,18.667,,,,209.042
2011-01-19,234.043,,,,14.913,11.458,14.667,3.208,23.958,,,,248.957
2011-01-20,233.125,,,,9.583,7.087,8.652,1.565,14.25,,,,242.708
2011-01-21,233.583,,,,10.167,8.833,10.208,1.375,11.917,,,,243.75
2011-01-22,235.083,,,,14.292,8.542,10.083,1.542,10.375,,,,249.375
2011-01-23,233.75,,,,16.833,9.875,12.875,3.0,10.292,,,,250.583
2011-01-24,234.625,,,,9.167,6.792,8.833,2.042,7.708,,,,243.792
2011-01-25,232.542,,,,8.875,6.75,8.958,2.208,8.917,,,,241.417
2011-01-26,233.739,,,,9.217,9.667,12.625,2.958,12.667,,,,242.957
2011-01-27,232.958,,,,6.917,7.261,9.696,2.435,11.87,,,,239.875
2011-01-28,234.417,,,,7.083,7.083,8.917,1.833,15.167,,,,241.5
2011-01-29,232.125,,,,4.333,4.667,5.625,0.958,9.833,,,,236.458
2011-01-30,233.417,,,,5.333,7.792,10.25,2.458,10.458,,,,238.75
2011-01-31,234.625,,,,7.333,10.25,13.458,3.208,10.917,,,,241.958
2011-02-01,230.273,,,,6.682,4.25,5.208,0.958,15.167,,,,236.955
2011-02-02,215.471,,,,9.412,7.25,9.167,1.917,9.25,,,,224.882
2011-02-03,197.25,,,,11.542,5.217,7.0,1.783,9.042,,,,208.792
2011-02-04,193.958,,,,10.75,3.667,4.75,1.083,11.75,,,,204.708
2011-02-05,197.542,,,,12.958,6.167,7.625,1.458,13.5,,,,210.5
2011-02-06,199.625,,,,29.917,18.333,25.542,7.208,29.708,,,,229.542
2011-02-07,190.792,,,,26.958,12.458,18.708,6.25,39.625,,,,217.75
2011-02-08,191.417,,,,15.167,6.917,8.583,1.667,9.0,,,,206.583
