date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,PM25_mean,CO_mean
2011-01-01,191.292,11.042,16.6916,21.9666,5.2752,0.6526666666666666,11.875,202.333,,4.417
2011-01-02,188.542,6.375,7.9338,9.6092,1.6753999999999998,1.1526666666666667,12.5916,194.917,,4.042
2011-01-03,187.542,6.458,11.5084,14.3084,2.8,1.7220000000000002,15.7834,194.0,,4.042
2011-01-04,188.941,5.588,9.1996,11.5352,2.336,3.7246666666666663,23.7612,194.529,,4.261
2011-01-05,190.4,9.6,18.903799999999997,32.0728,13.169400000000001,0.17666666666666667,7.779999999999999,200.0,,4.304
2011-01-06,194.739,20.435,31.392000000000003,69.6282,38.2362,1.022,13.8666,215.174,,6.0
2011-01-07,188.75,5.583,9.8746,15.281,5.4064000000000005,0.31466666666666665,6.4168,194.333,,3.25
2011-01-08,192.208,13.458,18.6916,30.0998,11.408600000000002,0.014,7.266800000000001,205.667,,5.042
2011-01-09,194.083,14.375,21.7054,36.2158,14.510399999999999,1.7083333333333333,17.174799999999998,208.458,,5.542
2011-01-10,199.091,29.045,36.6666,84.71220000000001,48.0458,1.9996666666666665,32.083600000000004,228.136,,8.043
2011-01-11,188.125,7.833,17.083199999999998,29.85,12.7668,2.0276666666666667,23.9584,195.958,,4.478
2011-01-12,190.458,11.625,25.4332,51.24159999999999,25.8084,0.875,8.6584,202.083,,5.042
2011-01-13,193.957,24.652,25.2212,68.5894,43.3682,1.3403333333333334,16.1064,218.609,,6.125
2011-01-14,192.833,11.792,18.6586,26.3844,7.7256,2.942,29.4752,204.625,,6.0
2011-01-15,192.0,13.208,15.2,22.6166,7.4166,0.9443333333333334,13.008199999999999,205.208,,4.417
2011-01-16,190.083,10.125,18.9636,35.969,17.0052,0.375,12.025,200.208,,4.824
2011-01-17,192.273,17.091,24.661399999999997,54.788,30.1264,0.22633333333333336,16.1806,209.364,,4.833
2011-01-18,194.583,27.833,35.8584,84.9086,49.050200000000004,0.7083333333333334,13.749799999999999,222.417,,6.261
2011-01-19,191.625,25.833,37.0718,86.9992,49.9272,0.778,17.267000000000003,217.458,,6.167
2011-01-20,187.478,16.13,25.308,48.7106,23.4026,0.19500000000000003,8.7668,203.609,,4.708
2011-01-21,190.0,14.75,29.291800000000002,57.06700000000001,27.7752,0.145,15.024799999999999,204.75,,5.458
2011-01-22,191.625,16.083,21.9086,33.3206,11.4122,0.5416666666666666,12.583400000000001,207.708,,5.167
2011-01-23,187.875,8.333,11.552,17.73,6.1774000000000004,0.3056666666666667,3.95,196.208,,3.318
2011-01-24,186.773,5.864,11.0604,14.844999999999999,3.7846,0.13033333333333333,5.3352,192.636,,2.826
2011-01-25,188.417,7.042,15.3274,23.8962,8.5688,1.5556666666666665,15.5382,195.458,,3.609
