date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-01,15.333,22.056,6.722,,2.458,,192.5,18.239,210.739,5.542
2011-01-02,7.667,9.07,1.403,,1.084,,189.084,7.562,196.646,3.417
2011-01-03,11.458,14.708,3.25,,2.542,,189.958,10.125,200.083,4.125
2011-01-04,10.047,12.528,2.481,,2.854,,190.312,7.938,198.25,3.833
2011-01-05,16.847,24.244,7.397,,0.978,,188.608,12.5,201.109,4.0
2011-01-06,24.361,51.167,26.805,,1.48,,190.23,26.0,216.23,4.458
2011-01-07,21.704,41.454,19.75,,0.834,,190.396,17.125,207.521,5.348
2011-01-08,16.417,26.347,9.93,,0.938,,191.542,16.958,208.5,3.792
2011-01-09,20.375,31.639,11.264,,2.708,,193.542,20.354,213.896,5.083
2011-01-10,22.917,45.514,22.597,,3.875,,193.044,27.566,220.609,6.625
2011-01-11,14.68,21.955,7.275,,1.896,,188.583,8.458,197.042,3.75
2011-01-12,23.899,42.519,18.62,,2.914,,190.958,26.062,217.021,5.125
2011-01-13,19.278,39.569,20.292,,2.771,,189.958,19.312,209.271,4.875
2011-01-14,18.882,27.292,8.41,,2.688,,190.98,14.521,205.5,5.13
2011-01-15,16.875,22.986,6.111,,1.208,,190.218,13.87,204.087,4.042
2011-01-16,21.792,42.111,20.319,,1.042,,190.166,13.562,203.73,4.708
2011-01-17,26.139,59.389,33.25,,1.104,,190.375,24.02,214.396,5.75
2011-01-18,28.093,67.577,39.484,,1.998,,191.718,29.5,221.218,6.0
2011-01-19,26.267,64.106,37.839,,1.152,,189.542,21.667,211.208,5.333
2011-01-20,19.791,33.444,13.653,,0.834,,186.833,16.666,203.5,4.125
2011-01-21,23.639,43.497,19.858,,0.604,,187.667,19.125,206.792,5.391
2011-01-22,16.292,22.806,6.514,,2.792,,187.042,12.062,199.104,4.25
2011-01-23,9.958,13.403,3.445,,0.812,,189.091,7.44,196.53,2.167
2011-01-24,8.042,10.208,2.167,,1.16,,188.416,5.25,193.666,1.542
2011-01-25,14.894,22.829,7.935,,1.434,,190.334,13.166,203.5,3.417
2011-01-26,12.769,17.926,5.156,,0.63,,190.396,7.958,198.354,2.417
2011-01-27,21.792,33.361,11.569,,2.125,,192.104,20.23,212.334,4.417
2011-01-28,19.432,29.231,9.799,,1.479,,191.174,14.348,205.522,4.739
2011-01-29,17.569,26.917,9.347,,1.042,,191.146,15.77,206.916,4.458
2011-01-30,20.208,40.375,20.167,,0.708,,190.729,16.916,207.646,4.5
2011-01-31,22.75,41.611,18.861,,1.416,,189.458,19.458,208.917,4.458
2011-02-01,23.29,45.862,22.572,,1.438,,189.75,12.542,202.292,3.917
2011-02-02,11.053,14.454,3.401,,0.543,,188.759,5.314,194.074,1.958
2011-02-03,15.694,23.417,7.722,,1.479,,189.896,12.52,202.416,3.208
2011-02-04,18.877,30.33,11.453,,2.916,,191.312,12.812,204.125,4.87
2011-02-05,23.319,37.458,14.139,,3.312,,194.542,21.416,215.958,7.083
2011-02-06,24.486,44.708,20.222,,3.042,,191.958,17.334,209.292,6.833
2011-02-07,17.083,25.708,8.625,,1.062,,190.925,12.203,203.129,4.25
2011-02-08,7.356,9.702,2.346,,0.646,,189.042,4.834,193.875,1.583
2011-02-09,14.101,21.418,7.317,,0.608,,189.562,7.188,196.75,2.792
2011-02-10,20.153,37.68,17.528,,1.271,,190.438,16.938,207.375,4.417
2011-02-11,14.759,23.134,8.376,,0.875,,190.02,10.917,200.938,3.348
