date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,202.204,28.47,21.528,28.792,7.264,17.125,5.042,23.056,230.674
2011-01-02,195.73,21.437,14.07,18.694,4.625,11.5,4.042,17.07,217.166
2011-01-03,191.25,12.606,9.375,11.153,1.778,0.792,3.625,8.0,203.855
2011-01-04,195.292,20.938,18.07,23.125,5.056,7.25,4.542,13.5,216.229
2011-01-05,194.967,17.306,18.612,27.75,9.137,3.25,3.625,9.242,212.274
2011-01-06,197.905,28.589,34.754,55.84,21.086,9.381,6.957,16.088,226.494
2011-01-07,193.712,14.304,12.542,15.278,2.736,2.792,4.0,9.222,208.016
2011-01-08,195.229,15.542,11.389,14.028,2.639,2.083,4.042,8.945,210.771
2011-01-09,205.022,35.891,31.139,50.972,19.833,19.417,6.917,23.195,240.913
2011-01-10,199.0,36.938,38.0,62.667,24.667,21.542,8.708,27.375,235.938
2011-01-11,194.994,28.973,25.653,44.222,18.569,16.667,5.917,23.5,223.966
2011-01-12,195.694,20.487,23.778,38.222,14.444,6.792,5.0,12.833,216.182
2011-01-13,201.262,42.282,40.77,80.568,39.797,16.636,7.609,23.273,243.544
2011-01-14,200.375,24.75,22.917,35.055,12.139,9.542,5.375,15.556,225.125
2011-01-15,203.748,25.468,24.514,35.639,11.125,10.917,7.042,17.958,229.214
2011-01-16,195.746,18.55,23.903,30.028,6.125,12.125,5.292,17.833,214.296
2011-01-17,193.702,21.378,25.859,34.375,8.517,11.625,6.958,17.775,215.08
2011-01-18,206.598,48.057,47.026,87.46,40.434,27.682,8.478,33.788,254.655
2011-01-19,196.02,29.062,27.778,42.292,14.514,24.0,5.917,30.389,225.084
2011-01-20,191.466,22.9,18.306,22.68,4.375,20.792,3.458,18.792,214.366
2011-01-21,189.663,22.418,15.93,19.625,3.695,11.792,2.875,13.68,212.082
2011-01-22,195.625,31.438,16.861,28.195,11.333,8.0,3.083,11.222,227.062
2011-01-23,210.286,50.098,34.638,96.366,61.729,19.042,4.333,18.723,260.384
2011-01-24,195.56,21.66,21.75,31.583,9.833,8.0,4.125,12.583,217.22
2011-01-25,199.797,35.858,35.674,68.32,32.645,22.435,5.917,24.01,235.655
2011-01-26,198.595,24.814,26.123,37.971,11.848,10.542,4.333,14.442,223.41
2011-01-27,203.646,36.73,33.861,67.625,33.764,14.125,5.208,19.069,240.375
2011-01-28,196.824,22.792,20.528,30.18,9.653,13.708,4.417,18.208,219.616
2011-01-29,192.657,12.343,7.819,9.389,1.57,4.0,3.625,10.986,205.0
2011-01-30,195.333,16.666,21.028,28.819,7.791,5.708,4.583,12.097,212.0
2011-01-31,197.666,25.288,31.208,51.139,19.931,9.833,5.542,16.361,222.953
2011-02-01,194.902,20.631,20.028,29.069,9.042,11.375,6.167,22.537,215.532
2011-02-02,193.167,14.208,15.208,20.597,5.389,5.667,3.958,11.875,207.375
2011-02-03,203.143,29.828,33.836,64.355,30.519,10.565,6.739,16.589,232.97
2011-02-04,200.703,31.203,30.792,53.805,23.014,12.333,6.25,18.931,231.906
2011-02-05,203.021,28.666,24.292,37.375,13.083,18.958,7.833,25.375,231.688
2011-02-06,201.744,39.933,35.875,55.972,20.097,52.375,5.833,43.875,241.678
2011-02-07,198.943,47.608,29.889,53.444,23.555,35.909,5.208,38.822,246.552
2011-02-08,193.06,24.008,19.167,26.343,7.176,6.375,5.75,12.995,217.068
2011-02-09,195.703,21.42,25.859,40.685,14.825,5.261,5.043,12.051,217.124
2011-02-10,198.875,29.52,32.611,55.958,23.347,13.542,7.792,20.917,228.396
2011-02-11,195.786,22.0,20.5,26.139,5.639,15.292,10.125,19.222,217.788
2011-02-12,193.832,15.733,11.667,14.403,2.736,8.25,4.625,14.528,209.564
2011-02-13,200.812,26.104,33.375,48.528,15.153,19.208,8.375,26.653,226.917
2011-02-14,195.522,33.587,30.623,41.914,11.292,50.909,5.435,39.64,229.109
2011-02-15,196.784,33.634,24.107,45.012,20.905,38.875,6.417,37.972,230.418
2011-02-16,191.916,19.25,19.105,24.626,5.521,15.958,5.083,19.262,211.167
2011-02-17,195.166,27.262,25.875,37.292,11.416,29.833,5.833,24.778,222.428
2011-02-18,192.475,13.75,10.833,13.736,2.903,8.208,4.208,13.222,206.226
2011-02-19,195.875,15.584,16.459,20.458,4.0,10.0,6.042,15.514,211.458
2011-02-20,200.326,29.474,35.264,53.917,18.653,14.292,7.542,21.333,229.799
2011-02-21,200.5,36.738,44.247,68.203,23.956,20.792,9.208,28.287,237.238
2011-02-22,194.688,23.417,22.434,26.387,3.952,23.826,8.217,30.916,218.104
2011-02-23,197.092,43.066,33.069,59.889,26.82,47.0,7.292,40.949,240.158
2011-02-24,196.133,22.73,22.041,25.848,3.808,24.917,10.917,32.475,218.864
2011-02-25,200.166,29.917,21.264,25.764,4.5,22.042,4.708,20.695,230.084
2011-02-26,199.687,18.017,12.278,14.722,2.444,6.542,4.25,12.819,217.704
2011-02-27,191.638,11.662,8.607,10.895,2.288,10.429,3.476,12.921,203.3
