date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,6.583,17.375,27.292,9.916,,5.708,40.0
2011-01-02,4.783,13.0,21.062,8.062,,3.229,15.417
2011-01-03,6.375,18.797,29.799,11.002,,6.652,33.542
2011-01-04,5.333,15.678,27.7,12.021,,3.206,22.824
2011-01-05,6.917,27.512,57.53,30.018,,4.589,24.688
2011-01-06,7.5,31.542,72.354,40.812,,5.542,24.812
2011-01-07,6.833,26.521,62.834,36.312,,3.792,23.854
2011-01-08,6.833,24.584,49.0,24.416,,5.834,22.854
2011-01-09,7.55,25.096,49.881,24.786,,6.286,45.381
2011-01-10,10.667,32.029,78.644,46.614,,8.209,65.75
2011-01-11,8.333,24.25,67.375,43.125,,4.875,47.584
2011-01-12,7.833,31.708,74.292,42.583,,4.166,21.916
2011-01-13,6.958,27.479,64.479,37.0,,5.042,28.584
2011-01-14,7.458,29.354,57.938,28.584,,5.667,49.75
2011-01-15,6.0,22.084,38.958,16.875,,3.917,35.854
2011-01-16,5.739,25.375,55.833,30.458,,3.5,18.458
2011-01-17,5.714,27.057,64.638,37.582,,3.162,13.342
2011-01-18,8.292,31.952,84.256,52.304,,5.096,25.244
2011-01-19,8.167,29.646,88.584,58.938,,3.5,31.104
2011-01-20,5.75,20.833,55.104,34.27,,3.062,11.875
2011-01-21,4.167,20.146,40.458,20.312,,3.584,14.104
2011-01-22,4.5,14.562,27.25,12.688,,2.646,15.188
2011-01-23,4.043,14.875,28.625,13.75,,2.229,9.667
2011-01-24,4.917,18.381,36.468,18.086,,2.754,12.896
2011-01-25,5.81,22.25,47.03,24.78,,3.348,21.556
2011-01-26,6.875,25.762,62.902,37.14,,2.976,13.887
2011-01-27,7.208,31.104,66.604,35.5,,4.146,24.042
2011-01-28,6.083,24.75,48.792,24.042,,4.688,35.188
2011-01-29,4.833,15.542,25.708,10.167,,4.521,26.042
2011-01-30,5.609,22.125,42.438,20.312,,4.562,22.75
2011-01-31,6.458,29.378,61.756,32.377,,5.526,23.084
2011-02-01,6.619,26.393,54.964,28.572,,4.828,34.316
2011-02-02,3.958,13.396,24.45,11.054,,2.392,8.045
2011-02-03,6.375,27.27,57.666,30.396,,3.229,15.542
2011-02-04,7.042,26.708,58.292,31.584,,4.542,27.521
2011-02-05,7.042,25.854,46.167,20.312,,3.854,39.0
2011-02-06,10.13,32.27,83.062,50.792,,4.812,52.062
2011-02-07,4.952,15.86,27.257,11.398,,2.666,15.928
2011-02-08,4.125,13.666,26.688,13.02,,1.729,9.333
2011-02-09,6.25,26.125,56.438,30.312,,2.562,14.48
2011-02-10,6.083,26.5,56.084,29.584,,3.208,18.75
2011-02-11,5.5,21.604,43.625,22.02,,3.0,14.605
2011-02-12,6.083,23.521,40.416,16.896,,4.666,18.125
2011-02-13,10.043,31.042,91.5,60.458,,3.438,36.062
2011-02-14,11.619,30.705,114.095,83.39,,2.66,33.834
2011-02-15,7.875,26.916,67.229,40.312,,2.062,18.688
2011-02-16,5.708,24.208,50.666,26.458,,2.688,22.625
2011-02-17,4.042,14.938,27.854,12.917,,3.0,11.958
2011-02-18,4.75,17.062,31.062,14.0,,2.729,12.646
2011-02-19,5.0,18.021,29.729,11.708,,2.896,17.917
2011-02-20,6.043,27.979,59.146,31.166,,3.833,17.5
2011-02-21,6.857,34.51,73.908,39.398,,4.054,28.33
2011-02-22,10.208,32.14,96.532,64.392,,4.348,29.842
2011-02-23,7.708,24.688,67.334,42.646,,3.583,23.542
2011-02-24,6.208,27.938,44.5,16.562,,10.688,41.396
2011-02-25,6.542,23.062,39.584,16.521,,4.0,38.375
2011-02-26,4.792,17.021,27.312,10.292,,2.562,12.292
2011-02-27,5.826,22.375,50.542,28.166,,3.396,14.771
2011-02-28,5.333,25.12,49.968,24.848,,3.646,12.119
2011-03-01,7.625,31.25,78.562,47.312,,3.958,25.625
2011-03-02,6.458,28.188,62.708,34.521,,3.458,22.083
2011-03-03,4.667,18.396,29.854,11.458,,12.688,11.062
2011-03-04,7.042,22.542,40.0,17.458,,4.125,27.875
2011-03-05,9.833,29.334,92.438,63.104,,3.312,22.354
2011-03-06,6.952,20.789,39.45,18.662,,2.908,19.967
2011-03-07,8.417,30.044,61.134,31.089,,3.905,51.974
2011-03-08,9.208,29.042,73.0,43.958,,3.812,45.333
