date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,19.646,26.656,7.01,22.117,209.913,18.783,24.125,1.25,228.696
2011-01-02,10.963,16.137,5.174,10.725,199.217,11.565,11.083,0.4,210.783
2011-01-03,6.325,6.73,0.47,7.608,190.652,5.261,9.25,0.604,195.913
2011-01-04,4.896,5.302,0.49,28.308,191.87,4.261,20.792,3.104,196.13
2011-01-05,7.854,8.782,1.091,9.629,192.318,6.364,5.318,0.488,198.682
2011-01-06,19.479,25.114,5.886,10.589,194.174,13.13,13.792,1.188,207.304
2011-01-07,11.026,12.648,1.715,6.158,190.217,6.217,7.792,1.396,196.435
2011-01-08,10.24,11.271,1.156,5.383,193.261,6.913,8.458,1.062,200.174
2011-01-09,13.916,17.25,3.595,12.208,194.826,9.217,15.25,2.017,204.043
2011-01-10,22.006,29.129,7.395,17.358,199.826,15.174,19.958,1.334,215.0
2011-01-11,16.812,23.917,7.25,21.75,198.391,13.435,20.958,1.572,211.826
2011-01-12,13.823,16.74,3.114,5.892,195.957,8.739,7.417,1.062,204.696
2011-01-13,19.875,38.26,18.782,15.55,209.174,19.783,17.458,1.938,228.957
2011-01-14,10.831,12.111,1.373,12.558,190.739,7.739,14.208,2.229,198.478
2011-01-15,8.875,9.708,0.896,8.017,189.913,6.217,8.417,1.27,196.13
2011-01-16,21.282,25.798,4.725,12.927,190.652,11.783,15.125,2.307,202.435
2011-01-17,21.495,29.294,8.07,14.692,196.955,15.864,16.5,0.956,212.818
2011-01-18,34.25,69.792,35.875,30.225,211.304,34.304,33.042,1.72,245.609
2011-01-19,39.584,84.521,45.271,34.542,202.87,42.522,36.167,2.021,245.391
2011-01-20,27.198,34.417,7.531,16.819,190.435,16.739,14.458,0.292,207.174
2011-01-21,24.824,30.838,6.264,18.033,190.174,16.913,15.958,0.438,207.087
2011-01-22,12.26,15.323,3.24,9.758,191.957,8.826,10.917,1.25,200.783
2011-01-23,11.992,16.714,4.888,7.483,194.261,19.652,7.0,0.532,213.913
2011-01-24,10.028,11.936,2.016,4.825,190.0,6.261,6.0,0.666,196.261
2011-01-25,8.24,9.573,1.406,7.967,191.913,4.957,11.208,0.855,196.87
2011-01-26,10.354,11.719,1.458,5.458,191.13,6.913,6.125,0.834,198.043
2011-01-27,14.469,18.958,4.594,13.76,194.261,11.783,16.708,1.438,206.043
2011-01-28,14.53,16.709,2.325,16.058,193.0,10.609,17.917,1.375,203.609
2011-01-29,8.99,9.521,0.614,6.767,189.739,5.174,8.792,1.604,194.913
2011-01-30,16.555,21.398,5.145,8.883,193.174,9.13,11.0,1.408,202.304
2011-01-31,13.759,16.116,2.553,6.35,190.261,8.304,7.667,1.104,198.565
2011-02-01,19.285,40.016,20.73,15.044,200.091,23.045,16.591,1.5,223.136
2011-02-02,6.396,7.729,1.333,5.083,190.043,4.261,7.375,0.604,194.304
2011-02-03,16.0,22.292,6.292,8.95,195.174,11.174,12.292,0.688,206.348
2011-02-04,16.498,26.528,10.277,20.575,195.0,18.957,24.292,1.916,213.957
2011-02-05,12.083,13.615,1.532,25.792,191.522,7.957,27.167,2.312,199.478
