date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean,PM25_mean
2011-01-01,76.0,60.042,38.0,11.706,14.1405,2.435,16.646,112.0,60.792,7.0,,16.375
2011-01-02,78.0,59.0,44.0,5.625,6.9585,1.3335,15.604500000000002,80.0,62.167,46.0,,11.958
2011-01-03,73.0,53.917,41.0,9.792,11.396,1.604,19.9165,83.0,60.458,31.0,,17.625
2011-01-04,70.0,51.0,30.0,7.5,8.8125,1.3125,25.479,69.0,50.542,25.0,,21.125
2011-01-05,89.0,70.375,50.0,19.579,26.718,7.1395,15.75,65.0,37.792,10.0,,12.458
2011-01-06,86.0,57.917,35.0,22.9585,42.7085,19.75,17.583,87.0,56.875,19.0,,16.792
2011-01-07,78.0,58.292,39.0,15.722000000000001,20.864,5.142,10.9585,76.0,49.25,12.0,,8.25
2011-01-08,81.0,60.833,32.0,17.714,24.1665,6.453,14.0625,80.0,38.083,3.0,,11.833
2011-01-09,80.0,62.75,43.0,19.9585,29.0835,9.125,23.229,108.0,60.917,19.0,,21.208
2011-01-10,85.0,61.333,37.0,28.1665,51.0205,22.854,34.3125,104.0,61.75,17.0,,30.833
2011-01-11,66.0,52.875,36.0,14.25,16.979,2.7295,25.9165,94.0,65.458,20.0,,23.042
2011-01-12,75.0,50.917,34.0,25.271,43.875,18.604,11.667000000000002,67.0,34.875,-5.0,,11.125
2011-01-13,79.0,55.625,39.0,20.254,34.885,14.631,21.497999999999998,90.0,63.625,39.0,,20.591
2011-01-14,73.0,54.5,42.0,21.731499999999997,27.4165,5.685,45.3125,83.0,64.875,38.0,,40.625
2011-01-15,77.0,60.667,46.0,18.117,22.938,4.8215,19.3545,78.0,57.0,26.0,,16.875
2011-01-16,86.0,56.0,43.0,20.1875,31.4585,11.271,18.458,57.0,47.125,23.0,,13.875
2011-01-17,89.0,62.208,32.0,21.854,39.5835,17.729,15.5625,92.0,47.25,12.0,,12.125
2011-01-18,84.0,56.458,25.0,28.9625,56.554,27.5915,23.1285,108.0,48.0,-9.0,,19.083
2011-01-19,89.0,76.458,60.0,30.410999999999998,59.138,28.7275,24.389499999999998,66.0,54.833,46.0,,21.708
