date,PM25_mean,SO2_mean,SPM_mean
2011-03-01,,0.042,
2011-03-02,,0.083,
2011-03-03,,0.625,
2011-03-04,,0.042,
2011-03-05,,0.0,
2011-03-06,,0.0,
2011-03-07,,0.542,
2011-03-08,,1.042,
2011-03-09,,0.583,
2011-03-10,,1.333,
2011-03-11,,1.917,
2011-03-12,,0.667,
2011-03-13,,0.792,
2011-03-14,,2.542,
2011-03-15,,2.083,
2011-03-16,,0.87,
2011-03-17,,0.0,
2011-03-18,,0.0,
2011-03-19,,0.583,
2011-03-20,,0.625,
2011-03-21,,1.0,
2011-03-22,,,
2011-03-23,,0.222,
2011-03-24,,1.583,
2011-03-25,,1.333,
2011-03-26,,1.0,
2011-03-27,,1.25,
2011-03-28,,1.545,
2011-03-29,,2.0,
2011-03-30,,0.792,
2011-03-31,,0.833,
2011-04-01,,,
2011-04-02,,,
2011-04-03,,,
2011-04-04,,,
2011-04-05,,,
2011-04-06,,,
2011-04-07,,,
2011-04-08,,,
2011-04-09,,,
2011-04-10,,,
2011-04-11,,,
2011-04-12,,,
2011-04-13,,,
2011-04-14,,,
2011-04-15,,,
2011-04-16,,,
2011-04-17,,,
2011-04-18,,,
2011-04-19,,,
2011-04-20,,,
2011-04-21,,,
2011-04-22,,,
2011-04-23,,,
2011-04-24,,,
2011-04-25,,,
2011-04-26,,,
2011-04-27,,,
2011-04-28,,,
2011-04-29,,,
2011-04-30,,,
2011-05-01,,,
2011-05-02,,,
2011-05-03,,,
2011-05-04,,,
2011-05-05,,,
2011-05-06,,,
2011-05-07,,,
2011-05-08,,,
2011-05-09,,,
2011-05-10,,,
2011-05-11,,,
2011-05-12,,,
2011-05-13,,,
2011-05-14,,,
2011-05-15,,,
2011-05-16,,,
2011-05-17,,,
2011-05-18,,,
2011-05-19,,,
2011-05-20,,,
2011-05-21,,,
2011-05-22,,,
2011-05-23,,,
2011-05-24,,,
2011-05-25,,,
2011-05-26,,,
2011-05-27,,,
2011-05-28,,,
2011-05-29,,,
2011-05-30,,,
2011-05-31,,,
2011-06-01,,,
2011-06-02,,,
2011-06-03,,,
2011-06-04,,,
2011-06-05,,,
