date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,5.583,7.646,2.0625,,1.458,7.875,79.0,16.521,-23.0,190.708,3.458,5.75,196.458
2011-01-02,3.8335,5.875,2.042,,1.125,5.0625,107.0,35.479,-24.5,187.167,2.958,5.292,192.458
2011-01-03,1.729,2.6875,0.9585,,1.0,2.0835,81.5,46.042,0.5,187.083,2.083,1.667,188.75
2011-01-04,4.348,7.2605,2.9130000000000003,,1.227,2.5415,83.5,24.75,-23.0,187.304,3.13,3.478,190.783
2011-01-05,4.125,7.1665,3.0415,,1.0,2.625,61.0,28.958,-8.0,187.958,2.208,1.0,188.958
2011-01-06,10.417,18.1665,7.75,,1.042,7.167,102.5,34.729,-24.5,188.5,3.333,5.667,194.167
2011-01-07,4.0415,7.2295,3.1875,,1.0,3.333,67.5,32.4165,-1.5,188.792,2.708,2.333,191.125
2011-01-08,3.625,5.1875,1.5625,,1.0,3.0,71.0,22.083,-18.5,190.917,2.208,1.208,192.125
2011-01-09,7.875,13.271,5.3955,,1.208,8.8335,82.0,17.125,-35.5,190.792,3.75,7.167,197.958
2011-01-10,13.0415,25.5,12.457999999999998,,1.542,13.125499999999999,91.0,34.75,-25.0,190.167,5.542,11.333,201.5
2011-01-11,7.8125,16.125,8.3125,,1.208,8.1875,97.0,30.271,-10.0,193.235,3.5,8.706,201.941
2011-01-12,5.6875,10.7085,5.0205,,1.042,3.208,56.5,8.583,-30.0,198.375,2.5,8.042,206.417
2011-01-13,9.0,20.417,11.4165,,1.458,4.1875,118.5,26.792,-55.0,198.208,4.042,13.458,211.667
2011-01-14,4.583,7.4375,2.854,,1.375,3.0,57.5,23.792,-14.0,201.083,3.0,9.583,210.667
2011-01-15,7.75,11.4585,3.7085,,1.375,8.083,71.0,27.354,-25.0,201.833,3.458,13.0,214.833
2011-01-16,11.826,20.2395,8.413,,1.348,13.1665,44.5,20.958,-11.0,201.13,4.348,17.522,218.652
2011-01-17,11.375,21.3545,9.979,,0.583,10.771,67.5,16.0415,-19.0,200.5,4.458,20.0,220.5
2011-01-18,11.7085,20.229,8.521,,0.917,17.7915,77.0,13.333,-38.5,199.125,3.958,17.667,216.792
2011-01-19,10.5835,19.604,9.021,,0.833,13.7705,88.5,35.646,-23.5,197.625,4.625,17.583,215.208
2011-01-20,15.896,26.6455,10.75,,1.0,26.354,22.0,13.7915,3.5,200.0,4.542,19.0,219.0
2011-01-21,8.6665,14.9585,6.292,,0.667,15.2705,35.5,23.021,11.5,198.833,3.708,16.708,215.542
2011-01-22,5.375,10.271,4.8955,,0.083,3.0,85.0,46.3125,17.0,195.5,3.5,17.5,213.0
2011-01-23,8.023,17.523,9.5,,0.455,7.492,90.0,34.5415,3.0,196.136,5.0,18.864,215.0
2011-01-24,7.542,13.0625,5.521,,0.375,5.5625,59.5,16.5205,-17.5,196.708,3.333,13.25,209.958
2011-01-25,9.479,20.3955,10.9165,,0.542,10.457999999999998,77.5,14.125,-33.5,200.167,4.292,15.667,215.833
2011-01-26,7.0625,14.1875,7.125,,0.458,4.3125,39.5,-2.6875,-42.0,201.042,3.833,13.583,214.625
2011-01-27,8.896,18.0625,9.1665,,1.042,7.271,58.5,-4.354,-53.0,203.125,5.125,17.375,220.5
2011-01-28,4.6875,9.0,4.3125,,0.542,6.9375,35.0,-3.1665,-39.0,201.5,3.333,13.167,214.667
2011-01-29,2.208,3.375,1.1665,,0.5,2.75,33.0,2.25,-22.5,201.417,2.25,8.125,209.542
2011-01-30,5.854,10.25,4.396,,0.542,3.292,45.5,2.25,-38.0,200.958,2.917,9.75,210.708
2011-01-31,8.4165,17.333,8.9165,,1.5,4.979,78.0,5.875,-55.5,201.417,4.958,12.667,214.083
2011-02-01,7.354,15.1875,7.833,,0.833,5.104,78.5,8.729,-55.0,199.375,3.792,13.042,212.417
2011-02-02,4.283,8.391,4.109,,1.0,4.2915,26.5,-0.9375,-42.5,195.727,2.957,8.5,204.227
2011-02-03,8.104,16.375,8.271,,0.917,4.3125,59.0,-7.5625,-64.0,193.042,4.0,12.75,205.792
2011-02-04,8.021,14.229,6.208,,1.542,8.8125,96.0,18.125,-56.0,191.458,4.167,13.458,204.917
2011-02-05,5.4795,7.875,2.396,,1.375,11.396,81.5,31.8125,-14.0,191.875,3.792,10.917,202.792
2011-02-06,11.146,20.396,9.25,,1.417,25.5835,78.0,29.854,-21.5,193.042,5.625,18.083,211.125
2011-02-07,12.375,28.625,16.25,,0.708,32.6875,103.5,63.854,36.0,191.375,7.333,28.25,219.625
2011-02-08,3.375,6.375,3.0,,1.167,1.5,80.5,48.646,0.5,184.833,2.625,8.875,193.708
2011-02-09,6.5835,12.479,5.8955,,1.042,3.4165,57.0,11.375,-34.5,188.375,2.875,9.75,198.125
2011-02-10,9.771,19.208,9.4375,,1.25,5.292,87.5,30.479,-26.0,189.792,3.667,12.542,202.333
2011-02-11,3.625,5.771,2.146,,1.042,4.354,64.5,22.792,-19.0,188.0,2.875,8.875,196.875
2011-02-12,2.5,4.0415,1.5415,,1.042,3.1455,54.5,13.167,-41.0,189.167,2.458,7.958,197.125
2011-02-13,10.2175,17.6955,7.4784999999999995,,1.304,8.811,69.5,24.9585,-21.5,190.048,4.13,11.905,201.952
2011-02-14,16.8335,32.4585,15.625,,1.458,39.229,56.0,23.3545,-9.5,194.625,6.792,21.833,216.458
2011-02-15,8.271,20.2085,11.9375,,1.667,24.8335,120.0,54.25,13.0,190.292,5.25,18.042,208.333
2011-02-16,10.8335,16.9585,6.125,,1.292,14.2915,48.5,15.979500000000002,-11.0,188.792,3.917,13.833,202.625
2011-02-17,8.25,15.875,7.625,,1.167,12.75,77.0,21.1875,-28.0,189.792,3.708,12.292,202.083
2011-02-18,2.6875,4.958,2.271,,1.0,6.271,30.5,2.5835,-35.5,189.708,2.542,6.958,196.667
2011-02-19,3.854,6.0415,2.1875,,1.0,3.854,74.0,5.271,-58.0,190.958,2.958,7.417,198.375
2011-02-20,8.9375,17.25,8.3125,,1.208,8.583,99.5,24.0835,-42.0,191.542,4.083,11.875,203.417
2011-02-21,9.0625,17.458,8.396,,1.25,10.7085,136.0,53.9165,-33.5,189.708,4.042,15.417,205.125
2011-02-22,7.646,13.332999999999998,5.6875,,2.167,17.8125,104.0,58.375,0.5,190.167,4.125,14.75,204.917
2011-02-23,9.7295,20.292,10.5625,,1.167,31.1875,122.5,69.0205,38.0,189.375,4.875,20.583,209.958
2011-02-24,6.0415,10.542000000000002,4.5,,3.083,16.9585,147.0,99.771,73.0,187.292,3.875,10.583,197.875
2011-02-25,8.0,11.521,3.521,,1.083,13.1875,72.5,48.2085,23.0,189.75,4.0,16.0,205.75
2011-02-26,3.1455,5.167,2.0205,,1.0,3.9585,76.5,30.1875,-3.0,188.833,3.083,11.833,200.667
2011-02-27,3.2085,5.9165,2.708,,1.0,4.854,56.0,22.1665,-6.0,190.5,2.333,7.417,197.917
2011-02-28,8.958,15.520499999999998,6.5625,,1.292,8.5835,52.5,6.958,-50.0,192.792,4.25,11.583,204.375
2011-03-01,10.042,17.6665,7.625,,1.042,10.271,121.0,55.2085,-5.0,,4.167,,
2011-03-02,11.896,26.2915,14.395499999999998,,1.0,14.479,64.5,48.9375,38.0,,5.042,,
2011-03-03,7.4165,10.8125,3.396,,1.167,15.104,119.5,68.6045,40.0,,3.583,,
2011-03-04,5.521,7.0,1.479,,1.0,16.8125,72.5,41.6875,15.0,,3.125,,
2011-03-05,15.396,28.4165,13.021,,1.0,15.270499999999998,63.0,34.708,6.0,,5.083,,
2011-03-06,14.4585,27.708,13.25,,1.0,28.3955,166.5,102.0,43.5,,5.833,,
2011-03-07,8.8125,12.479,3.6665,,1.667,21.8955,161.0,124.208,90.5,,4.792,,
2011-03-08,11.375,17.25,5.875,,1.542,21.0205,103.0,87.729,73.0,,4.875,,
2011-03-09,9.5,15.854,6.3545,,1.0,14.8125,75.5,60.7705,36.0,,5.917,,
2011-03-10,7.3335,11.5,4.167,,1.0,5.25,72.5,48.6455,34.5,,4.125,,
2011-03-11,5.021,6.6455,1.625,,1.0,5.0415,74.0,47.021,29.5,,2.958,,
2011-03-12,5.833,9.7085,3.875,,1.0,3.458,87.5,34.9585,-12.5,,2.708,,
2011-03-13,4.729,7.7295,3.0,,1.0,1.9165,79.5,35.229,-12.5,,2.833,,
2011-03-14,7.4135,12.131,4.7170000000000005,,0.476,6.0,99.0,38.354,-18.5,,4.125,,
2011-03-15,4.695,8.1835,3.4885,,0.045,9.3605,91.5,44.167,-6.5,,2.957,,
2011-03-16,10.1665,14.75,4.583,,0.708,16.2705,104.0,47.5625,-10.0,,3.958,,
2011-03-17,12.3125,19.771,7.4585,,0.0,35.4375,81.5,53.125,31.0,,5.167,,
2011-03-18,10.583,16.75,6.1665,,0.0,23.521,100.0,76.708,39.5,,5.0,,
2011-03-19,4.0625,6.771,2.7085,,0.042,6.646,85.5,57.6875,1.0,,2.583,,
2011-03-20,4.5,7.354,2.854,,0.292,8.2085,131.5,56.1665,-23.5,,2.833,,
2011-03-21,3.458,5.854,2.396,,0.0,7.4375,91.0,52.1665,6.5,,2.292,,
2011-03-22,9.3335,14.8125,5.4795,,0.75,13.4375,138.5,66.104,-18.0,,3.958,,
2011-03-23,11.7705,16.3125,4.5415,,0.708,26.6875,111.5,84.7085,61.0,,5.167,,
2011-03-24,7.354,11.354,4.0,,0.0,18.75,139.5,84.521,57.0,,3.667,,
2011-03-25,2.958,4.375,1.4165,,0.333,5.8125,122.0,66.9375,14.0,,2.75,,
2011-03-26,4.404,8.057,3.653,,0.087,5.5,95.5,56.417,2.0,,2.652,,
2011-03-27,7.9585,11.9795,4.021,,0.667,11.0415,149.0,76.542,2.0,,3.625,,
2011-03-28,7.25,11.75,4.5,,0.75,13.917,160.0,78.9585,20.0,,3.833,,
2011-03-29,7.5,10.6045,3.104,,0.583,12.75,177.5,99.542,18.0,83.583,3.5,62.167,145.75
2011-03-30,10.3125,15.5835,5.271,,0.833,18.4795,188.0,114.625,51.0,195.292,4.958,14.958,210.25
2011-03-31,5.4375,8.0,2.5625,,0.25,12.75,188.0,108.875,49.0,190.583,3.667,10.833,201.417
2011-04-01,10.0,11.417,1.417,,1.0,12.708,156.0,81.083,4.0,,,,
2011-04-02,6.708,8.292,1.583,,1.0,18.458,184.0,101.708,32.0,,,,
2011-04-03,4.542,5.333,0.792,,1.0,8.583,113.0,69.958,27.0,,,,
2011-04-04,6.1665,10.157,3.9905,,1.0,6.582,111.0,58.125,0.0,,2.077,,
