date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean,SPM_mean,PM25_mean,CO_mean
2011-01-01,190.417,15.5,12.754,16.538,3.784,4.258,205.917,,,6.82
2011-01-02,188.528,9.792,6.801,7.929,1.127,4.069,198.319,,,4.471
2011-01-03,189.0,11.611,9.045,10.71,1.666,5.888,200.611,,,5.097
2011-01-04,190.615,9.093,9.173,10.85,1.676,6.717,199.708,,,5.153
2011-01-05,190.857,11.562,12.671,16.074,3.403,3.899,202.418,,,4.926
2011-01-06,192.278,18.556,20.59,33.671,13.08,4.353,210.833,,,6.389
2011-01-07,192.431,16.542,14.293,22.223,7.931,3.031,208.972,,,5.5
2011-01-08,192.917,17.667,16.439,24.102,7.664,4.373,210.583,,,7.005
2011-01-09,194.361,17.403,17.226,24.329,7.103,5.381,211.764,,,6.625
2011-01-10,194.972,19.847,19.762,32.743,12.98,6.497,214.819,,,8.127
2011-01-11,190.472,10.167,11.07,13.709,2.639,5.217,200.639,,,4.639
2011-01-12,192.245,16.67,20.689,34.84,14.152,4.753,208.914,,,6.25
2011-01-13,192.212,15.286,16.683,27.655,10.972,6.648,207.498,,,6.17
2011-01-14,192.555,12.0,14.521,17.841,3.32,7.61,204.556,,,5.25
2011-01-15,190.597,12.319,14.114,17.098,2.984,3.89,202.917,,,5.194
2011-01-16,189.181,13.847,13.612,16.838,3.226,3.046,203.028,,,4.653
2011-01-17,189.694,20.319,18.535,32.531,13.996,3.146,210.014,,,6.597
2011-01-18,190.792,23.069,24.521,42.582,18.061,5.569,213.861,,,5.949
2011-01-19,188.639,18.75,19.584,29.797,10.214,3.577,207.389,,,5.208
2011-01-20,187.986,14.869,16.297,23.266,6.969,3.042,202.855,,,4.694
2011-01-21,187.107,16.35,15.353,22.405,7.051,2.519,203.458,,,5.287
2011-01-22,187.778,12.708,13.001,18.19,5.19,4.556,200.486,,,4.667
2011-01-23,189.0,8.583,8.621,11.308,2.688,3.927,197.583,,,3.458
2011-01-24,189.097,7.236,8.598,10.951,2.353,4.34,196.333,,,2.907
2011-01-25,191.083,9.569,12.658,17.245,4.587,5.215,200.653,,,4.389
2011-01-26,191.583,8.583,11.333,14.449,3.115,4.29,200.167,,,3.569
2011-01-27,192.958,12.056,18.838,25.908,7.07,6.375,205.014,,,5.694
2011-01-28,191.595,11.746,14.244,18.099,3.855,4.779,203.341,,,4.986
2011-01-29,190.603,12.961,13.093,17.659,4.566,4.146,203.565,,,5.051
2011-01-30,190.076,13.684,14.778,22.362,7.584,3.755,203.76,,,4.806
2011-01-31,189.557,14.862,19.456,29.424,9.968,4.932,204.419,,,5.583
2011-02-01,189.806,11.347,13.303,20.373,7.07,5.965,201.153,,,4.403
2011-02-02,189.292,7.167,8.517,10.551,2.035,4.037,196.458,,,3.125
2011-02-03,190.972,9.833,13.456,17.796,4.341,4.791,200.806,,,4.495
2011-02-04,191.736,10.542,13.523,16.322,2.799,7.44,202.278,,,4.764
2011-02-05,192.991,15.339,16.23,21.002,4.772,6.488,208.331,,,7.083
2011-02-06,190.089,18.139,19.625,24.758,5.133,4.876,208.228,,,6.911
2011-02-07,188.216,14.174,13.287,17.218,3.931,4.144,202.39,,,5.278
2011-02-08,187.639,8.861,7.131,9.122,1.991,4.223,196.5,,,2.722
2011-02-09,189.43,10.111,10.435,13.373,2.939,4.302,199.542,,,3.516
2011-02-10,189.486,14.167,15.84,23.581,7.741,4.619,203.653,,,4.236
2011-02-11,189.653,13.264,11.985,16.961,4.975,3.936,202.917,,,4.133
2011-02-12,190.625,12.555,13.899,16.767,2.868,4.762,203.181,,,4.653
2011-02-13,188.866,16.098,16.42,19.988,3.568,2.71,204.964,,,5.18
2011-02-14,190.874,23.533,23.385,39.797,16.412,2.531,214.407,,,7.363
2011-02-15,189.028,13.542,15.167,24.782,9.615,3.219,202.569,,,5.708
