date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-01,7.812,9.368,1.556,,0.781,5.094,190.775,11.195,201.971,5.166
2011-01-02,8.806,10.215,1.41,,0.334,5.635,191.073,11.771,202.844,5.521
2011-01-03,9.896,11.903,2.007,,0.531,4.146,190.446,11.762,202.208,5.354
2011-01-04,10.472,13.479,3.007,,0.716,5.682,189.694,11.599,201.294,5.875
2011-01-05,14.499,19.708,5.209,,0.328,5.63,190.771,13.448,204.219,5.875
2011-01-06,20.403,29.059,8.656,,0.596,6.161,192.518,18.542,211.06,5.022
2011-01-07,11.076,14.444,3.368,,0.666,6.583,192.594,12.906,205.5,3.625
2011-01-08,11.84,15.111,3.271,,0.562,5.208,193.152,12.749,205.902,4.188
2011-01-09,9.562,12.16,2.597,,1.062,5.162,190.281,10.073,200.354,3.604
2011-01-10,25.611,41.944,16.333,,1.021,9.333,192.315,20.172,212.488,5.666
2011-01-11,15.236,24.0,8.764,,0.915,8.292,191.402,11.812,203.215,4.334
2011-01-12,15.097,20.752,5.654,,0.773,3.375,190.781,11.636,202.416,4.167
2011-01-13,15.196,20.746,5.549,,0.75,5.021,189.706,12.623,202.33,4.348
2011-01-14,9.4,12.492,3.092,,0.917,8.391,193.177,11.229,204.406,4.02
2011-01-15,10.783,13.692,2.908,,0.656,8.312,194.7,13.514,208.214,4.542
2011-01-16,16.05,22.592,6.542,,0.854,11.099,193.833,13.979,207.812,4.916
2011-01-17,17.533,25.617,8.083,,0.834,6.396,192.25,15.16,207.41,4.75
2011-01-18,16.925,22.916,5.992,,0.958,6.568,191.776,15.517,207.294,4.208
2011-01-19,20.395,27.663,7.268,,1.067,7.797,191.844,18.844,210.688,5.125
2011-01-20,18.235,24.476,6.241,,0.69,7.25,190.294,16.794,207.088,3.892
2011-01-21,16.533,22.492,5.958,,0.812,6.938,190.688,15.896,206.583,3.792
2011-01-22,11.192,14.05,2.858,,0.698,3.854,190.318,14.663,204.981,3.354
2011-01-23,5.15,6.167,1.017,,0.312,5.224,189.74,8.365,198.104,2.396
2011-01-24,13.267,17.992,4.725,,0.573,6.396,190.08,11.705,201.785,2.854
2011-01-25,11.324,15.262,3.938,,0.796,4.412,189.806,10.438,200.245,3.188
