date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean
2011-01-01,80.0,60.333,36.0,13.1875,17.2705,4.0835,,16.2295,80.0,19.5,-18.0,191.375,13.458,204.833
2011-01-02,83.0,53.0,17.0,9.657499999999999,12.451,2.7935,,9.6665,107.0,38.417,-20.0,188.125,9.833,197.958
2011-01-03,69.0,43.458,15.0,12.652000000000001,15.7545,3.1025,,7.375,94.0,27.292,-33.0,189.625,10.917,200.542
2011-01-04,68.0,46.125,26.0,13.9165,18.521,4.604,,7.729,95.0,29.958,-24.0,189.083,11.458,200.542
2011-01-05,57.0,36.25,24.0,11.632,14.6635,3.032,,7.3125,63.0,33.5,-4.0,190.048,8.905,198.952
2011-01-06,74.0,51.042,21.0,23.0835,45.542,22.4585,,14.667000000000002,95.0,19.042,-41.0,192.417,21.375,213.792
2011-01-07,75.0,47.792,20.0,18.5625,36.229,17.6665,,9.917,78.0,20.5,-30.0,193.333,18.333,211.667
2011-01-08,73.0,52.042,23.0,16.229,26.4165,10.1875,,12.25,74.0,6.333,-46.0,193.708,19.083,212.792
2011-01-09,72.0,52.0,27.0,18.0625,31.0625,13.0,,16.25,84.0,21.5,-35.0,192.417,17.875,210.292
2011-01-10,80.0,56.875,33.0,23.3485,48.674499999999995,25.326,,21.354,83.0,31.75,-23.0,192.667,22.125,214.792
2011-01-11,71.0,47.417,27.0,20.479,39.833,19.354,,14.5,85.0,36.542,6.0,190.625,16.208,206.833
2011-01-12,59.0,40.583,24.0,23.396,45.8335,22.4375,,12.229,55.0,0.083,-47.0,190.652,18.826,209.478
2011-01-13,71.0,46.667,22.0,28.384,70.275,41.8915,,18.125,112.0,20.083,-60.0,192.333,30.542,222.875
2011-01-14,76.0,44.917,18.0,22.0835,47.729,25.646,,13.0625,66.0,12.5,-39.0,192.875,22.417,215.292
2011-01-15,67.0,50.375,30.0,19.2915,32.542,13.25,,20.4585,69.0,9.417,-47.0,195.042,22.708,217.75
2011-01-16,73.0,52.583,31.0,28.271,71.2705,43.0,,24.3335,44.0,10.458,-26.0,194.583,26.833,221.417
2011-01-17,67.0,50.625,28.0,25.24,55.5045,30.264499999999998,,19.083,68.0,19.208,-18.0,191.792,21.083,212.875
2011-01-18,77.0,56.583,31.0,26.896,60.6875,33.7915,,23.25,79.0,13.458,-43.0,190.75,23.542,214.292
2011-01-19,73.0,56.25,35.0,20.595,46.375,25.7795,,22.4125,98.0,37.833,-24.0,189.65,18.5,208.15
2011-01-20,85.0,79.625,65.0,14.185,22.3315,8.1465,,16.346,30.0,23.875,16.0,188.292,10.792,199.083
2011-01-21,89.0,81.708,67.0,14.9165,25.875,10.9585,,6.75,35.0,25.5,20.0,188.375,12.542,200.917
2011-01-22,89.0,77.917,63.0,10.2705,22.5,12.229,,4.042,76.0,47.833,20.0,188.792,14.917,203.708
2011-01-23,94.0,79.833,59.0,15.75,51.3335,35.583,,14.5375,75.0,31.375,-2.0,190.625,20.0,210.625
2011-01-24,89.0,66.917,33.0,20.299,36.396,16.097,,14.396,50.0,9.458,-23.0,192.208,17.958,210.167
2011-01-25,86.0,56.917,14.0,21.5,53.1875,31.6875,,15.604,85.0,20.542,-30.0,192.208,20.583,212.792
2011-01-26,80.0,49.5,17.0,23.9165,54.1875,30.2705,,12.832999999999998,51.0,0.833,-38.0,191.609,19.0,210.609
2011-01-27,74.0,56.125,30.0,26.182000000000002,63.6795,37.4975,,15.645499999999998,53.0,-8.125,-60.0,194.5,23.583,218.083
2011-01-28,74.0,47.125,24.0,18.9375,36.9585,18.0205,,16.7915,42.0,1.542,-33.0,193.208,17.125,210.333
2011-01-29,67.0,40.5,21.0,11.021,14.207999999999998,3.1875,,8.3955,43.0,0.0,-50.0,191.583,11.125,202.708
2011-01-30,68.0,40.5,16.0,22.4585,41.979,19.521,,11.9375,50.0,2.792,-48.0,193.083,17.25,210.333
2011-01-31,68.0,42.167,19.0,21.939500000000002,47.7125,25.7735,,12.625,80.0,7.375,-58.0,193.25,16.167,209.417
2011-02-01,71.0,42.375,24.0,20.057000000000002,41.432,21.375,,11.172,86.0,16.333,-51.0,191.773,15.5,207.273
2011-02-02,48.0,26.167,15.0,12.979500000000002,18.396,5.4165,,8.083,33.0,9.5,-26.0,189.708,8.708,198.417
2011-02-03,68.0,40.75,14.0,25.79,56.411,30.6215,,12.083,61.0,-4.417,-62.0,193.625,23.375,217.0
2011-02-04,71.0,39.417,14.0,20.222,46.448499999999996,26.2265,,14.9375,100.0,26.625,-58.0,195.125,22.792,217.917
2011-02-05,74.0,50.292,27.0,15.0415,19.646,4.604,,19.521,80.0,30.667,-37.0,193.333,13.875,207.208
2011-02-06,88.0,74.292,50.0,25.739,50.538,24.799,,31.625,77.0,34.167,-18.0,192.625,20.083,212.708
2011-02-07,90.0,85.625,75.0,21.625,56.2085,34.5835,,22.8125,100.0,67.917,43.0,192.5,25.875,218.375
2011-02-08,94.0,46.125,16.0,18.655,36.315,17.6605,,10.0415,89.0,47.917,-5.0,191.783,16.0,207.783
2011-02-09,65.0,38.458,17.0,23.125,40.375,17.25,,7.4375,70.0,17.375,-26.0,191.208,14.583,205.792
2011-02-10,71.0,46.5,19.0,21.412999999999997,40.739,19.3265,,13.479,97.0,28.583,-31.0,195.625,19.833,215.458
2011-02-11,72.0,42.542,12.0,17.2915,25.7085,8.4165,,12.25,76.0,22.25,-27.0,193.917,13.625,207.542
2011-02-12,66.0,37.833,17.0,13.608,18.0905,4.483,,10.854,75.0,16.375,-38.0,194.25,13.875,208.125
2011-02-13,59.0,45.083,24.0,24.771,46.4585,21.6875,,20.104,71.0,21.833,-37.0,193.417,17.0,210.417
2011-02-14,89.0,68.458,49.0,27.157,54.1515,26.994500000000002,,30.3125,64.0,33.542,-2.0,193.5,21.708,215.208
2011-02-15,89.0,73.333,45.0,22.2025,51.696,29.493499999999997,,35.6325,93.0,48.625,5.0,194.895,24.579,219.474
2011-02-16,77.0,58.042,33.0,24.0,47.0,23.0,,23.208,42.0,12.0,-9.0,193.25,18.833,212.083
