date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,13.375,18.562,5.188,,12.542,187.783,10.87,198.652
2011-01-02,10.146,16.062,5.917,,8.792,188.043,8.174,196.217
2011-01-03,5.146,6.334,1.188,,4.167,182.609,2.696,185.304
2011-01-04,10.354,15.395,5.042,,7.125,186.304,6.0,192.304
2011-01-05,11.542,16.98,5.438,,6.083,184.783,5.826,190.609
2011-01-06,20.391,36.0,15.609,,10.174,185.182,16.818,202.0
2011-01-07,12.174,23.044,10.87,,5.625,185.0,6.957,191.957
2011-01-08,8.438,11.708,3.271,,5.5,184.739,6.174,190.913
2011-01-09,22.562,48.604,26.042,,19.458,189.043,24.522,213.565
2011-01-10,28.625,61.416,32.792,,18.292,187.174,21.783,208.957
2011-01-11,17.271,41.208,23.938,,14.167,187.826,14.304,202.13
2011-01-12,18.875,38.208,19.334,,7.083,184.174,12.261,196.435
2011-01-13,22.52,46.062,23.542,,12.167,185.174,14.87,200.043
2011-01-14,12.891,20.391,7.5,,7.917,186.652,9.957,196.609
2011-01-15,11.812,15.542,3.73,,12.667,188.217,9.783,198.0
2011-01-16,19.114,38.114,19.0,,18.261,186.136,17.818,203.955
2011-01-17,31.562,68.292,36.73,,19.208,190.087,24.783,214.87
2011-01-18,33.292,92.188,58.896,,21.958,189.783,30.13,219.913
2011-01-19,24.52,57.625,33.104,,20.708,185.652,16.087,201.739
2011-01-20,16.354,22.104,5.75,,15.833,184.0,8.565,192.565
2011-01-21,13.782,19.348,5.565,,9.542,183.391,9.87,193.261
2011-01-22,14.333,39.666,25.334,,13.833,186.435,25.0,211.435
2011-01-23,19.729,71.084,51.354,,12.5,188.957,21.435,210.391
2011-01-24,15.729,26.188,10.458,,7.333,184.478,10.174,194.652
2011-01-25,21.479,48.104,26.625,,12.417,186.739,13.652,200.391
2011-01-26,19.054,39.653,20.6,,8.652,186.048,15.286,201.333
2011-01-27,19.375,57.875,38.5,,12.75,188.826,17.87,206.696
2011-01-28,14.478,24.522,10.043,,10.583,187.304,11.565,198.87
2011-01-29,10.292,13.25,2.958,,9.375,186.217,8.696,194.913
2011-01-30,23.458,56.167,32.708,,10.083,188.391,18.826,207.217
2011-01-31,20.722,38.5,17.778,,10.0,185.652,11.783,197.435
2011-02-01,19.771,44.146,24.375,,10.208,186.522,12.087,198.609
2011-02-02,8.73,13.188,4.458,,6.917,184.652,6.696,191.348
2011-02-03,26.75,66.896,40.146,,11.333,187.913,24.174,212.087
2011-02-04,16.5,31.87,15.37,,13.083,186.174,10.565,196.739
2011-02-05,12.708,16.416,3.708,,15.083,185.391,8.435,193.826
2011-02-06,29.977,57.909,27.932,,39.0,192.857,22.571,215.429
2011-02-07,26.104,58.792,32.688,,30.917,188.522,25.609,214.13
2011-02-08,8.666,11.333,2.666,,5.75,184.348,5.522,189.87
2011-02-09,18.646,37.625,18.98,,6.208,186.174,12.391,198.565
2011-02-10,28.104,62.542,34.438,,14.083,186.609,17.13,203.739
2011-02-11,11.13,15.587,4.456,,8.292,183.783,7.652,191.435
2011-02-12,6.584,7.938,1.354,,8.458,184.174,4.217,188.391
2011-02-13,25.334,44.458,19.125,,17.5,184.783,13.174,197.957
2011-02-14,28.188,52.334,24.146,,30.542,187.174,20.391,207.565
2011-02-15,15.958,41.521,25.562,,19.5,188.304,15.391,203.696
2011-02-16,19.548,31.524,11.976,,17.174,183.864,11.091,194.955
2011-02-17,18.208,41.729,23.521,,14.292,186.391,13.522,199.913
2011-02-18,6.522,8.826,2.304,,7.333,184.043,4.174,188.217
2011-02-19,14.354,20.688,6.334,,11.125,187.043,11.0,198.043
2011-02-20,27.542,57.125,29.584,,14.125,188.696,16.696,205.391
2011-02-21,27.125,60.646,33.521,,16.5,186.304,15.783,202.087
2011-02-22,23.25,38.812,15.562,,22.458,184.435,13.304,197.739
2011-02-23,21.834,37.229,15.395,,29.375,186.0,17.739,203.739
2011-02-24,16.604,20.958,4.354,,24.375,186.565,11.565,198.13
2011-02-25,13.587,20.435,6.848,,10.167,184.304,6.913,191.217
2011-02-26,7.854,10.125,2.271,,9.833,185.391,7.087,192.478
2011-02-27,6.208,9.125,2.917,,8.542,183.522,3.652,187.174
2011-02-28,22.413,37.413,15.0,,11.13,184.955,10.182,195.136
2011-03-01,27.625,58.666,31.042,,16.292,185.957,26.13,212.087
2011-03-02,22.375,49.167,26.792,,18.792,186.13,17.652,203.783
2011-03-03,15.87,24.109,8.24,,12.875,184.696,7.304,192.0
2011-03-04,10.375,13.604,3.229,,16.083,183.87,5.783,189.652
2011-03-05,20.042,37.958,17.917,,11.333,187.348,14.217,201.565
2011-03-06,23.584,54.646,31.062,,23.792,189.0,22.826,211.826
2011-03-07,18.958,28.375,9.416,,27.458,185.957,11.435,197.391
2011-03-08,22.544,36.087,13.544,,21.478,186.364,12.955,199.318
2011-03-09,21.562,37.958,16.396,,13.75,185.565,11.087,196.652
2011-03-10,14.0,20.848,6.848,,5.167,184.217,7.348,191.565
2011-03-11,10.208,13.292,3.083,,8.0,183.87,7.217,191.087
2011-03-12,11.666,18.792,7.125,,5.875,184.261,6.0,190.261
2011-03-13,11.438,14.625,3.188,,5.5,186.13,5.348,191.478
2011-03-14,19.834,29.542,9.708,,12.0,185.348,10.783,196.13
2011-03-15,14.354,33.292,18.938,,13.667,184.348,9.13,193.478
2011-03-16,20.283,27.218,6.935,,17.826,185.667,12.381,198.048
2011-03-17,30.022,47.674,17.652,,39.292,189.957,24.87,214.826
2011-03-18,19.042,35.833,16.792,,32.583,190.652,24.522,215.174
2011-03-19,7.542,10.292,2.75,,6.333,183.696,4.13,187.826
2011-03-20,10.354,13.271,2.917,,11.417,183.217,6.826,190.043
2011-03-21,6.792,9.208,2.416,,9.167,183.435,3.261,186.696
2011-03-22,31.958,60.416,28.458,,25.458,188.217,25.304,213.522
2011-03-23,25.0,36.812,11.812,,34.917,184.348,15.0,199.348
2011-03-24,14.739,22.956,8.218,,9.708,183.565,8.304,191.87
2011-03-25,9.354,11.812,2.458,,7.042,185.957,6.957,192.913
2011-03-26,12.625,16.979,4.354,,8.833,186.0,6.087,192.087
2011-03-27,19.084,29.688,10.604,,13.417,186.783,11.826,198.609
2011-03-28,17.222,31.011,13.79,,21.913,185.571,10.238,195.81
2011-03-29,15.896,20.833,4.938,,15.125,185.348,12.0,197.348
2011-03-30,28.604,52.584,23.979,,23.875,188.87,26.217,215.087
2011-03-31,6.326,7.544,1.218,,11.833,179.348,6.13,185.478
2011-04-01,22.458,33.729,11.271,,17.0,,,
2011-04-02,18.913,30.652,11.739,,25.708,,,
2011-04-03,8.271,9.625,1.354,,11.667,,,
2011-04-04,6.584,8.708,2.125,,8.583,,,
2011-04-05,27.5,41.104,13.605,,17.333,,,
2011-04-06,24.396,34.646,10.25,,18.75,,,
2011-04-07,30.125,42.854,12.729,,24.75,,,
2011-04-08,26.688,39.208,12.52,,21.5,,,
2011-04-09,22.37,33.326,10.956,,32.042,,,
2011-04-10,9.104,10.271,1.166,,18.5,,,
2011-04-11,18.083,28.334,10.25,,27.333,,,
2011-04-12,11.75,15.208,3.458,,17.208,,,
2011-04-13,24.087,31.152,7.066,,22.478,187.0,30.125,217.125
2011-04-14,25.458,34.042,8.584,,28.417,188.478,19.696,208.174
2011-04-15,24.354,36.542,12.188,,29.708,,,
2011-04-16,11.174,14.826,3.652,,27.125,,,
2011-04-17,6.125,7.125,1.0,,14.083,,,
2011-04-18,16.812,23.167,6.354,,17.458,187.8,11.1,198.9
2011-04-19,17.771,27.188,9.417,,14.25,185.391,8.739,194.13
2011-04-20,19.583,43.521,23.938,,14.0,190.348,13.391,203.739
2011-04-21,18.804,29.522,10.718,,18.87,186.5,10.318,196.818
2011-04-22,24.0,34.417,10.417,,33.417,188.522,18.0,206.522
2011-04-23,9.044,11.261,2.217,,13.375,181.609,10.13,191.739
2011-04-24,7.729,9.375,1.646,,10.667,186.261,6.043,192.304
2011-04-25,20.416,31.292,10.875,,16.042,189.087,11.087,200.174
2011-04-26,26.02,44.958,18.938,,17.167,188.739,15.478,204.217
2011-04-27,14.913,23.13,8.218,,34.0,187.455,13.273,200.727
2011-04-28,9.521,13.75,4.229,,13.458,184.261,7.304,191.565
2011-04-29,10.375,13.146,2.771,,14.0,186.87,8.304,195.174
2011-04-30,20.392,26.196,5.804,,25.25,189.217,14.348,203.565
2011-05-01,12.896,15.625,2.729,,23.75,188.652,14.565,203.217
2011-05-02,10.729,15.062,4.333,,85.667,188.87,7.565,196.435
2011-05-03,12.708,16.583,3.875,,56.875,187.609,9.913,197.522
