date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-05-09,12.583,15.625,3.042,,39.833
2011-05-10,4.583,7.833,3.25,,24.5
2011-05-11,4.542,7.542,3.0,,11.875
2011-05-12,17.091,25.864,8.773,,10.478
2011-05-13,7.542,9.708,2.167,,47.75
2011-05-14,8.708,10.375,1.667,,32.25
2011-05-15,6.583,9.083,2.5,,31.75
2011-05-16,7.042,9.125,2.083,,32.667
2011-05-17,8.708,10.542,1.833,,39.917
2011-05-18,12.174,14.565,2.391,,24.708
2011-05-19,6.217,7.739,1.522,,34.333
2011-05-20,5.5,7.417,1.917,,22.792
2011-05-21,6.292,9.167,2.875,,13.125
2011-05-22,5.708,7.208,1.5,,10.125
2011-05-23,14.208,16.667,2.458,,9.167
2011-05-24,11.042,13.417,2.375,,5.792
2011-05-25,13.75,17.917,4.167,,13.25
2011-05-26,19.045,24.091,5.045,,24.917
2011-05-27,16.458,18.917,2.458,,13.542
2011-05-28,29.042,38.292,9.25,,16.542
2011-05-29,10.125,11.125,1.0,,6.375
2011-05-30,5.292,6.458,1.167,,14.542
2011-05-31,13.792,16.333,2.542,,10.083
2011-06-01,15.583,19.833,4.25,,10.5
2011-06-02,18.909,26.273,7.364,,18.87
2011-06-03,15.833,21.583,5.75,,39.292
2011-06-04,7.958,10.292,2.333,,34.917
2011-06-05,9.458,11.333,1.875,,22.625
2011-06-06,13.25,16.958,3.708,,30.542
2011-06-07,14.042,16.375,2.333,,24.292
2011-06-08,10.958,12.625,1.667,,15.583
2011-06-09,10.727,13.091,2.364,,17.125
2011-06-10,23.958,30.5,6.542,,30.292
2011-06-11,10.417,12.542,2.125,,11.083
2011-06-12,13.583,15.667,2.083,,26.833
2011-06-13,10.75,12.458,1.708,,16.708
2011-06-14,12.875,14.583,1.708,,28.375
2011-06-15,21.958,26.042,4.083,,21.083
2011-06-16,12.818,14.136,1.318,,15.458
2011-06-17,14.167,16.583,2.417,,10.333
2011-06-18,22.75,25.458,2.708,,24.625
2011-06-19,15.667,16.875,1.208,,22.292
2011-06-20,16.333,22.458,6.125,,15.417
2011-06-21,5.875,7.875,2.0,,11.583
2011-06-22,11.542,19.375,7.833,,28.167
2011-06-23,2.522,3.826,1.304,,18.542
2011-06-24,3.174,5.348,2.174,,22.13
2011-06-25,2.875,4.625,1.75,,18.0
2011-06-26,2.0,3.292,1.292,,11.75
2011-06-27,2.458,4.625,2.167,,17.75
2011-06-28,3.125,5.292,2.167,,16.958
2011-06-29,9.458,13.583,4.125,,29.958
2011-06-30,12.091,15.318,3.227,,38.458
2011-07-01,13.208,16.875,3.667,,30.0
2011-07-02,7.792,8.958,1.167,,24.833
2011-07-03,7.083,8.167,1.083,,58.75
2011-07-04,3.667,4.708,1.042,,42.792
2011-07-05,8.0,8.875,0.875,,36.583
2011-07-06,10.75,12.75,2.0,,37.667
2011-07-07,3.524,5.19,1.667,,21.208
2011-07-08,2.083,3.708,1.625,,14.417
2011-07-09,2.917,5.0,2.083,,7.083
2011-07-10,4.917,7.25,2.333,,10.333
2011-07-11,7.292,12.125,4.833,,13.833
2011-07-12,11.292,19.417,8.125,,14.167
2011-07-13,6.458,11.5,5.042,,11.375
2011-07-14,6.545,10.591,4.045,,11.045
2011-07-15,9.458,12.75,3.292,,20.25
2011-07-16,13.333,16.042,2.708,,29.5
2011-07-17,11.0,12.917,1.917,,27.75
2011-07-18,7.167,10.625,3.458,,14.083
2011-07-19,7.5,11.125,3.625,,4.25
2011-07-20,10.083,12.625,2.542,,9.208
2011-07-21,11.955,14.636,2.682,,12.478
2011-07-22,12.0,15.125,3.125,,20.625
2011-07-23,8.708,10.5,1.792,,32.958
2011-07-24,6.542,7.792,1.25,,39.75
2011-07-25,5.167,6.792,1.625,,20.875
2011-07-26,8.417,11.792,3.375,,19.083
2011-07-27,2.792,5.25,2.458,,12.375
2011-07-28,7.0,10.5,3.5,,22.875
2011-07-29,12.583,17.417,4.833,,31.667
2011-07-30,11.333,13.917,2.583,,32.375
2011-07-31,7.125,8.208,1.083,,31.083
2011-08-01,12.375,14.583,2.208,,40.292
2011-08-02,9.875,12.208,2.333,,29.917
2011-08-03,13.5,17.708,4.208,,22.917
2011-08-04,13.087,17.739,4.652,,21.542
2011-08-05,7.478,13.652,6.174,,9.917
