date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,10.729,13.084,2.354,,13.083,207.292,8.708,216.0
2011-01-02,7.125,8.688,1.562,,8.917,205.5,4.5,210.0
2011-01-03,4.0,4.604,0.604,,4.25,200.0,1.042,201.042
2011-01-04,8.229,9.938,1.708,,7.708,202.958,4.25,207.208
2011-01-05,9.022,10.782,1.761,,5.792,203.25,3.292,206.542
2011-01-06,16.63,23.022,6.391,,10.565,201.238,10.619,211.857
2011-01-07,6.875,7.666,0.792,,5.333,187.111,1.556,188.667
2011-01-08,7.292,8.396,1.104,,5.875,,,
2011-01-09,18.208,24.333,6.125,,17.375,,,
2011-01-10,21.923,30.992,9.068,,15.0,197.375,30.75,228.125
2011-01-11,13.542,21.458,7.917,,12.292,192.0,26.75,218.75
2011-01-12,11.24,13.826,2.587,,6.208,,,
2011-01-13,17.625,24.083,6.458,,11.25,,,
2011-01-14,8.625,10.396,1.771,,10.333,,,
2011-01-15,8.625,10.416,1.792,,12.792,,,
2011-01-16,18.02,27.188,9.166,,19.417,,,
2011-01-17,23.916,37.771,13.855,,20.667,,,
2011-01-18,25.592,36.46,10.869,,22.783,,,
2011-01-19,19.804,32.0,12.196,,19.375,,,
2011-01-20,18.688,25.292,6.604,,19.125,,,
2011-01-21,14.062,17.312,3.25,,9.75,,,
2011-01-22,12.458,20.188,7.729,,12.917,,,
2011-01-23,16.25,27.146,10.896,,10.958,,,
2011-01-24,12.958,16.479,3.521,,8.875,,,
2011-01-25,18.421,27.501,9.08,,13.0,,,
2011-01-26,11.804,14.804,3.0,,7.917,,,
2011-01-27,18.458,25.98,7.521,,12.75,,,
2011-01-28,8.458,9.896,1.438,,9.917,,,
2011-01-29,5.875,6.188,0.312,,8.542,,,
2011-01-30,13.0,16.25,3.25,,7.833,,,
2011-01-31,12.771,20.479,7.708,,8.25,,,
2011-02-01,15.125,20.625,5.5,,9.083,,,
2011-02-02,9.826,11.544,1.718,,8.75,,,
2011-02-03,19.666,28.125,8.458,,10.958,193.25,37.5,230.75
2011-02-04,13.458,17.104,3.646,,10.667,188.609,11.652,200.261
2011-02-05,11.625,13.625,2.0,,19.083,191.348,11.435,202.783
2011-02-06,25.5,34.913,9.413,,41.435,193.381,23.714,217.095
2011-02-07,23.084,38.292,15.208,,26.125,193.609,29.435,223.043
2011-02-08,4.938,5.52,0.584,,4.833,186.652,6.304,192.957
2011-02-09,12.696,17.261,4.565,,5.167,188.087,8.652,196.739
2011-02-10,16.729,21.896,5.166,,8.333,187.435,11.13,198.565
2011-02-11,8.334,9.208,0.875,,8.5,186.087,5.826,191.913
2011-02-12,6.562,7.688,1.125,,8.958,189.0,9.0,198.0
2011-02-13,16.25,21.688,5.438,,18.0,188.5,21.75,210.25
2011-02-14,24.396,36.584,12.188,,31.333,192.739,24.609,217.348
2011-02-15,11.717,25.218,13.5,,14.696,190.636,15.318,205.955
2011-02-16,15.63,20.782,5.152,,13.708,189.739,14.13,203.87
2011-02-17,14.646,25.938,11.292,,14.708,188.087,14.739,202.826
2011-02-18,6.771,7.667,0.896,,8.125,186.087,5.217,191.304
2011-02-19,11.125,13.02,1.896,,10.917,188.696,10.783,199.478
2011-02-20,20.208,25.0,4.792,,12.083,189.217,15.435,204.652
2011-02-21,16.229,20.375,4.146,,14.417,188.391,11.13,199.522
2011-02-22,18.188,23.208,5.021,,22.375,188.043,12.304,200.348
2011-02-23,18.5,24.348,5.848,,26.0,186.609,16.696,203.304
2011-02-24,10.25,11.341,1.091,,24.609,190.182,9.5,199.682
2011-02-25,10.271,12.688,2.417,,12.167,186.957,8.348,195.304
2011-02-26,5.334,6.48,1.146,,8.75,188.0,5.87,193.87
2011-02-27,4.584,5.229,0.646,,10.625,186.174,3.652,189.826
2011-02-28,13.584,15.542,1.958,,13.792,187.957,9.261,197.217
2011-03-01,25.76,38.739,12.978,,19.0,201.348,25.739,227.087
2011-03-02,20.584,33.334,12.75,,19.5,199.652,21.391,221.043
2011-03-03,11.792,14.73,2.938,,17.375,199.125,11.25,210.375
2011-03-04,8.042,9.604,1.562,,17.75,199.542,16.042,215.583
2011-03-05,16.355,20.334,3.979,,14.125,199.125,16.958,216.083
2011-03-06,19.938,34.771,14.834,,20.5,202.25,25.792,228.042
2011-03-07,14.5,17.854,3.354,,29.333,197.833,13.542,211.375
2011-03-08,19.857,24.69,4.834,,24.13,197.75,14.7,212.45
2011-03-09,16.771,20.812,4.042,,16.208,191.435,14.13,205.565
2011-03-10,10.562,11.938,1.375,,8.5,189.217,9.609,198.826
2011-03-11,9.334,11.104,1.771,,10.083,189.0,9.783,198.783
2011-03-12,7.312,8.896,1.584,,5.0,187.957,6.0,193.957
2011-03-13,8.604,9.625,1.021,,8.375,189.435,6.696,196.13
2011-03-14,18.269,21.646,3.378,,13.0,191.304,28.043,219.348
2011-03-15,10.108,12.739,2.63,,13.875,189.609,10.261,199.87
2011-03-16,19.583,22.896,3.312,,18.542,190.739,15.348,206.087
2011-03-17,26.916,35.5,8.583,,39.167,194.696,27.348,222.043
2011-03-18,21.875,31.792,9.916,,35.875,202.522,34.478,237.0
2011-03-19,5.396,5.944,0.548,,6.5,187.864,5.364,193.227
2011-03-20,7.875,9.062,1.188,,11.083,187.913,7.391,195.304
