date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean
2011-01-01,12.225,18.317,6.092,3.458,7.925,
2011-01-02,4.5,6.658,2.158,3.812,4.025,
2011-01-03,5.4,7.775,2.375,3.135,3.583,
2011-01-04,14.885,25.166,10.281,2.875,5.3,
2011-01-05,13.458,23.867,10.408,3.114,6.142,
2011-01-06,17.417,34.442,17.025,3.104,4.775,
2011-01-07,21.05,32.983,11.933,5.729,10.166,
2011-01-08,29.292,58.984,29.692,3.969,17.842,
2011-01-09,19.067,31.342,12.275,3.416,9.133,
2011-01-10,20.442,42.109,21.667,4.634,12.31,
2011-01-11,12.167,22.517,10.35,2.917,5.566,
2011-01-12,22.405,44.556,22.151,3.826,5.406,
2011-01-13,25.758,60.208,34.45,4.542,15.95,
2011-01-14,12.825,22.4,9.575,3.521,7.75,
2011-01-15,17.267,31.092,13.825,3.031,7.792,
2011-01-16,20.601,46.418,25.817,3.76,9.758,
2011-01-17,24.3,57.65,33.35,4.021,9.775,
2011-01-18,24.208,51.183,26.975,3.903,10.816,
2011-01-19,30.742,72.642,41.9,6.416,16.408,
2011-01-20,27.175,50.9,23.725,6.927,13.25,
2011-01-21,21.592,43.392,21.8,4.562,13.967,
2011-01-22,11.408,17.192,5.783,3.229,3.95,
2011-01-23,10.3,16.117,5.817,3.436,8.983,
2011-01-24,16.525,27.817,11.292,3.823,8.583,
2011-01-25,20.608,40.575,19.967,3.708,9.775,
2011-01-26,27.293,69.278,41.984,3.74,12.959,
2011-01-27,25.5,62.575,37.075,3.781,13.417,
2011-01-28,19.958,34.108,14.15,4.24,7.992,
2011-01-29,21.567,42.958,21.392,4.531,9.158,
2011-01-30,24.68,42.727,18.047,6.208,11.525,
2011-01-31,20.8,35.408,14.608,4.542,10.283,
2011-02-01,21.417,38.808,17.392,6.135,13.592,
2011-02-02,13.5,22.25,8.75,5.688,4.658,
2011-02-03,25.141,59.5,34.358,3.958,9.975,
2011-02-04,20.0,43.859,23.858,4.052,10.408,
2011-02-05,12.991,20.833,7.842,3.688,8.833,
2011-02-06,15.958,26.275,10.317,4.373,11.365,
2011-02-07,21.275,38.842,17.567,4.75,18.475,
2011-02-08,9.142,13.067,3.925,3.949,10.121,
2011-02-09,16.374,28.803,12.429,3.344,7.917,
2011-02-10,10.933,15.767,4.833,3.424,8.754,
2011-02-11,15.667,25.458,9.792,3.104,9.225,
2011-02-12,8.658,12.433,3.775,2.719,8.983,
2011-02-13,19.15,30.602,11.452,3.719,9.033,
2011-02-14,19.55,28.308,8.758,8.792,26.484,
2011-02-15,8.9,12.208,3.308,5.552,18.7,
2011-02-16,16.992,31.917,14.925,4.25,10.95,
2011-02-17,21.35,42.417,21.067,4.146,10.734,
2011-02-18,21.542,38.567,17.025,4.542,10.7,
2011-02-19,20.167,36.925,16.758,4.417,11.008,
2011-02-20,18.089,37.094,19.006,4.447,12.268,
2011-02-21,8.917,12.025,3.108,4.136,13.675,
2011-02-22,24.763,46.24,21.477,4.666,13.558,
2011-02-23,13.913,20.474,6.56,7.198,18.717,
2011-02-24,13.374,21.417,8.042,5.268,8.26,
2011-02-25,20.342,29.375,9.033,8.948,12.275,
2011-02-26,12.608,17.233,4.625,4.448,8.842,
2011-02-27,21.38,42.132,20.752,3.75,7.967,
2011-02-28,26.099,45.836,19.737,4.729,10.85,
2011-03-01,12.158,16.592,4.433,5.77,15.117,
2011-03-02,10.2,15.842,5.642,5.229,16.908,
2011-03-03,8.958,13.85,4.891,4.219,10.159,
2011-03-04,11.325,15.65,4.325,3.448,9.692,
2011-03-05,23.749,37.573,13.823,4.964,11.033,
2011-03-06,19.467,29.433,9.967,5.688,7.025,
2011-03-07,8.433,11.642,3.208,3.802,5.65,
2011-03-08,15.29,22.962,7.672,3.51,7.825,
2011-03-09,14.872,21.888,7.016,4.113,7.081,
2011-03-10,13.85,21.167,7.317,3.99,10.833,
2011-03-11,8.567,12.133,3.567,4.073,9.558,
2011-03-12,11.282,16.801,5.519,4.458,11.233,
2011-03-13,12.325,18.508,6.183,5.0,9.683,
2011-03-14,12.792,19.225,6.433,5.062,10.992,
2011-03-15,8.633,11.967,3.333,4.781,15.908,
2011-03-16,12.925,18.617,5.692,5.765,13.362,
2011-03-17,8.675,11.05,2.375,4.177,13.567,
2011-03-18,6.375,8.575,2.2,3.208,11.85,
2011-03-19,7.908,12.233,4.325,3.737,9.636,
2011-03-20,9.308,12.55,3.242,3.594,9.892,
2011-03-21,11.508,16.717,5.208,3.875,12.2,
2011-03-22,16.558,23.03,6.472,4.452,17.435,
2011-03-23,16.804,25.97,9.166,4.323,17.742,
2011-03-24,9.933,14.408,4.475,4.188,10.442,
2011-03-25,10.917,15.742,4.825,4.812,8.592,
2011-03-26,15.849,29.765,13.916,4.052,13.033,
2011-03-27,15.275,23.717,8.442,3.792,12.192,
2011-03-28,16.092,22.617,6.525,4.281,15.758,
2011-03-29,11.05,14.442,3.392,4.896,17.825,
2011-03-30,8.342,11.15,2.808,4.458,26.142,
2011-03-31,6.675,10.192,3.517,3.031,14.725,
2011-04-01,6.3,8.167,1.867,4.24,22.342,
2011-04-02,4.442,6.608,2.167,2.906,6.567,
2011-04-03,4.533,6.75,2.217,2.448,5.042,
2011-04-04,9.642,15.35,5.708,3.788,8.907,
2011-04-05,15.183,21.825,6.642,4.396,17.084,
2011-04-06,8.9,12.342,3.442,4.854,21.158,
2011-04-07,7.985,10.458,2.474,4.814,19.709,
2011-04-08,11.492,17.65,6.158,3.552,12.233,
2011-04-09,9.192,12.767,3.575,4.135,11.975,
2011-04-10,6.05,8.325,2.275,5.031,18.766,
2011-04-11,7.933,12.714,4.781,3.729,21.1,
2011-04-12,8.308,12.775,4.467,4.177,15.142,
2011-04-13,11.734,15.788,4.053,4.032,19.406,
2011-04-14,12.975,18.925,5.95,5.427,36.125,
2011-04-15,7.433,8.533,1.1,6.918,49.663,
2011-04-16,6.775,8.325,1.55,4.177,18.575,
2011-04-17,3.267,4.908,1.642,2.948,7.825,
2011-04-18,5.533,9.025,3.492,2.75,5.572,
2011-04-19,7.392,11.108,3.717,3.854,5.459,
2011-04-20,6.719,11.118,4.399,4.427,9.967,
2011-04-21,8.185,13.656,5.471,3.146,12.092,
2011-04-22,6.217,8.941,2.724,3.257,11.855,
2011-04-23,5.042,8.267,3.225,2.573,6.883,
2011-04-24,4.605,6.25,1.645,3.433,6.495,
2011-04-25,9.645,13.346,3.702,3.552,15.0,
2011-04-26,8.342,11.058,2.716,4.552,19.467,
2011-04-27,10.75,16.433,5.683,4.364,29.433,
2011-04-28,8.875,13.058,4.183,3.427,8.05,
2011-04-29,4.875,7.3,2.425,3.49,6.592,
2011-04-30,5.775,7.733,1.958,4.99,20.075,
2011-05-01,4.442,5.675,1.233,3.282,11.208,
