date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,PM25_mean
2011-01-01,196.083,18.167,13.167,15.167,2.0,4.333,42.5,214.25,
2011-01-02,186.333,10.208,8.792,9.792,1.0,2.708,14.875,196.542,
2011-01-03,198.417,16.542,14.043,15.913,1.87,4.636,34.208,214.958,
2011-01-04,188.652,11.652,12.0,14.917,2.917,9.333,25.292,200.304,
2011-01-05,201.143,20.0,21.0,28.571,7.571,2.429,20.952,221.143,
2011-01-06,199.783,24.565,24.125,37.375,13.25,4.542,24.125,224.348,
2011-01-07,195.565,21.783,19.583,31.125,11.542,4.958,22.292,217.348,
2011-01-08,200.957,24.522,19.833,30.25,10.417,4.5,30.0,225.478,
2011-01-09,205.65,21.4,19.0,24.143,5.143,6.19,50.762,227.05,
2011-01-10,203.826,28.913,25.522,41.261,15.739,7.545,68.208,232.739,
2011-01-11,201.667,23.917,18.208,33.375,15.167,7.667,49.833,225.583,
2011-01-12,195.609,21.087,23.583,33.167,9.583,3.208,21.125,216.696,
2011-01-13,192.333,16.792,17.125,23.542,6.417,6.667,28.667,209.125,
2011-01-14,200.217,23.304,23.167,30.0,6.833,4.333,51.833,223.522,
2011-01-15,198.913,18.87,17.333,20.0,2.667,3.25,41.417,217.783,
2011-01-16,188.217,16.739,16.917,20.083,3.167,2.375,23.333,204.957,
2011-01-17,190.125,23.75,20.043,35.304,15.261,2.955,15.125,213.875,
2011-01-18,196.75,27.5,24.0,36.667,12.667,3.667,24.524,224.25,
2011-01-19,196.696,30.739,24.875,46.75,21.875,3.042,33.833,227.435,
2011-01-20,188.043,16.87,12.25,19.542,7.292,2.208,9.917,204.913,
2011-01-21,186.957,16.957,12.375,16.375,4.0,3.875,15.375,203.913,
2011-01-22,192.478,15.391,10.75,12.875,2.125,4.75,16.25,207.87,
2011-01-23,185.0,9.417,8.5,9.5,1.0,1.375,7.75,194.417,
2011-01-24,186.087,9.652,9.826,11.217,1.391,7.909,15.042,195.739,
2011-01-25,192.208,12.958,13.708,17.542,3.833,6.583,23.292,205.167,
2011-01-26,194.75,19.45,18.619,29.143,10.524,4.619,14.333,214.2,
2011-01-27,193.826,18.739,19.625,26.875,7.25,3.167,22.167,212.565,
2011-01-28,196.609,16.826,14.75,16.792,2.042,4.542,36.042,213.435,
2011-01-29,189.917,12.625,10.708,13.667,2.958,4.583,26.125,202.542,
2011-01-30,194.826,13.696,13.167,15.708,2.542,2.75,20.75,208.522,
2011-01-31,196.792,18.875,21.565,28.391,6.826,5.364,25.292,215.667,
2011-02-01,190.652,15.217,15.667,19.25,3.583,8.125,35.792,205.87,
2011-02-02,184.19,8.238,7.81,8.952,1.143,6.524,10.429,192.429,
2011-02-03,189.348,15.391,17.042,22.417,5.375,2.708,17.333,204.739,
2011-02-04,197.261,17.696,16.417,22.917,6.5,5.25,27.583,214.957,
2011-02-05,199.826,20.522,17.292,21.208,3.917,4.083,44.375,220.348,
2011-02-06,194.625,30.625,26.208,43.792,17.583,3.167,61.458,225.25,
2011-02-07,186.4,11.8,10.0,11.4,1.4,8.421,20.619,198.2,
2011-02-08,185.292,7.667,6.958,8.208,1.25,6.75,11.0,192.958,
2011-02-09,188.087,12.391,14.542,18.167,3.625,2.458,16.292,200.478,
2011-02-10,193.333,15.125,15.292,18.5,3.208,2.0,17.042,208.458,
2011-02-11,191.435,15.522,14.792,19.333,4.542,2.875,15.708,206.957,
2011-02-12,196.292,17.708,17.917,21.958,4.042,4.25,18.792,214.0,
2011-02-13,194.043,29.826,23.5,44.375,20.875,2.75,37.0,223.87,
2011-02-14,199.792,41.125,25.348,71.348,46.0,2.273,36.208,240.917,
2011-02-15,192.75,26.15,19.143,33.476,14.333,2.714,24.143,218.9,
2011-02-16,190.792,14.917,15.25,18.792,3.542,3.542,23.75,205.708,
2011-02-17,186.391,8.826,8.708,10.583,1.875,5.958,14.042,195.217,
2011-02-18,188.083,9.958,9.625,11.458,1.833,5.208,14.5,198.042,
2011-02-19,193.348,12.609,11.542,12.583,1.042,3.208,20.208,205.957,
2011-02-20,193.042,16.792,18.083,23.333,5.25,1.792,15.583,209.833,
2011-02-21,200.0,26.609,27.348,39.783,12.435,3.5,31.333,226.609,
2011-02-22,193.333,38.048,26.952,63.048,36.095,3.286,42.095,231.381,
2011-02-23,194.609,26.783,17.583,34.125,16.542,2.375,27.167,221.391,
2011-02-24,190.667,16.583,19.042,23.292,4.25,8.958,44.875,207.25,
2011-02-25,188.0,15.13,12.542,13.208,0.667,2.583,42.917,203.13,
2011-02-26,189.625,11.917,9.875,10.5,0.625,1.667,14.958,201.542,
2011-02-27,197.478,16.565,14.542,19.125,4.583,1.208,11.292,214.043,
2011-02-28,192.375,17.417,16.13,23.13,7.0,2.182,14.667,209.792,
2011-03-01,191.458,24.5,23.292,36.583,13.292,2.458,32.083,215.958,
2011-03-02,187.348,20.565,18.917,23.917,5.0,1.333,27.833,207.913,
2011-03-03,185.833,10.25,7.583,8.083,0.5,18.292,14.083,196.083,
2011-03-04,190.0,18.261,15.5,19.208,3.708,2.292,32.375,208.261,
2011-03-05,193.625,34.75,23.292,51.292,28.0,1.292,27.875,228.375,
2011-03-06,190.217,18.348,13.696,18.435,4.739,1.318,23.375,208.565,
2011-03-07,196.238,19.095,18.524,21.524,3.0,2.381,56.286,215.333,
2011-03-08,204.091,24.136,19.042,28.25,9.208,2.625,47.417,228.227,
2011-03-09,190.5,13.458,10.667,11.375,0.708,1.625,34.333,203.958,
2011-03-10,190.636,12.318,12.667,14.833,2.167,1.75,21.292,202.955,
2011-03-11,193.75,13.25,11.208,12.958,1.75,5.083,28.667,207.0,
2011-03-12,187.87,8.957,9.667,10.458,0.792,4.5,11.917,196.826,
2011-03-13,192.625,14.958,18.957,23.087,4.13,2.455,16.833,207.583,
2011-03-14,198.579,17.842,21.048,25.238,4.19,3.381,24.286,216.421,
2011-03-15,195.25,19.333,19.583,23.458,3.875,5.083,38.083,214.583,
2011-03-16,202.364,31.318,37.083,47.375,10.292,3.917,55.75,233.682,
2011-03-17,193.125,26.708,25.625,30.958,5.333,1.042,39.708,219.833,
2011-03-18,192.091,19.318,16.458,17.792,1.333,0.792,37.583,211.409,
2011-03-19,195.905,21.381,18.476,24.238,5.762,2.143,31.143,217.286,
2011-03-20,193.652,16.391,14.261,18.304,4.043,2.0,25.417,210.043,
2011-03-21,194.333,16.542,17.667,19.958,2.292,1.792,19.875,210.875,
2011-03-22,195.696,20.652,21.25,26.667,5.417,4.0,24.75,216.348,
2011-03-23,185.208,16.292,13.708,15.833,2.125,0.625,18.0,201.5,
2011-03-24,187.739,10.783,10.0,11.458,1.458,2.292,38.083,198.522,
2011-03-25,187.792,8.792,7.292,7.75,0.458,3.125,11.667,196.583,
2011-03-26,186.696,9.391,9.042,10.083,1.042,1.042,10.417,196.087,
2011-03-27,195.125,16.292,17.609,21.217,3.609,1.773,17.167,211.417,
2011-03-28,192.684,17.842,19.333,21.81,2.476,2.238,36.0,210.526,
2011-03-29,193.792,17.875,19.542,21.792,2.25,3.042,36.792,211.667,
2011-03-30,188.409,17.045,16.542,18.5,1.958,10.958,32.083,205.455,
2011-03-31,186.042,8.5,7.417,8.083,0.667,2.625,17.875,194.542,
2011-04-01,194.542,19.958,21.167,25.375,4.208,2.917,59.833,214.5,
2011-04-02,188.75,16.583,16.458,18.583,2.125,1.458,54.0,205.333,
2011-04-03,185.75,10.375,7.417,7.667,0.25,1.625,45.5,196.125,
2011-04-04,183.667,7.292,6.292,6.833,0.542,4.375,23.708,190.958,
2011-04-05,185.783,12.652,15.87,18.217,2.348,5.348,28.958,198.435,
2011-04-06,193.35,18.55,19.524,23.476,3.952,1.857,31.81,211.9,
2011-04-07,183.292,12.167,10.708,12.458,1.75,2.542,26.042,195.458,
2011-04-08,183.087,16.478,16.417,19.208,2.792,1.417,28.083,199.565,
2011-04-09,184.348,14.13,11.792,12.833,1.042,0.708,46.333,198.478,
2011-04-10,193.652,15.217,12.625,13.542,0.917,1.667,44.708,208.87,
2011-04-11,190.625,15.583,12.625,13.542,0.917,2.125,48.125,206.208,
2011-04-12,190.957,14.174,14.565,16.043,1.478,2.13,41.708,205.13,
2011-04-13,193.619,14.81,14.81,16.381,1.571,2.286,44.857,208.429,
2011-04-14,187.917,13.917,14.417,15.917,1.5,1.708,42.375,201.833,
2011-04-15,186.958,19.125,17.583,20.458,2.875,1.208,52.25,206.083,
2011-04-16,187.708,16.042,10.667,11.583,0.917,1.292,74.542,203.75,
2011-04-17,188.875,15.542,11.667,12.542,0.875,3.833,68.333,204.417,
2011-04-18,184.0,10.75,9.0,10.0,1.0,0.708,41.042,194.75,
2011-04-19,185.0,10.792,10.609,11.522,0.913,0.565,27.458,195.792,
2011-04-20,188.429,14.667,15.905,17.619,1.714,1.048,33.429,203.095,
2011-04-21,188.917,17.583,18.292,20.75,2.458,2.833,44.292,206.5,
2011-04-22,187.5,17.042,17.792,20.625,2.833,4.667,40.333,204.542,
2011-04-23,183.583,12.583,8.833,9.542,0.708,0.875,37.583,196.167,
2011-04-24,187.167,12.708,11.208,12.042,0.833,0.75,44.167,199.875,
2011-04-25,186.542,13.292,13.708,15.208,1.5,1.5,47.375,199.833,
2011-04-26,187.417,13.875,12.174,14.522,2.348,1.913,34.333,201.292,
2011-04-27,183.333,15.048,13.571,15.095,1.524,1.476,42.143,198.381,
2011-04-28,183.783,10.13,10.75,12.333,1.583,0.792,35.875,193.913,
2011-04-29,187.609,13.739,12.958,14.583,1.625,0.875,32.625,201.348,
2011-04-30,187.13,16.087,15.208,16.708,1.5,2.458,48.5,203.217,
2011-05-01,182.957,13.348,9.583,10.458,0.875,1.167,63.333,196.304,
2011-05-02,195.75,16.0,14.571,16.429,1.857,0.905,140.19,211.75,
2011-05-03,189.783,18.174,16.261,18.478,2.217,0.609,148.667,207.957,
2011-05-04,192.13,15.826,12.25,13.625,1.375,1.792,84.5,207.957,
2011-05-05,185.087,12.783,10.125,10.792,0.667,1.208,47.458,197.87,
2011-05-06,184.435,14.304,12.25,13.5,1.25,0.583,28.542,198.739,
2011-05-07,182.625,16.167,13.333,15.5,2.167,1.333,27.333,198.792,
2011-05-08,183.826,15.565,8.292,9.167,0.875,0.833,38.583,199.391,
2011-05-09,177.217,15.261,7.708,11.208,3.5,1.208,30.833,192.478,
2011-05-10,173.391,13.478,5.696,8.87,3.174,0.478,28.708,186.87,
2011-05-11,173.565,15.652,6.958,12.25,5.292,0.458,33.458,189.217,
2011-05-12,178.3,15.1,9.619,13.762,4.143,0.333,33.619,193.4,
2011-05-13,183.458,10.667,11.333,12.958,1.625,1.167,51.043,194.125,
2011-05-14,186.522,13.217,11.833,12.708,0.875,2.583,47.792,199.739,
2011-05-15,189.043,15.826,11.875,12.458,0.583,1.667,48.875,204.87,
2011-05-16,190.87,17.826,15.958,16.833,0.875,2.833,63.417,208.696,
2011-05-17,187.522,16.913,12.217,13.522,1.304,1.261,58.458,204.435,
2011-05-18,186.9,16.55,12.619,13.81,1.19,3.81,42.429,203.45,
2011-05-19,189.25,17.583,14.625,16.333,1.708,2.25,43.792,206.833,
2011-05-20,184.13,19.957,13.958,16.542,2.583,2.583,29.292,204.087,
2011-05-21,178.125,16.917,8.5,11.042,2.542,3.083,26.917,195.042,
2011-05-22,177.304,13.522,7.417,8.625,1.208,0.583,22.458,190.826,
2011-05-23,182.261,16.435,11.292,12.375,1.083,2.75,23.208,198.696,
2011-05-24,180.8,12.95,8.15,9.05,0.9,3.4,14.286,193.75,
2011-05-25,180.167,11.333,7.0,7.792,0.792,0.667,22.333,191.5,
2011-05-26,180.739,19.957,16.292,19.292,3.0,0.625,26.75,200.696,
2011-05-27,183.458,19.833,15.542,18.083,2.542,0.417,44.917,203.292,
2011-05-28,187.304,20.348,13.958,15.292,1.333,0.875,35.75,207.652,
2011-05-29,179.583,12.875,4.833,4.958,0.125,0.292,13.0,192.458,
2011-05-30,182.348,14.565,7.167,7.583,0.417,0.333,27.625,196.913,
2011-05-31,186.583,17.417,13.478,15.913,2.435,2.87,33.917,204.0,
2011-06-01,183.348,16.957,13.042,15.0,1.958,2.958,40.0,200.304,
2011-06-02,181.905,15.333,9.762,11.048,1.286,0.905,37.333,197.238,
2011-06-03,183.696,16.826,11.0,13.042,2.042,1.667,46.583,200.522,
2011-06-04,182.208,16.042,9.875,11.5,1.625,3.667,41.542,198.25,
2011-06-05,186.609,18.652,10.0,10.75,0.75,1.917,36.25,205.261,
2011-06-06,186.375,19.5,12.583,15.083,2.5,3.792,41.958,205.875,
2011-06-07,182.0,19.0,13.261,13.783,0.522,0.783,25.542,201.0,
2011-06-08,182.857,17.667,11.619,12.952,1.333,0.714,23.381,200.524,
2011-06-09,186.13,15.174,10.292,11.75,1.458,1.042,47.875,201.304,
2011-06-10,179.083,14.417,11.083,14.458,3.375,0.25,30.125,193.5,
2011-06-11,171.217,11.348,6.875,9.958,3.083,0.042,18.417,182.565,
2011-06-12,180.917,15.083,10.25,10.708,0.458,0.0,18.167,196.0,
2011-06-13,184.826,15.609,12.5,14.417,1.917,0.5,26.042,200.435,
2011-06-14,185.143,16.619,13.0,13.9,0.9,0.85,50.524,201.762,
2011-06-15,186.13,17.391,13.708,15.0,1.292,0.667,38.292,203.522,
2011-06-16,180.292,16.542,13.958,17.083,3.125,0.25,16.042,196.833,
2011-06-17,180.783,13.913,8.667,10.292,1.625,0.417,19.083,194.696,
2011-06-18,180.917,17.875,15.25,18.292,3.042,0.0,15.958,198.792,
2011-06-19,181.783,17.783,11.25,13.042,1.792,0.042,15.333,199.565,
2011-06-20,182.222,17.222,14.125,16.917,2.792,0.375,12.583,199.444,
2011-06-21,173.75,18.0,10.174,14.957,4.783,0.348,15.667,191.75,
2011-06-22,175.81,17.381,8.143,13.667,5.524,1.333,22.286,193.19,
2011-06-23,173.75,14.708,5.708,10.417,4.708,2.042,26.375,188.458,
2011-06-24,173.708,15.042,6.833,11.417,4.583,2.333,24.042,188.75,
2011-06-25,178.636,20.273,8.333,12.917,4.583,1.208,21.667,198.909,
2011-06-26,173.167,12.542,4.25,6.583,2.333,1.333,21.958,185.708,
2011-06-27,175.25,13.833,6.125,8.375,2.25,0.667,23.875,189.083,
2011-06-28,175.417,15.042,6.87,11.435,4.565,1.87,24.5,190.458,
2011-06-29,177.842,15.947,6.905,11.19,4.286,3.0,26.524,193.789,
2011-06-30,176.792,15.083,7.542,11.333,3.792,2.083,26.083,191.875,
