date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,PM25_mean
2011-01-01,195.15,17.583,15.054,19.083,4.029,1.328,15.992,212.733,19.625
2011-01-02,190.618,9.837,8.358,10.5,2.142,1.073,8.979,200.455,8.062
2011-01-03,189.111,7.16,6.221,7.329,1.108,0.974,8.692,196.272,10.208
2011-01-04,191.052,8.487,6.326,7.698,1.373,3.432,20.379,199.539,23.084
2011-01-05,190.992,9.217,13.124,17.715,4.591,0.578,6.119,200.208,5.48
2011-01-06,192.431,13.514,20.859,34.604,13.745,0.835,8.83,205.944,10.438
2011-01-07,191.917,8.972,10.524,13.536,3.013,0.906,5.463,200.889,5.979
2011-01-08,192.486,10.048,9.575,12.521,2.946,0.776,5.046,202.535,5.812
2011-01-09,192.476,12.176,13.088,16.688,3.6,2.037,11.083,204.652,11.625
2011-01-10,192.299,18.458,20.096,35.321,15.225,1.573,19.045,210.758,18.5
2011-01-11,191.184,12.75,15.06,25.325,10.265,2.109,21.912,203.934,20.0
2011-01-12,191.333,12.264,17.357,27.531,10.174,1.284,6.542,203.597,6.875
2011-01-13,192.639,19.158,18.388,36.594,18.206,2.141,13.158,211.798,15.896
2011-01-14,191.389,9.868,10.821,14.248,3.427,2.104,13.054,201.257,13.562
2011-01-15,189.458,7.993,8.0,9.562,1.563,1.344,7.2,197.452,7.833
2011-01-16,190.163,10.082,17.596,24.321,6.725,2.0,10.537,200.245,11.352
2011-01-17,190.318,14.182,19.158,30.936,11.778,1.547,12.375,204.499,12.354
2011-01-18,193.541,24.127,27.861,54.512,26.651,2.464,16.692,217.668,18.48
2011-01-19,192.882,26.361,29.438,53.241,23.803,2.208,16.926,219.243,17.312
2011-01-20,189.153,18.535,24.982,37.446,12.464,1.008,11.881,207.687,10.438
2011-01-21,189.569,16.958,20.838,28.418,7.58,1.109,11.917,206.528,10.188
2011-01-22,189.798,15.451,13.833,19.212,5.379,1.521,7.667,205.25,7.333
2011-01-23,189.792,9.639,10.392,13.694,3.302,0.937,5.367,199.431,4.292
2011-01-24,190.089,9.931,11.721,16.5,4.779,0.807,5.42,200.019,4.938
2011-01-25,190.43,9.288,11.171,16.816,5.644,1.428,11.089,199.718,12.25
2011-01-26,191.368,9.403,12.224,16.665,4.441,0.947,5.867,200.771,5.625
2011-01-27,192.125,10.222,12.928,17.551,4.623,2.446,15.777,202.347,17.208
2011-01-28,192.875,10.555,13.522,16.761,3.239,2.088,16.104,203.431,15.896
2011-01-29,192.66,7.84,7.762,9.475,1.712,1.245,7.496,200.5,7.479
2011-01-30,192.597,9.649,14.948,21.511,6.563,1.06,6.45,202.246,7.396
2011-01-31,190.768,10.157,15.746,25.054,9.308,0.943,7.337,200.925,8.146
2011-02-01,192.692,17.486,20.1,38.424,18.325,1.859,13.467,210.179,14.604
2011-02-02,189.889,9.167,11.616,16.787,5.171,0.946,6.933,199.056,8.125
2011-02-03,192.618,12.688,19.148,28.015,8.867,1.021,10.369,205.305,11.312
