date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CO_mean
2011-04-30,16.5415,28.708,12.1665,,3.542
2011-05-01,8.25,12.6875,4.4375,,2.792
2011-05-02,16.9375,25.6875,8.75,,3.625
2011-05-03,16.6625,21.8235,5.161,,4.333
2011-05-04,10.5625,16.0625,5.5,,3.87
2011-05-05,15.5,19.083,3.5835,,3.25
2011-05-06,16.0435,23.3425,7.2995,,3.167
2011-05-07,13.646,18.896,5.25,,3.25
2011-05-08,17.3125,22.6665,5.3545,,3.708
2011-05-09,21.125,29.4585,8.3335,,3.667
2011-05-10,20.4965,44.3705,23.8745,,3.5
2011-05-11,25.9565,55.949,29.9925,,3.783
2011-05-12,23.2085,50.5625,27.3545,,4.042
2011-05-13,19.1625,30.896,11.7335,,3.652
2011-05-14,20.229,36.1875,15.957999999999998,,3.833
2011-05-15,15.771,18.4375,2.6665,,3.375
2011-05-16,21.3545,28.479,7.125,,3.292
2011-05-17,24.642,47.7065,23.064500000000002,,3.75
2011-05-18,21.305,33.6305,12.325500000000002,,3.348
2011-05-19,23.5205,39.3125,15.7915,,3.042
2011-05-20,22.5205,44.9375,22.4165,,3.167
2011-05-21,13.625,25.625,12.0,,3.125
2011-05-22,11.1045,17.6665,6.5625,,2.792
2011-05-23,25.125,47.521,22.3955,,3.208
2011-05-24,23.2635,37.144,13.8805,,3.0
2011-05-25,19.9995,38.8695,18.8705,,3.174
2011-05-26,28.9375,52.0,23.0625,,3.833
2011-05-27,26.271,41.5415,15.270499999999998,,3.542
2011-05-28,25.0415,40.8335,15.7915,,4.167
2011-05-29,13.0415,23.708,10.6665,,3.417
2011-05-30,11.729,20.4165,8.6875,,2.417
2011-05-31,16.706,29.4015,12.6955,,2.833
2011-06-01,21.729,38.459,16.73,,3.261
2011-06-02,18.4375,35.6875,17.25,,3.25
2011-06-03,16.896,32.125,15.229,,3.667
2011-06-04,15.75,27.625,11.875,,3.583
2011-06-05,12.625,19.167,6.542,,3.292
2011-06-06,20.104,30.2705,10.1665,,4.0
2011-06-07,23.8755,41.435,17.559,,4.125
2011-06-08,20.956000000000003,33.269999999999996,12.314499999999999,,2.87
2011-06-09,15.979500000000002,31.271,15.2915,,3.208
2011-06-10,14.854,24.0205,9.1665,,2.875
2011-06-11,15.1875,23.1665,7.979,,3.583
2011-06-12,14.5625,22.4585,7.896,,4.625
2011-06-13,15.0835,26.75,11.667000000000002,,3.542
2011-06-14,20.557000000000002,35.0,14.443,,3.667
2011-06-15,22.043999999999997,46.108000000000004,24.063,,3.522
2011-06-16,30.146,68.479,38.3335,,4.083
2011-06-17,19.375,31.0415,11.6665,,3.208
2011-06-18,18.5625,36.375,17.8125,,4.792
2011-06-19,11.6665,19.396,7.729,,4.417
2011-06-20,14.229500000000002,28.9585,14.729,,2.917
2011-06-21,14.0215,25.758,11.7365,,2.542
2011-06-22,15.748000000000001,46.9675,31.2195,,2.913
2011-06-23,14.5415,43.6875,29.1455,,2.792
2011-06-24,12.292,32.646,20.354,,2.542
2011-06-25,9.229,29.7705,20.5415,,2.75
2011-06-26,2.6875,4.604,1.9165,,1.333
2011-06-27,5.3125,13.6665,8.354,,1.833
2011-06-28,10.0875,31.3755,21.288,,2.708
