date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean,SO2_mean
2011-01-01,188.957,13.087,14.472,17.945,3.472,,,202.043,5.667
2011-01-02,188.0,4.708,6.823,7.616,0.792,,,192.708,4.5
2011-01-03,188.25,5.667,9.028,10.389,1.361,,,193.917,5.792
2011-01-04,189.125,6.667,10.678,12.849,2.17,,,195.792,6.417
2011-01-05,188.167,8.375,15.028,20.097,5.069,,,196.542,3.917
2011-01-06,191.261,12.565,22.361,33.833,11.472,,,203.826,4.25
2011-01-07,192.5,17.625,15.875,26.292,10.417,,,210.125,3.739
2011-01-08,192.545,13.318,16.708,24.056,7.347,,,205.864,4.417
2011-01-09,193.042,14.875,15.237,20.437,5.199,,,207.917,5.708
2011-01-10,194.125,22.375,23.292,36.57,13.278,,,216.5,7.083
2011-01-11,191.261,7.478,11.634,16.021,4.387,,,198.739,5.417
2011-01-12,194.208,17.833,23.319,35.444,12.125,,,212.042,5.292
2011-01-13,192.652,13.87,17.528,28.917,11.389,,,206.522,5.75
2011-01-14,193.125,9.75,14.07,20.236,6.167,,,202.875,6.583
2011-01-15,191.292,10.792,11.75,14.569,2.819,,,202.083,4.125
2011-01-16,191.043,7.739,13.087,18.411,5.324,,,198.783,3.833
2011-01-17,191.083,18.958,21.375,35.667,14.292,,,210.042,4.167
2011-01-18,192.227,16.955,25.159,38.259,13.1,,,209.182,5.333
2011-01-19,190.458,13.917,19.597,28.458,8.861,,,204.375,3.875
2011-01-20,188.958,13.542,16.097,26.347,10.25,,,202.5,4.042
2011-01-21,188.333,11.917,16.847,22.68,5.833,,,200.25,3.208
2011-01-22,188.292,10.833,13.097,18.056,4.958,,,199.125,4.458
2011-01-23,192.304,8.174,10.505,15.893,5.387,,,200.478,3.261
2011-01-24,192.0,5.958,11.306,15.986,4.681,,,197.958,3.292
2011-01-25,194.208,8.292,14.314,21.041,6.726,,,202.5,4.167
2011-01-26,194.333,5.917,13.625,18.597,4.972,,,200.25,3.375
2011-01-27,195.458,13.667,15.417,20.847,5.43,,,209.125,5.208
2011-01-28,193.348,9.043,13.875,17.222,3.347,,,202.391,5.25
2011-01-29,193.417,10.042,12.736,15.722,2.986,,,203.458,3.958
2011-01-30,193.25,11.042,15.158,23.894,8.736,,,204.292,3.417
2011-01-31,191.792,11.125,18.945,27.222,8.278,,,202.917,3.958
2011-02-01,191.917,8.958,15.48,22.09,6.609,,,200.875,4.792
2011-02-02,192.957,6.174,10.403,14.139,3.736,,,199.13,3.292
2011-02-03,194.125,8.667,14.944,20.319,5.375,,,202.792,3.833
2011-02-04,194.667,8.375,15.222,20.125,4.903,,,203.042,6.25
2011-02-05,197.125,15.25,19.083,23.611,4.528,,,212.375,7.292
2011-02-06,194.111,8.0,17.859,23.963,6.105,,,202.111,6.208
2011-02-07,195.0,14.286,14.722,19.708,4.986,,,209.286,4.833
2011-02-08,193.0,9.391,8.874,13.064,4.191,,,202.391,3.478
2011-02-09,193.333,10.125,11.375,16.57,5.195,,,203.458,3.417
2011-02-10,193.5,12.375,14.431,21.291,6.861,,,205.875,3.667
2011-02-11,193.958,11.625,13.444,18.625,5.18,,,205.583,3.708
2011-02-12,194.292,9.042,10.264,12.708,2.444,,,203.333,4.0
2011-02-13,191.87,15.522,16.411,21.042,4.631,,,207.391,3.833
2011-02-14,193.042,27.292,24.806,38.972,14.167,,,220.333,4.0
2011-02-15,189.875,11.917,11.519,16.631,5.112,,,201.792,3.917
2011-02-16,189.0,13.0,15.014,21.236,6.222,,,202.0,4.208
2011-02-17,189.208,13.542,12.389,17.139,4.75,,,202.75,3.5
2011-02-18,193.652,10.957,12.195,16.125,3.931,,,204.609,3.833
2011-02-19,194.625,11.75,12.819,16.708,3.889,,,206.375,4.167
2011-02-20,193.667,15.625,22.664,32.693,10.029,,,209.292,5.25
2011-02-21,194.083,26.75,30.162,46.815,16.653,,,220.833,6.875
2011-02-22,193.083,13.0,21.333,25.328,3.994,,,206.083,4.826
2011-02-23,193.087,21.478,17.861,27.986,10.125,,,214.565,4.5
2011-02-24,192.833,11.375,16.486,19.722,3.236,,,204.208,6.167
2011-02-25,191.083,14.333,15.542,18.778,3.236,,,205.417,4.042
2011-02-26,190.667,7.417,5.819,6.722,0.903,,,198.083,3.083
2011-02-27,192.5,12.375,11.799,16.643,4.844,,,204.875,3.292
2011-02-28,191.435,10.957,16.514,21.125,4.611,,,202.391,3.792
2011-03-01,189.75,16.792,21.389,28.555,7.167,,,206.542,4.958
2011-03-02,189.417,17.0,20.486,32.361,11.875,,,206.417,4.458
2011-03-03,190.292,8.958,7.986,9.583,1.597,,,199.25,3.75
2011-03-04,191.217,11.087,10.833,13.111,2.278,,,202.304,3.0
2011-03-05,192.792,28.292,25.37,44.407,19.037,,,221.083,3.875
2011-03-06,193.333,24.667,21.005,38.407,17.403,,,218.0,4.625
2011-03-07,194.25,25.417,20.101,24.041,3.94,,,219.667,5.625
2011-03-08,195.478,19.652,24.416,30.903,6.486,,,215.13,5.75
2011-03-09,192.958,18.542,23.055,29.195,6.139,,,211.5,3.583
2011-03-10,190.5,11.667,11.181,14.431,3.25,,,202.167,2.708
2011-03-11,190.333,10.417,8.903,11.305,2.403,,,200.75,3.208
2011-03-12,190.25,6.833,8.538,10.834,2.295,,,197.083,2.042
2011-03-13,191.043,10.261,18.778,23.611,4.833,,,201.304,2.875
2011-03-14,191.167,21.708,22.648,27.257,4.609,,,212.875,4.583
2011-03-15,191.167,12.0,13.245,16.167,2.922,,,203.167,3.333
2011-03-16,191.542,14.625,20.0,24.042,4.041,,,206.167,3.083
2011-03-17,188.958,18.542,18.639,22.945,4.306,,,207.5,2.292
2011-03-18,194.739,20.261,15.139,19.208,4.07,,,215.0,2.583
