date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean,PM25_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,85.4,71.5584,52.4,17.50190909090909,23.371545454545455,5.8696363636363635,0.0,1.891375,99.8,60.4582,12.8,4.8475,14.292,191.174,15.566799999999997,206.74099999999999
2011-01-02,95.4,73.9666,57.4,7.893909090909091,9.806727272727272,1.9129090909090911,2.2,2.083375,74.8,51.2334,35.2,3.882,10.0,188.2256,9.0818,197.3074
2011-01-03,81.8,66.6582,55.0,13.075818181818182,15.84081818181818,2.7653636363636362,0.0,2.932375,64.4,48.175,19.6,4.298666666666667,16.417,188.017,9.774,197.7908
2011-01-04,86.6,64.75,31.6,10.170545454545454,12.882636363636363,2.712090909090909,0.0,4.32825,64.4,35.725,10.6,4.229,18.958,188.5272,8.4748,197.0018
2011-01-05,90.8,77.3084,59.6,20.25372727272727,31.605999999999998,11.352272727272727,0.0,1.224125,60.4,31.083199999999998,-0.6,4.210166666666667,7.478,189.583,13.110800000000001,202.6938
2011-01-06,96.0,66.4666,41.0,29.04927272727273,52.72718181818182,23.67809090909091,0.0,1.80275,89.8,49.5334,6.4,4.8395,13.75,191.9992,17.7492,209.7484
2011-01-07,82.6,69.83340000000001,54.6,11.375,17.113545454545456,5.738727272727274,0.0,1.00525,64.4,43.6166,28.2,2.7151666666666667,5.5,189.4646,8.0476,197.512
2011-01-08,84.0,68.91659999999999,49.2,16.49809090909091,23.30827272727273,6.810181818181818,0.0,1.0976249999999999,72.2,40.925,14.2,3.736,6.208,191.288,12.9606,204.24859999999998
2011-01-09,90.0,74.20840000000001,53.8,21.170454545454547,31.230999999999998,10.060545454545455,0.0,2.046875,97.6,54.441599999999994,23.6,4.708333333333333,16.0,192.779,15.6988,208.47780000000003
2011-01-10,94.8,74.4416,50.4,33.66281818181818,66.86354545454546,33.20072727272727,0.0,3.197875,98.8,54.4,11.4,6.449000000000001,28.958,193.9658,20.584,214.5496
2011-01-11,78.4,63.669799999999995,43.6,15.810727272727274,25.25,9.439363636363636,0.0,2.753375,88.2,52.0964,8.2,3.9445,19.792,188.834,9.8118,198.64600000000002
2011-01-12,79.8,67.5668,53.8,22.503818181818183,37.20072727272727,14.697000000000001,0.0,1.412,53.0,28.3998,4.8,3.950833333333333,7.333,190.623,12.848400000000002,203.471
2011-01-13,87.0,64.0962,42.4,25.166545454545453,49.86354545454546,24.69690909090909,0.0,2.454125,89.2,51.4664,15.0,4.701333333333333,16.333,190.8432,15.819399999999998,206.66260000000003
2011-01-14,79.6,68.11659999999999,58.2,20.943181818181817,29.552999999999997,8.609727272727271,0.0,4.0,76.8,52.61659999999999,33.2,5.576333333333333,30.167,191.89780000000002,12.956399999999999,204.85399999999998
2011-01-15,87.0,71.0332,54.6,17.960545454545453,27.26490909090909,9.304454545454545,0.0,1.4456250000000002,74.2,50.9084,21.6,4.507000000000001,12.625,192.301,16.9406,209.2418
2011-01-16,89.2,69.0082,58.6,14.170454545454545,20.49627272727273,6.325818181818182,0.0,1.020875,54.4,47.6334,38.0,2.9653333333333336,8.708,189.2908,9.049,198.3394
2011-01-17,92.2,67.1918,44.0,23.91272727272727,43.882636363636365,19.969727272727273,0.0,1.307375,85.6,48.5248,10.4,4.0935,10.75,192.4878,15.2938,207.78180000000003
2011-01-18,89.6,66.125,42.6,37.651363636363634,71.92427272727274,34.27281818181818,0.0,1.201625,99.4,45.4166,-6.4,5.4515,13.667,194.57319999999999,24.731,219.3044
2011-01-19,100.0,83.7252,63.0,31.075636363636363,60.822,29.74609090909091,21.0,1.1785,77.4,54.425,36.8,4.4174999999999995,9.292,190.701,18.3532,209.0544
2011-01-20,99.8,92.9518,82.2,18.363636363636363,29.064454545454545,10.700818181818182,3.8,1.0,89.8,71.429,49.8,3.1968333333333336,4.625,186.8388,9.9418,196.78019999999998
2011-01-21,99.6,95.82480000000001,83.8,23.007545454545454,33.76890909090909,10.761272727272727,8.2,1.0,84.6,69.54159999999999,53.4,3.861,8.625,188.75799999999998,12.9382,201.6962
2011-01-22,100.0,89.4752,72.0,24.66018181818182,37.56527272727272,12.905,0.0,2.0705,105.2,69.38340000000001,30.4,4.701333333333333,9.917,190.6448,16.7558,207.40079999999998
2011-01-23,90.0,77.1586,52.0,14.318181818181818,22.109909090909092,7.791727272727273,1.0,1.16675,96.8,60.8414,23.6,3.25,3.792,188.4026,9.382,197.7842
2011-01-24,72.2,58.75840000000001,45.6,15.613545454545454,24.48481818181818,8.871181818181817,0.0,1.089375,49.2,23.5834,6.6,3.0005,6.542,187.776,8.6156,196.39159999999998
2011-01-25,73.0,56.3916,38.8,18.681727272727272,29.01881818181818,10.337090909090909,0.0,1.96875,48.2,17.25,-5.8,4.0485,15.333,189.82440000000003,9.934999999999999,199.75920000000002
2011-01-26,78.2,60.325,45.4,21.940181818181816,35.76863636363636,13.828454545454546,0.0,1.303125,49.8,13.6916,-20.8,3.8516666666666666,8.292,191.22719999999998,12.4902,203.7174
2011-01-27,78.4,63.3584,49.0,26.04709090909091,40.598454545454544,14.551181818181817,0.0,3.9219999999999997,65.2,30.0584,-3.0,5.153,23.542,192.3938,13.2176,205.6114
2011-01-28,86.2,69.42519999999999,51.4,19.60981818181818,27.772727272727273,8.162909090909091,0.0,2.5365,76.4,36.775,11.4,4.097333333333333,17.792,191.4388,11.108799999999999,202.54739999999998
2011-01-29,92.4,73.6914,49.8,10.715363636363636,15.743,5.0275454545454545,0.0,1.01075,51.0,23.625,3.4,2.986166666666667,5.458,190.0414,8.268,198.3094
2011-01-30,93.0,79.65,59.2,26.40909090909091,46.46218181818182,20.05309090909091,0.0,1.38475,54.4,21.708199999999998,-2.2,4.590333333333334,8.0,193.4144,15.031200000000002,208.44580000000002
2011-01-31,82.6,63.8164,40.8,23.925363636363635,40.479,16.55381818181818,0.0,1.32675,63.6,22.6832,-4.2,3.829833333333333,7.917,190.7156,12.5432,203.2586
