date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,4.5,80.0,60.542,49.0,19.609,24.087,4.478,20.875,1.167,16.458,9.0,5.104,2.1
2011-01-02,3.261,94.0,65.792,38.0,14.208,17.458,3.25,14.417,1.167,12.292,10.7,5.112,2.0
2011-01-03,2.417,59.0,45.208,31.0,7.542,7.792,0.25,3.5,0.958,1.708,10.5,6.05,2.4
2011-01-04,3.375,69.0,55.208,45.0,14.458,17.333,2.875,9.167,1.545,6.125,9.8,5.192,1.2
2011-01-05,2.542,57.0,43.792,31.0,13.583,16.417,2.833,4.333,1.0,1.75,9.5,5.329,2.4
2011-01-06,5.087,68.0,51.458,34.0,34.261,53.565,19.304,14.652,3.391,11.087,11.0,5.638,2.0
2011-01-07,2.458,69.0,48.958,32.0,11.957,13.13,1.174,5.208,1.083,2.708,9.2,5.108,2.4
2011-01-08,2.348,54.0,44.792,35.0,9.542,10.292,0.75,4.958,1.042,2.292,9.6,5.412,1.9
2011-01-09,4.292,87.0,59.208,44.0,26.167,33.083,6.917,19.333,2.25,13.143,11.3,5.871,1.7
2011-01-10,4.583,87.0,63.833,41.0,33.833,48.375,14.542,21.208,2.174,10.692,10.2,6.2,1.2
2011-01-11,3.458,80.0,64.917,49.0,22.5,34.083,11.583,18.0,1.625,14.458,11.0,5.446,1.4
2011-01-12,2.696,56.0,46.375,34.0,18.174,23.478,5.304,7.522,1.348,4.174,8.0,3.712,0.2
2011-01-13,5.417,67.0,55.375,40.0,40.565,83.087,42.522,19.792,3.625,15.333,11.4,5.288,-0.5
2011-01-14,3.957,65.0,50.125,39.0,17.958,22.792,4.833,9.667,1.5,5.0,8.5,4.9,2.2
2011-01-15,4.958,61.0,55.333,47.0,25.333,33.542,8.208,16.042,2.5,12.167,6.8,4.033,1.1
2011-01-16,3.667,61.0,54.833,50.0,24.417,28.875,4.458,18.583,1.435,15.208,4.9,3.933,2.3
2011-01-17,2.958,68.0,56.375,43.0,21.125,26.25,5.125,12.333,1.167,9.292,9.0,4.783,2.4
2011-01-18,6.083,71.0,61.958,49.0,42.292,75.75,33.458,28.542,2.708,23.917,9.5,4.917,0.3
2011-01-19,4.0,82.0,69.083,59.0,24.522,41.783,17.261,25.125,2.167,22.583,10.7,5.625,1.2
2011-01-20,2.591,100.0,97.583,81.0,16.87,19.261,2.391,17.609,1.217,12.565,4.0,2.329,1.6
2011-01-21,2.458,100.0,93.792,77.0,17.208,20.167,2.958,10.208,1.0,5.917,3.2,2.808,2.3
2011-01-22,3.625,100.0,90.875,74.0,15.458,23.75,8.292,7.042,0.913,4.75,7.7,5.008,3.1
2011-01-23,7.333,100.0,92.542,69.0,33.083,93.458,60.375,17.125,1.292,14.5,7.4,4.562,0.5
2011-01-24,3.5,100.0,62.542,43.0,22.917,32.708,9.792,10.75,1.958,6.625,5.0,2.675,0.6
2011-01-25,4.958,92.0,64.917,30.0,34.13,64.261,30.13,23.125,2.125,18.292,9.8,4.142,0.0
2011-01-26,3.435,97.0,54.5,32.0,23.5,30.792,7.292,12.208,1.625,8.083,6.8,2.729,-0.4
2011-01-27,4.522,77.0,57.167,43.0,26.652,46.87,20.217,15.043,1.87,11.217,7.1,2.796,-1.6
2011-01-28,3.792,77.0,53.667,36.0,21.0,34.208,13.208,15.208,1.957,10.708,6.2,2.125,-1.0
2011-01-29,2.25,55.0,46.333,33.0,7.208,7.792,0.583,7.708,1.042,3.708,6.3,2.333,0.1
2011-01-30,3.917,60.0,44.667,35.0,23.542,36.25,12.708,8.75,1.167,4.958,6.8,3.008,-1.0
2011-01-31,4.167,67.0,51.083,40.0,30.609,43.826,13.217,13.958,2.167,10.458,8.6,3.771,-1.3
2011-02-01,4.609,70.0,53.0,40.0,26.167,53.792,27.625,14.25,2.333,11.625,11.6,5.05,-0.6
2011-02-02,2.542,56.0,41.458,28.0,10.208,11.958,1.75,7.0,1.292,3.125,5.3,2.204,-0.3
2011-02-03,5.478,59.0,42.304,24.0,35.143,59.286,24.143,14.167,3.6,10.348,7.3,2.708,-2.1
2011-02-04,5.25,66.0,41.792,23.0,32.792,57.625,24.833,16.292,2.667,13.417,11.9,5.496,-0.9
2011-02-05,3.958,83.0,55.75,40.0,16.667,18.375,1.708,15.125,2.417,12.083,9.1,5.75,2.1
2011-02-06,5.417,100.0,86.5,69.0,35.783,49.043,13.261,37.792,1.958,34.125,5.4,4.342,3.1
2011-02-07,5.957,100.0,97.833,94.0,34.958,55.875,20.917,33.792,1.208,32.042,9.1,7.096,4.6
2011-02-08,3.208,93.0,46.208,36.0,16.167,19.167,3.0,5.542,1.083,4.458,8.9,6.342,3.2
2011-02-09,2.958,48.0,34.917,20.0,20.833,26.292,5.458,6.792,1.087,3.792,10.0,4.821,0.7
2011-02-10,4.739,85.0,50.75,34.0,36.591,52.955,16.364,14.3,2.652,15.261,9.9,5.358,1.3
2011-02-11,2.958,89.0,50.542,29.0,14.917,16.667,1.75,,1.542,8.167,10.3,5.346,0.9
2011-02-12,2.458,56.0,42.417,33.0,8.87,9.739,0.87,,1.25,6.5,9.4,4.683,0.8
2011-02-13,3.739,60.0,49.5,38.0,28.125,34.417,6.292,24.231,2.5,15.167,9.5,5.521,1.5
2011-02-14,4.625,100.0,85.375,53.0,36.833,49.083,12.25,36.333,2.042,34.792,5.7,4.621,3.5
2011-02-15,5.042,100.0,70.083,43.0,29.417,46.208,16.792,29.5,1.87,30.542,12.6,7.1,4.7
2011-02-16,2.917,100.0,62.917,44.0,20.5,23.125,2.625,14.25,1.167,11.333,4.4,3.108,1.6
2011-02-17,3.545,100.0,76.667,34.0,22.652,30.87,8.217,21.565,1.391,19.043,9.5,3.838,1.1
2011-02-18,2.458,99.0,49.375,24.0,9.565,10.696,1.13,6.917,1.083,5.458,6.1,2.267,-0.6
2011-02-19,3.696,62.0,44.25,24.0,18.958,23.0,4.042,11.75,2.167,9.917,9.2,3.371,-1.5
2011-02-20,4.5,71.0,51.083,25.0,35.75,51.417,15.667,15.917,3.25,15.417,11.3,5.562,-0.7
2011-02-21,4.75,71.0,47.833,24.0,42.042,62.125,20.083,19.458,3.957,19.875,13.1,8.0,1.6
2011-02-22,3.391,73.0,64.417,56.0,20.565,22.783,2.217,18.739,2.87,19.0,11.2,7.788,4.7
2011-02-23,5.083,100.0,89.083,47.0,33.667,53.583,19.917,28.583,1.708,28.833,10.8,7.388,4.9
2011-02-24,3.917,66.0,45.375,27.0,16.087,17.304,1.217,23.25,3.75,23.75,16.3,11.492,8.3
2011-02-25,3.435,100.0,92.333,71.0,17.75,18.958,1.208,14.667,1.125,12.667,8.9,5.467,3.4
2011-02-26,2.333,69.0,51.292,36.0,7.375,7.917,0.542,6.792,1.083,4.708,9.3,6.012,3.8
2011-02-27,2.125,41.0,33.875,26.0,7.542,8.458,0.917,8.042,1.0,5.167,8.7,4.529,1.5
2011-02-28,2.417,59.0,45.208,33.0,13.708,15.708,2.0,9.375,1.458,6.875,8.2,4.15,0.3
2011-03-01,4.13,100.0,79.087,54.0,31.955,45.727,13.773,17.261,1.174,18.826,12.8,8.088,2.1
2011-03-02,4.304,100.0,92.125,79.0,25.833,47.583,21.75,18.875,1.292,17.458,9.6,6.833,3.5
2011-03-03,3.042,100.0,64.75,39.0,10.708,12.083,1.375,10.708,1.083,10.375,13.1,7.412,3.4
2011-03-04,2.25,97.0,65.333,55.0,6.625,6.792,0.167,13.708,1.0,11.917,6.9,5.617,3.4
2011-03-05,4.583,100.0,98.542,94.0,28.208,41.583,13.375,13.083,0.958,11.458,8.3,4.979,2.3
2011-03-06,5.875,100.0,89.458,68.0,34.917,74.208,39.292,22.667,1.292,25.667,16.1,11.142,7.6
2011-03-07,3.917,100.0,71.708,35.0,23.565,29.0,5.435,26.042,1.25,32.208,16.2,12.546,10.7
2011-03-08,3.0,78.0,66.636,50.0,15.261,16.826,1.565,13.696,1.13,10.846,10.9,9.533,8.0
2011-03-09,3.708,99.0,96.167,80.0,20.833,24.042,3.208,17.167,1.0,8.222,9.3,6.95,4.8
2011-03-10,3.0,99.0,86.583,70.0,11.25,12.167,0.917,4.542,0.696,2.667,7.4,4.846,1.5
2011-03-11,3.25,90.0,69.458,43.0,13.917,15.208,1.292,12.875,1.583,10.458,11.9,7.362,3.1
2011-03-12,2.625,91.0,42.958,19.0,11.542,13.417,1.875,6.0,1.0,3.417,12.6,6.962,3.2
2011-03-13,2.333,70.0,43.458,26.0,10.261,11.348,1.087,6.167,1.0,2.5,11.0,6.604,2.7
2011-03-14,3.591,79.0,58.167,37.0,26.609,32.348,5.739,12.833,2.304,9.696,11.9,7.471,2.7
2011-03-15,3.667,90.0,52.458,29.0,23.333,34.708,11.375,17.708,1.5,14.667,13.2,7.588,3.6
2011-03-16,3.292,71.0,49.875,35.0,20.708,24.25,3.542,17.583,2.522,13.833,10.8,7.592,2.4
2011-03-17,5.375,99.0,92.25,68.0,40.167,49.708,9.542,36.25,1.583,34.583,8.9,6.45,4.5
2011-03-18,5.708,99.0,91.25,79.0,28.125,40.25,12.125,32.167,1.25,33.792,11.6,9.325,6.8
2011-03-19,2.87,99.0,40.958,23.0,13.591,17.409,3.818,9.957,1.0,9.957,11.6,8.942,6.1
2011-03-20,3.043,55.0,38.458,30.0,16.25,18.167,1.917,13.25,2.042,11.125,13.8,8.688,4.1
2011-03-21,2.208,44.0,32.917,22.0,8.542,9.667,1.125,8.25,1.0,4.875,12.1,7.838,4.4
2011-03-22,6.292,49.0,40.333,31.0,52.417,96.917,44.5,29.958,2.609,29.042,15.0,9.721,3.6
2011-03-23,4.792,99.0,76.667,50.0,37.125,44.458,7.333,32.042,1.583,32.833,11.7,9.412,7.4
2011-03-24,4.667,99.0,83.875,44.0,28.917,38.792,9.875,11.792,1.208,9.875,10.3,7.821,5.9
2011-03-25,3.792,72.0,43.75,26.0,17.652,23.609,5.957,9.125,1.042,6.25,14.9,9.321,4.3
2011-03-26,3.13,54.0,37.833,26.0,18.667,21.375,2.708,10.208,1.083,6.083,11.7,7.883,3.6
2011-03-27,3.583,70.0,45.292,24.0,24.583,27.958,3.375,13.292,2.25,11.333,15.0,9.533,3.6
2011-03-28,4.417,80.0,52.625,28.0,33.375,45.417,12.042,26.708,2.696,26.167,18.6,11.283,5.7
2011-03-29,3.348,57.0,43.583,25.0,21.783,25.913,4.13,13.913,1.412,12.609,16.7,11.846,6.0
2011-03-30,2.625,67.0,56.75,47.0,14.042,15.458,1.417,11.25,0.0,11.167,19.1,15.217,11.7
2011-03-31,2.125,98.0,65.417,44.0,7.13,7.696,0.565,7.875,0.0,6.875,19.1,13.929,8.0
2011-04-01,3.818,70.0,54.087,33.0,29.13,35.957,6.826,18.0,1.957,19.696,16.2,11.633,5.7
2011-04-02,4.417,79.0,54.583,31.0,28.917,36.542,7.625,29.625,1.708,33.417,20.2,13.775,8.6
2011-04-03,2.542,72.0,54.542,41.0,8.542,8.875,0.333,10.083,1.13,14.708,9.2,8.083,7.1
2011-04-04,2.25,72.0,51.667,24.0,12.5,13.792,1.292,10.913,0.875,11.833,14.9,9.308,5.7
