date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,85.0,65.781,45.75,15.5334,19.25,3.7165999999999997,,0.0,3.325,23.075,111.25,55.844,11.25
2011-01-02,85.5,55.146,29.25,11.9416,14.8332,2.8918,,0.0,2.6418,17.025,106.25,66.9065,36.75
2011-01-03,62.25,39.354,17.5,9.5832,11.3126,1.7297999999999998,,0.0,3.5665999999999998,7.024800000000001,104.75,57.10425,10.75
2011-01-04,76.0,49.02075,29.5,10.876666666666667,13.959833333333334,3.0833333333333335,,0.0,3.3985,10.297166666666667,118.75,52.156,-12.25
2011-01-05,66.75,40.80225,14.5,12.409333333333334,15.249333333333333,2.8398333333333334,,0.0,2.101166666666667,5.305666666666666,99.75,39.85425,-13.0
2011-01-06,78.5,54.3125,27.5,16.449333333333332,22.403833333333335,5.9543333333333335,,0.0,2.0138333333333334,10.360999999999999,96.5,33.448,-16.5
2011-01-07,72.25,45.031,19.0,13.159833333333333,18.3195,5.159833333333333,,0.0,2.0695,9.152833333333334,90.25,39.719,-4.75
2011-01-08,64.5,43.9895,21.0,9.715166666666667,11.173499999999999,1.4583333333333333,,0.0,1.7223333333333333,7.895833333333333,93.75,40.9065,-9.25
2011-01-09,84.75,61.90625,35.75,19.229,26.340166666666665,7.111166666666667,,0.0,2.9096666666666664,22.736166666666666,105.75,43.177,-4.5
2011-01-10,86.25,66.656,34.25,18.180666666666667,29.784666666666666,11.604,,0.0,2.0855,22.805166666666665,115.5,47.927,-10.0
2011-01-11,89.0,64.94800000000001,31.75,15.277666666666667,25.9375,10.659833333333333,,0.0,1.9026666666666667,14.7,106.75,50.073,6.0
2011-01-12,58.75,38.40625,23.0,15.386333333333333,20.211333333333332,4.825166666666667,,0.0,2.890166666666667,8.757,64.25,28.344,-1.25
2011-01-13,79.25,59.33325,34.75,17.635166666666667,29.020166666666668,11.384666666666668,,0.0,1.9235,13.9305,110.75,40.729,-13.5
2011-01-14,71.25,49.2395,25.25,13.729166666666666,17.830333333333332,4.101,,0.0,1.7638333333333334,9.403,80.5,30.375,-15.5
2011-01-15,72.0,51.323,27.0,11.118,13.597333333333333,2.479,,0.0,1.7431666666666665,10.722166666666666,71.5,28.2815,-16.5
2011-01-16,54.75,41.802,32.25,16.034666666666666,20.534666666666666,4.5,,0.0,4.103833333333333,12.875,54.75,39.94775,18.5
2011-01-17,77.75,48.6145,27.75,12.317,15.741166666666667,3.4243333333333332,,0.0,3.673666666666667,11.236333333333334,79.5,39.71875,-11.75
2011-01-18,84.25,65.69775,37.0,20.631833333333333,33.145833333333336,12.514000000000001,,0.0,3.3333333333333335,19.652666666666665,99.0,32.4685,-34.0
2011-01-19,83.0,61.323,43.25,16.584666666666667,30.575166666666664,13.990499999999999,,0.0,2.7146666666666666,21.326333333333334,108.5,59.3335,11.75
2011-01-20,88.0,81.344,57.75,11.503666666666668,13.308666666666667,1.8051666666666666,,16.75,0.9166666666666666,15.1665,66.0,40.7705,31.0
2011-01-21,90.25,82.05225,72.0,13.173666666666668,15.368333333333334,2.1943333333333332,,19.5,0.5208333333333334,9.277833333333334,44.0,39.979,36.75
2011-01-22,94.25,89.15625,80.25,11.659666666666666,13.743166666666667,2.0833333333333335,,23.5,0.36800000000000005,9.520833333333334,75.25,53.14575,27.75
2011-01-23,95.5,81.23949999999999,54.5,15.298666666666668,25.736,10.4375,,4.5,0.868,12.229166666666666,98.75,51.69825,13.0
2011-01-24,90.0,70.66675000000001,48.0,11.441333333333333,14.472333333333333,3.031,,6.75,0.8905,8.578199999999999,43.75,19.9765,-1.25
2011-01-25,91.75,70.23949999999999,28.25,14.111166666666668,24.451333333333334,10.340333333333334,,0.25,0.9166666666666666,12.2648,93.0,32.36475,-5.5
2011-01-26,90.25,56.127,21.5,14.893,20.160666666666668,5.267833333333333,,0.0,1.8533333333333335,11.178999999999998,64.25,16.5225,-22.5
2011-01-27,81.75,59.05225,30.5,14.837333333333333,24.683166666666665,9.845666666666666,,0.0,2.027833333333333,11.6565,81.25,20.6145,-39.0
2011-01-28,84.0,49.79175,25.0,11.3405,16.2355,4.895166666666666,,0.0,2.1736666666666666,12.63525,58.5,17.2395,-26.25
2011-01-29,55.25,34.375,19.75,7.340166666666666,8.576333333333332,1.2361666666666666,,0.0,2.8471666666666664,8.23975,63.25,27.66675,-7.75
2011-01-30,60.75,36.75,21.25,12.375166666666667,15.639000000000001,3.263833333333334,,0.0,3.0,8.455,65.25,26.9895,-9.0
2011-01-31,76.5,50.3125,24.5,14.121166666666667,21.375833333333333,7.255,,0.0,1.6945,8.111166666666668,94.25,24.7915,-42.25
2011-02-01,71.0,43.301249999999996,29.25,6.774666666666666,7.675666666666667,0.9010000000000001,,0.0,2.7076666666666664,12.479,121.5,63.039249999999996,-24.5
2011-02-02,67.0,34.25,15.0,13.530499999999998,17.848499999999998,4.3180000000000005,,0.0,4.398166666666667,9.701333333333332,56.25,20.99975,-19.5
2011-02-03,76.5,46.29175,15.25,12.625,16.488666666666667,3.8633333333333333,,0.0,2.9445,11.451500000000001,67.25,12.406500000000001,-41.5
2011-02-04,83.75,56.33325,26.75,10.208333333333334,14.847166666666666,4.638833333333333,,0.0,1.2845,11.110833333333334,115.75,38.75,-35.75
2011-02-05,79.25,54.5105,26.5,10.8125,12.888833333333332,2.0765,,0.0,2.0555,18.770666666666667,97.5,37.97925,-15.25
2011-02-06,93.25,85.14574999999999,76.75,27.034499999999998,41.15983333333333,14.124833333333333,,8.0,0.6598333333333334,41.715333333333334,53.75,40.6045,9.5
2011-02-07,96.25,89.48975,80.5,17.3125,29.340333333333334,12.027833333333334,,53.75,0.5333333333333333,42.4375,177.25,116.125,53.75
2011-02-08,94.0,56.9685,35.0,11.770833333333334,14.576333333333332,2.8055,,0.5,1.368,10.846666666666666,90.75,65.94800000000001,34.0
2011-02-09,75.75,46.94825,19.75,9.244666666666667,12.723333333333334,3.478666666666667,,0.0,1.3958333333333333,5.5,92.0,42.90625,-6.0
2011-02-10,79.0,54.8125,26.75,13.899000000000001,18.928,5.029333333333334,,0.0,1.6526666666666667,10.507,95.75,40.4375,-5.25
2011-02-11,88.0,54.66675,24.75,10.659833333333333,13.119833333333332,2.460166666666667,,0.0,1.6388333333333334,12.639166666666666,86.5,43.46875,3.0
2011-02-12,77.0,46.05225,22.75,8.673499999999999,10.437333333333333,1.7638333333333334,,0.0,1.8403333333333334,9.055333333333333,95.25,43.542,-8.75
2011-02-13,83.75,54.39575,30.5,20.597333333333335,28.118166666666667,7.520833333333333,,0.0,3.4098333333333333,21.347333333333335,101.75,50.75,-6.25
2011-02-14,91.25,84.71875,66.75,28.3295,38.72383333333334,10.394333333333334,,9.0,0.7846666666666667,40.236,61.75,52.53125,45.75
2011-02-15,93.25,67.7085,39.0,25.75,36.9375,11.1875,,0.5,2.4443333333333332,37.007,111.0,76.82275,51.5
