date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean
2011-01-01,69.0,60.417,51.0,23.229,31.646,8.416,18.542,15.5,8.3,4.988,2.2,5.783
2011-01-02,89.0,65.0,42.0,19.292,26.583,7.292,11.875,11.229,11.3,5.046,1.9,4.708
2011-01-03,63.0,49.0,33.0,13.57,15.424,1.854,2.917,3.708,11.3,5.742,2.0,3.042
2011-01-04,74.0,59.875,49.0,22.838,29.956,7.119,8.826,7.435,9.0,4.442,0.8,4.13
2011-01-05,59.0,47.542,31.0,22.438,31.604,9.166,5.708,5.334,10.2,4.675,0.8,3.583
2011-01-06,69.0,55.292,36.0,42.125,85.875,43.75,14.625,11.708,12.4,5.471,0.9,6.417
2011-01-07,69.0,52.75,35.0,21.584,38.042,16.458,6.042,6.27,10.2,5.025,2.3,4.261
2011-01-08,59.0,49.458,37.0,17.396,21.208,3.812,7.208,6.396,10.7,5.212,1.5,3.167
2011-01-09,81.0,61.458,46.0,33.913,68.762,34.848,22.042,18.021,12.2,5.421,1.2,8.292
2011-01-10,87.0,66.375,45.0,47.06,131.898,84.838,26.333,20.854,11.3,5.725,1.2,11.042
2011-01-11,75.0,61.625,39.0,29.934,70.652,40.717,19.565,16.565,12.3,5.421,1.1,5.522
2011-01-12,58.0,48.5,36.0,28.271,47.104,18.833,9.375,7.438,8.6,3.212,-0.3,4.0
2011-01-13,67.0,57.417,38.0,44.5,102.021,57.521,20.708,15.854,13.5,4.992,-0.9,7.652
2011-01-14,70.0,53.292,42.0,26.312,54.583,28.27,12.0,9.146,9.0,4.446,1.9,6.833
2011-01-15,66.0,58.292,49.0,29.278,51.161,21.883,16.917,13.438,7.3,3.779,0.6,7.042
2011-01-16,61.0,55.5,51.0,35.624,97.43,61.805,22.625,17.333,5.0,3.871,2.1,8.583
2011-01-17,71.0,57.542,41.0,38.896,105.104,66.208,20.292,15.916,10.3,4.792,2.1,8.625
2011-01-18,71.0,62.583,49.0,49.75,127.854,78.104,32.208,26.146,10.4,4.554,0.0,9.375
2011-01-19,89.0,69.292,58.0,37.196,94.718,57.522,29.217,23.674,11.3,5.492,0.9,7.636
2011-01-20,100.0,96.875,81.0,23.5,37.625,14.125,18.167,14.75,3.5,1.925,0.9,3.667
2011-01-21,100.0,93.875,81.0,22.577,32.766,10.188,12.417,10.625,3.0,2.688,2.3,3.583
2011-01-22,100.0,87.792,70.0,23.39,45.14,21.75,9.458,7.854,8.3,4.925,3.1,5.5
2011-01-23,99.0,90.083,69.0,43.042,171.354,128.312,23.125,19.73,7.3,4.308,0.5,12.792
2011-01-24,97.0,61.667,42.0,35.584,78.646,43.062,12.625,10.646,6.9,2.608,0.3,5.625
2011-01-25,89.0,65.333,29.0,37.812,92.938,55.125,22.208,16.646,11.4,3.8,-0.7,7.217
2011-01-26,90.0,54.261,33.0,34.0,81.674,47.674,16.304,11.804,7.5,2.458,-0.7,7.478
2011-01-27,70.0,53.875,33.0,38.068,100.729,62.661,19.083,14.458,7.9,2.429,-2.1,7.917
2011-01-28,72.0,50.583,31.0,28.378,63.18,34.802,17.833,14.5,7.6,2.029,-1.1,6.25
2011-01-29,53.0,42.333,27.0,13.73,21.166,7.438,8.417,7.979,7.8,2.288,-0.3,3.833
2011-01-30,61.0,43.667,30.0,36.674,90.761,54.087,13.13,10.065,8.3,2.592,-1.9,7.783
2011-01-31,64.0,49.083,37.0,40.708,93.25,52.542,16.417,13.188,10.8,3.433,-1.8,7.609
2011-02-01,70.0,51.75,34.0,32.25,69.938,37.688,15.5,14.104,12.0,4.308,-2.1,5.375
2011-02-02,55.0,39.542,24.0,20.448,28.554,8.105,7.708,6.938,6.3,1.871,-0.4,3.292
2011-02-03,63.0,46.25,29.0,40.352,91.036,50.684,15.375,12.125,8.8,2.375,-3.0,8.042
2011-02-04,67.0,46.667,25.0,40.792,86.188,45.396,18.458,15.417,13.8,5.029,-1.5,7.792
2011-02-05,77.0,55.25,39.0,27.354,44.375,17.021,17.667,14.688,10.4,5.833,1.4,7.125
2011-02-06,97.0,81.458,67.0,40.646,73.292,32.646,46.0,37.625,5.5,4.362,2.9,7.13
2011-02-07,99.0,92.333,83.0,43.375,116.896,73.521,43.625,39.396,9.5,7.221,4.7,10.333
2011-02-08,70.0,44.417,37.0,26.774,50.432,23.657,5.909,8.0,8.5,5.925,2.7,4.833
2011-02-09,48.0,35.333,18.0,33.156,72.556,39.401,,8.068,10.7,4.467,0.3,6.087
2011-02-10,81.0,50.792,33.0,43.438,99.854,56.416,25.0,16.084,11.4,5.246,0.5,8.0
2011-02-11,82.0,48.667,29.0,23.562,39.812,16.25,12.75,10.583,10.2,4.962,0.3,5.042
2011-02-12,55.0,42.417,29.0,17.292,22.25,4.958,9.417,8.812,10.8,4.558,0.7,3.739
2011-02-13,55.0,48.167,37.0,43.438,106.75,63.312,25.083,20.562,11.2,5.392,0.9,8.417
2011-02-14,96.0,78.25,54.0,37.538,70.748,33.21,41.75,35.0,5.6,4.704,3.8,5.833
2011-02-15,97.0,67.583,43.0,33.472,75.922,42.45,31.522,29.0,12.8,6.896,4.6,6.609
2011-02-16,96.0,59.833,43.0,31.916,72.354,40.438,18.125,14.708,4.5,3.075,1.2,6.375
2011-02-17,99.0,71.875,31.0,34.125,82.271,48.146,24.125,20.229,11.2,4.138,1.4,7.208
2011-02-18,97.0,48.375,23.0,17.625,29.229,11.604,8.083,8.02,7.3,2.283,-0.7,3.913
2011-02-19,65.0,45.542,22.0,27.958,49.292,21.334,14.208,12.729,10.7,3.117,-2.0,6.5
2011-02-20,65.0,49.792,25.0,43.576,94.552,50.978,18.739,16.782,12.7,5.425,-1.2,7.739
2011-02-21,65.0,43.208,19.0,47.391,100.826,53.434,22.522,20.292,15.8,7.921,1.1,7.739
2011-02-22,67.0,59.5,51.0,39.166,96.083,56.916,24.542,23.104,11.6,7.954,5.0,9.042
2011-02-23,99.0,86.417,48.0,36.646,65.896,29.25,29.917,27.146,11.6,7.525,4.8,6.25
2011-02-24,72.0,46.167,27.0,32.021,54.042,22.02,24.292,24.562,17.2,11.454,7.3,6.391
2011-02-25,99.0,90.667,75.0,30.02,59.917,29.896,18.292,16.604,8.7,5.567,3.4,7.208
2011-02-26,73.0,53.375,37.0,17.568,31.146,13.577,7.833,9.104,9.8,5.838,3.5,5.042
2011-02-27,42.0,34.583,25.0,15.562,22.905,7.343,8.125,8.417,9.6,4.521,1.2,2.875
2011-02-28,59.0,45.583,33.0,35.25,91.666,56.416,13.375,12.312,9.1,4.029,0.2,7.833
2011-03-01,98.0,78.208,54.0,41.52,89.084,47.562,22.458,19.833,12.9,7.483,1.8,7.478
2011-03-02,99.0,93.333,80.0,36.917,107.896,70.98,24.125,21.875,8.9,6.371,3.5,7.708
2011-03-03,99.0,66.75,39.0,32.284,78.171,45.888,14.708,14.834,14.8,7.721,3.5,8.333
2011-03-04,99.0,66.917,56.0,22.362,41.664,19.302,16.208,15.395,7.0,5.625,3.1,7.042
2011-03-05,99.0,98.417,96.0,35.771,68.854,33.084,15.125,12.75,8.1,4.817,2.1,5.958
2011-03-06,99.0,87.583,61.0,46.646,142.562,95.916,27.917,27.438,18.2,11.538,7.4,11.125
2011-03-07,99.0,70.167,36.0,36.167,83.292,47.125,29.375,29.98,16.0,12.654,10.6,8.478
2011-03-08,81.0,68.167,54.0,38.196,96.218,58.022,20.0,18.802,11.1,9.554,8.0,8.87
2011-03-09,100.0,96.75,77.0,31.576,62.42,30.844,19.583,14.503,9.5,6.942,4.8,6.167
2011-03-10,100.0,88.042,73.0,23.782,43.422,19.64,7.083,7.042,7.5,4.854,1.7,5.958
2011-03-11,90.0,71.75,44.0,24.25,40.938,16.688,15.167,12.875,12.9,7.279,2.6,6.458
