date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,26.402666666666665,42.75033333333334,16.346999999999998,19.292,0.833,205.087,9.125,29.391,234.478
2011-01-02,15.956333333333333,29.072333333333333,13.116,11.083,0.217,200.913,6.391,20.696,221.609
2011-01-03,15.319666666666668,21.375333333333334,6.055666666666667,8.208,0.625,192.13,5.958,12.043,204.174
2011-01-04,15.569333333333333,22.666666666666668,7.097333333333334,16.958,2.083,195.0,6.292,12.522,207.522
2011-01-05,23.37833333333333,46.605333333333334,23.227,8.696,0.375,193.909,5.409,15.318,209.227
2011-01-06,33.189,69.83366666666667,36.645,13.792,0.913,194.783,6.25,22.565,217.348
2011-01-07,20.888666666666666,39.958333333333336,19.069666666666667,7.042,0.5,193.609,5.25,14.957,208.565
2011-01-08,20.0,32.81933333333333,12.819333333333333,8.333,0.75,196.913,5.875,20.739,217.652
2011-01-09,23.994,46.536,22.541666666666668,15.667,1.435,196.478,6.13,21.957,218.435
2011-01-10,37.52766666666667,85.08333333333333,47.55533333333333,23.75,1.625,198.783,7.5,28.739,227.522
2011-01-11,28.875,65.69466666666666,36.81933333333333,17.792,1.542,197.174,6.583,25.826,223.0
2011-01-12,26.583,55.97233333333333,29.388666666666666,9.833,0.917,194.13,5.667,17.87,212.0
2011-01-13,31.930666666666667,81.27766666666666,49.34733333333333,16.792,1.5,197.304,7.167,28.087,225.391
2011-01-14,19.625,37.125,17.5,11.958,1.875,194.783,6.667,15.826,210.609
2011-01-15,16.528000000000002,27.513666666666666,10.985999999999999,9.958,1.083,193.696,5.875,14.087,207.783
2011-01-16,31.972333333333335,69.05533333333334,37.083,14.174,1.435,194.6,6.238,20.1,214.7
2011-01-17,34.5,81.33333333333333,46.833333333333336,17.458,0.958,194.696,6.25,22.174,216.87
2011-01-18,47.486,124.95833333333333,77.47233333333334,31.708,3.333,202.652,10.333,52.217,254.87
2011-01-19,49.62466666666666,141.639,92.01366666666667,30.875,1.75,200.478,9.458,54.087,254.565
2011-01-20,37.60466666666667,81.07833333333333,43.473333333333336,16.625,0.261,193.696,6.875,31.217,224.913
2011-01-21,31.569333333333333,57.111,25.541666666666668,13.333,0.208,194.0,6.792,24.739,218.739
2011-01-22,19.972333333333335,32.416666666666664,12.444666666666668,7.75,0.583,192.957,5.625,17.87,210.826
2011-01-23,27.311333333333334,57.20033333333333,29.889,8.217,0.714,194.636,5.727,17.727,212.364
2011-01-24,26.027666666666665,59.56933333333333,33.541666666666664,7.708,1.25,192.652,5.333,14.913,207.565
2011-01-25,28.639,68.63866666666667,40.0,11.667,1.042,194.5,5.833,15.667,210.167
2011-01-26,24.916666666666668,59.097,34.18033333333333,8.083,0.417,193.364,5.625,15.682,209.045
2011-01-27,29.221333333333334,60.56433333333334,31.343,15.333,1.125,196.913,6.625,25.0,221.913
2011-01-28,24.166666666666668,41.514,17.347333333333335,15.583,1.583,194.609,6.375,15.87,210.478
2011-01-29,14.958333333333334,23.25,8.291666666666666,6.208,1.0,194.391,5.542,12.565,206.957
2011-01-30,28.203000000000003,69.47333333333334,41.27,8.522,0.913,194.545,6.174,18.182,212.727
2011-01-31,30.680666666666667,66.653,35.972,9.917,0.792,194.217,5.75,19.652,213.87
2011-02-01,31.052666666666667,85.61766666666666,54.565333333333335,15.375,1.167,198.13,6.958,30.043,228.174
2011-02-02,25.138666666666666,56.0,30.861333333333334,9.083,0.292,194.043,5.375,15.348,209.391
2011-02-03,38.602333333333334,91.33833333333332,52.736,15.625,0.542,198.87,7.708,31.0,229.87
2011-02-04,28.194333333333333,61.222,33.02766666666667,19.792,1.042,199.652,7.542,27.478,227.13
2011-02-05,19.111,24.930666666666667,5.8196666666666665,21.833,1.583,195.783,6.25,16.13,211.913
2011-02-06,39.417,95.05266666666667,55.635333333333335,28.091,0.696,199.2,8.955,37.35,236.55
2011-02-07,31.722333333333335,75.875,44.15266666666667,15.0,0.417,197.13,7.583,25.174,222.304
2011-02-08,17.888666666666666,40.25033333333334,22.361,7.125,0.458,191.783,4.75,12.609,204.391
2011-02-09,23.472333333333335,48.43066666666667,24.958333333333332,8.25,0.625,192.087,5.167,14.174,206.261
2011-02-10,26.903000000000002,55.84733333333333,28.944333333333333,11.542,0.833,193.13,5.542,17.609,210.739
2011-02-11,17.305666666666667,28.944333333333333,11.639000000000001,9.375,1.083,192.522,5.417,13.13,205.652
2011-02-12,13.986333333333334,21.889,7.902666666666666,9.5,1.083,192.957,5.458,12.13,205.087
2011-02-13,33.112,60.165333333333336,27.052999999999997,13.391,1.13,193.905,6.348,20.524,214.429
2011-02-14,41.5,110.80533333333334,69.30566666666667,19.417,0.083,202.826,9.083,42.826,245.652
2011-02-15,34.361333333333334,87.30566666666668,52.94433333333333,23.292,1.083,203.174,7.917,34.913,238.087
2011-02-16,25.999666666666666,52.583333333333336,26.583333333333332,9.958,1.375,196.87,5.333,16.478,213.348
2011-02-17,23.490333333333336,49.568999999999996,26.078666666666663,8.087,1.292,194.696,5.353,15.087,209.783
2011-02-18,16.319333333333333,27.861333333333334,11.542000000000002,7.958,0.958,197.174,5.417,13.304,210.478
2011-02-19,15.819333333333333,24.708333333333332,8.888666666666667,9.5,1.042,197.957,5.833,13.217,211.174
2011-02-20,32.01233333333334,63.93566666666667,31.923333333333332,11.727,1.174,198.957,6.227,19.783,218.739
2011-02-21,38.458333333333336,88.45833333333333,50.0,17.375,1.667,198.348,6.792,29.261,227.609
2011-02-22,36.30533333333333,58.458333333333336,22.153000000000002,26.875,2.25,197.522,6.208,22.478,220.0
2011-02-23,32.824333333333335,68.51100000000001,35.68666666666667,28.833,1.083,198.87,7.75,28.87,227.739
2011-02-24,40.013666666666666,68.125,28.111333333333334,31.292,3.636,199.522,7.5,28.826,228.348
2011-02-25,29.736333333333334,50.43066666666667,20.694666666666667,26.333,1.333,200.087,7.083,25.739,225.826
2011-02-26,13.166666666666666,19.361333333333334,6.1946666666666665,8.458,1.042,196.391,5.208,11.391,207.783
2011-02-27,22.474666666666664,43.593333333333334,21.119333333333334,12.105,1.0,196.739,5.091,13.348,210.087
2011-02-28,31.194333333333333,49.222,18.027666666666665,12.667,1.375,197.174,5.583,19.478,216.652
2011-03-01,45.30566666666667,84.81933333333333,39.513666666666666,21.25,4.083,199.435,7.083,30.739,230.174
2011-03-02,35.95933333333333,82.09966666666666,46.14000000000001,23.25,0.478,201.739,8.5,42.435,244.174
2011-03-03,18.20866666666667,28.166666666666668,9.958333333333334,10.083,0.833,196.174,5.333,15.0,211.174
2011-03-04,30.111,45.5,15.388666666666666,24.375,0.625,201.652,8.125,25.391,227.043
2011-03-05,50.34666666666667,118.40466666666667,68.058,20.045,0.043,205.905,9.857,50.619,256.524
2011-03-06,40.778,95.62466666666667,54.84733333333333,18.083,0.833,203.0,8.625,47.739,250.739
2011-03-07,28.708,49.986,21.278000000000002,26.208,1.875,200.652,6.833,20.391,221.043
2011-03-08,40.111,73.097,32.986,25.333,4.25,200.304,7.667,22.87,223.174
2011-03-09,34.19433333333333,61.06966666666667,26.875333333333334,17.125,1.167,197.304,6.625,20.391,217.696
2011-03-10,18.166666666666668,29.152666666666665,10.985999999999999,8.125,0.583,196.043,5.333,14.609,210.652
2011-03-11,11.930666666666667,17.597333333333335,5.666666666666667,7.042,1.292,194.826,4.833,10.174,205.0
2011-03-12,23.00033333333333,44.458,21.456999999999997,7.565,0.13,196.632,5.045,17.158,213.789
2011-03-13,24.361,47.68066666666667,23.319666666666667,11.25,0.708,196.957,4.833,22.826,219.783
2011-03-14,33.56933333333333,60.736,27.166666666666668,14.542,1.375,198.0,6.375,31.957,229.957
2011-03-15,29.416666666666668,56.417,27.0,17.458,1.5,198.304,5.792,27.13,225.435
2011-03-16,27.044,45.25733333333333,18.212999999999997,14.5,1.565,196.13,5.083,25.609,221.739
2011-03-17,39.291666666666664,79.986,40.69433333333333,17.833,0.917,202.174,8.792,54.348,256.522
2011-03-18,29.291666666666668,50.05566666666667,20.763666666666666,10.958,1.042,202.435,7.792,41.391,243.826
2011-03-19,18.824,35.964333333333336,17.14033333333333,7.182,0.391,196.0,4.545,16.524,212.524
2011-03-20,19.722333333333335,34.34733333333333,14.625,8.292,0.667,191.435,4.625,16.478,207.913
2011-03-21,21.361,39.847,18.486,9.292,0.708,191.826,4.625,15.348,207.174
2011-03-22,36.69466666666667,71.236,34.541666666666664,16.75,1.958,194.826,6.125,29.565,224.391
2011-03-23,39.72233333333333,67.764,28.041666666666668,15.5,0.667,193.913,6.625,37.13,231.043
2011-03-24,26.305666666666667,48.90266666666667,22.596999999999998,7.5,0.292,193.87,6.083,27.87,221.739
2011-03-25,11.958333333333334,17.805666666666667,5.847333333333334,10.125,0.375,193.739,5.292,13.739,207.478
2011-03-26,22.849,44.71666666666667,21.86766666666667,10.261,0.826,194.13,5.174,17.261,211.391
2011-03-27,34.042,60.458333333333336,26.416666666666668,17.208,1.5,195.304,5.708,24.913,220.217
2011-03-28,32.40266666666667,60.47233333333333,28.069333333333333,25.125,2.125,195.739,6.333,28.913,224.652
2011-03-29,27.903666666666666,40.89266666666666,12.988666666666667,18.292,2.125,193.783,5.708,24.783,218.565
2011-03-30,31.25,52.611,21.361,18.125,2.375,194.87,5.542,30.087,224.957
2011-03-31,14.583333333333334,19.236,4.652666666666667,8.083,0.75,190.522,4.542,17.0,207.522
2011-04-01,36.31933333333333,61.30566666666667,24.986333333333334,18.789,3.542,192.957,6.625,18.87,211.826
