date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,13.083,17.167,4.083,8.604,,193.333,4.25,18.125,211.458
2011-01-02,11.208,14.236,3.028,5.448,,191.708,3.708,28.75,220.458
2011-01-03,13.806,17.889,4.083,5.052,,193.167,3.958,16.625,209.792
2011-01-04,16.305,19.81,3.506,8.222,2.286,192.609,4.522,18.13,210.739
2011-01-05,21.071,32.203,11.133,5.749,1.667,198.435,5.042,18.957,217.391
2011-01-06,28.234,50.908,22.674,8.521,2.25,199.875,6.478,27.042,226.917
2011-01-07,23.972,39.416,15.444,8.979,1.792,199.875,5.708,24.542,224.417
2011-01-08,17.903,24.722,6.82,10.312,2.292,198.333,4.917,20.042,218.375
2011-01-09,23.097,31.486,8.389,11.188,2.292,199.333,4.875,21.0,220.333
2011-01-10,31.764,54.764,23.0,13.406,2.292,200.292,7.0,29.042,229.333
2011-01-11,25.649,47.574,21.925,14.938,2.667,197.0,5.583,25.333,222.333
2011-01-12,26.417,43.458,17.041,8.864,1.875,196.609,5.125,20.913,217.522
2011-01-13,23.969,42.035,18.067,10.969,1.896,193.917,4.348,23.0,216.917
2011-01-14,21.57,37.444,15.875,12.323,1.938,198.167,5.333,26.583,224.75
2011-01-15,22.625,31.639,9.014,12.864,1.875,200.083,4.833,22.583,222.667
2011-01-16,26.689,40.404,13.716,10.062,1.916,198.913,3.957,19.783,218.696
2011-01-17,25.375,38.903,13.528,10.792,1.562,196.833,4.125,19.875,216.708
2011-01-18,32.277,52.48,20.203,16.083,2.413,198.208,4.75,25.458,223.667
2011-01-19,26.805,42.111,15.305,11.99,1.854,195.391,3.958,21.217,216.609
2011-01-20,8.089,11.272,3.183,4.386,1.042,191.25,2.217,10.375,201.625
2011-01-21,14.389,20.014,5.625,5.396,1.0,190.458,3.208,15.375,205.833
2011-01-22,15.611,21.445,5.833,8.938,1.416,191.167,3.917,19.083,210.25
2011-01-23,23.736,42.542,18.806,10.364,2.062,191.292,4.958,22.542,213.833
2011-01-24,23.389,32.986,9.597,6.042,1.438,193.083,4.083,17.792,210.875
2011-01-25,26.616,48.78,22.164,8.666,1.854,196.833,5.0,31.667,228.5
2011-01-26,26.764,38.861,12.097,6.49,2.125,196.609,4.5,22.478,219.087
2011-01-27,29.458,49.564,20.106,9.115,2.5,199.667,5.391,28.0,227.667
2011-01-28,25.042,35.111,10.07,12.599,2.084,198.417,4.667,19.875,218.292
2011-01-29,16.722,21.93,5.208,12.208,1.916,196.542,4.042,16.0,212.542
2011-01-30,27.43,41.639,14.208,8.159,2.021,197.958,4.708,20.792,218.75
2011-01-31,22.278,38.361,16.083,6.49,1.854,198.542,4.917,25.125,223.667
2011-02-01,20.128,25.778,5.65,12.225,3.029,193.773,3.409,17.682,211.455
2011-02-02,24.718,34.105,9.387,6.831,2.305,196.522,3.25,15.522,212.043
2011-02-03,25.656,40.152,14.496,8.142,2.958,200.208,5.217,23.208,223.417
2011-02-04,20.552,36.5,15.948,12.3,2.708,200.292,5.0,35.417,235.708
2011-02-05,20.427,29.114,8.687,14.758,3.153,201.0,5.875,23.208,224.208
2011-02-06,34.83,52.396,17.566,19.559,2.917,199.75,6.167,26.167,225.917
2011-02-07,18.677,28.813,10.136,12.882,1.958,187.167,3.917,21.25,208.417
2011-02-08,16.048,24.991,8.943,7.483,1.986,190.917,3.833,15.625,206.542
2011-02-09,20.396,30.812,10.417,6.65,2.0,195.478,3.333,15.391,210.87
2011-02-10,19.5,31.17,11.671,7.694,2.125,195.375,4.652,24.583,219.958
2011-02-11,21.948,30.552,8.604,9.683,2.417,196.292,4.542,16.25,212.542
2011-02-12,17.615,23.958,6.344,10.467,2.417,197.667,4.5,15.458,213.125
2011-02-13,21.464,34.2,12.736,11.267,2.833,197.333,5.333,20.792,218.125
2011-02-14,32.448,49.0,16.552,18.367,2.097,194.625,5.417,20.875,215.5
2011-02-15,24.791,40.906,16.116,16.336,2.304,194.739,6.043,22.217,216.957
2011-02-16,30.257,42.799,12.542,12.308,2.209,195.609,4.417,18.304,213.913
2011-02-17,29.941,47.404,17.463,12.794,2.347,197.25,4.261,21.542,218.792
2011-02-18,18.448,25.312,6.864,7.706,2.072,197.0,3.5,19.042,216.042
2011-02-19,18.125,23.552,5.427,8.25,2.514,199.417,3.542,14.625,214.042
2011-02-20,22.03,34.746,12.716,9.359,2.75,199.292,4.583,20.458,219.75
2011-02-21,28.01,43.438,15.427,12.825,3.111,196.875,4.167,23.667,220.542
2011-02-22,28.211,38.28,10.068,21.125,3.972,196.333,4.167,17.625,213.958
