date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,PM25_mean,CO_mean,RAIN_sum
2011-02-26,199.68066666666667,66.66666666666667,51.708333333333336,33.666666666666664,9.583333333333334,16.0625,21.090333333333334,5.027833333333334,1.4306666666666665,8.0555,82.33333333333333,58.18066666666667,39.0,209.264,,3.14575,0.0
2011-02-27,195.15166666666667,41.0,30.972333333333335,25.333333333333332,8.664,14.965333333333334,28.097333333333335,13.131833333333333,0.722,8.890166666666667,86.33333333333333,47.34733333333333,22.666666666666668,203.81566666666666,,2.7605,0.0
2011-02-28,195.93066666666667,58.666666666666664,45.44433333333333,33.0,11.75,25.576333333333334,38.764,13.1875,2.361,10.354333333333333,61.0,35.43066666666667,6.0,207.68066666666667,,3.1875,0.0
2011-03-01,195.26933333333332,87.0,77.625,63.0,21.808333333333334,37.05416666666667,73.67649999999999,36.62233333333334,1.2313333333333334,20.983333333333334,118.33333333333333,80.59733333333334,30.666666666666668,217.07766666666666,,4.848,0.0
2011-03-02,203.9375,91.33333333333333,86.69433333333332,77.66666666666667,35.1665,38.6024,92.4462,53.8432,1.5625,20.7878,90.33333333333333,68.81933333333333,42.666666666666664,239.10399999999998,,6.11275,17.0
2011-03-03,195.39600000000002,90.0,67.55533333333334,51.666666666666664,15.0,21.3084,29.4916,8.1834,1.896,13.600200000000001,107.0,71.20833333333333,40.333333333333336,210.39600000000002,,4.08325,0.0
2011-03-04,200.54149999999998,86.33333333333333,66.79166666666667,57.333333333333336,11.8125,18.2084,22.3,4.0916,2.833,19.0584,64.66666666666667,55.611,36.333333333333336,212.3545,,4.09375,1.0
2011-03-05,198.0,91.33333333333333,89.34733333333334,85.66666666666667,24.3185,34.5584,76.2166,41.6584,1.4375,12.4834,98.33333333333333,57.75,29.0,222.31799999999998,,5.28125,39.0
2011-03-06,238.16649999999998,94.0,87.52766666666666,75.66666666666667,46.3125,46.025,122.74180000000001,76.7166,3.6665,36.35,145.0,114.222,86.33333333333333,284.4795,,8.521,6.0
2011-03-07,205.5455,93.33333333333333,75.08333333333333,57.0,26.409,34.3262,52.8282,18.502000000000002,3.391,37.4636,143.66666666666666,122.76366666666667,108.33333333333333,231.9545,,5.35125,0.0
2011-03-08,200.66649999999998,84.0,69.986,57.0,15.271,34.324200000000005,49.761,15.436599999999999,1.7915,18.9,106.0,92.30566666666668,74.66666666666667,215.9375,,4.031000000000001,3.0
2011-03-09,200.91649999999998,90.66666666666667,88.38900000000001,81.33333333333333,21.3955,31.5916,59.12519999999999,27.5334,0.896,19.2832,91.66666666666667,74.27766666666666,54.666666666666664,222.3125,,4.40625,37.0
2011-03-10,196.25,89.33333333333333,80.84733333333334,69.66666666666667,12.729,20.65,31.7916,11.1416,0.75,4.1,74.66666666666667,53.5,26.666666666666668,208.97899999999998,,3.54175,21.0
2011-03-11,203.1875,79.66666666666667,68.25,50.0,15.271,21.6498,28.35,6.7,2.354,14.458400000000001,111.0,76.0,44.666666666666664,218.45850000000002,,4.15625,0.0
2011-03-12,194.95850000000002,61.666666666666664,38.75,23.333333333333332,11.332999999999998,21.950400000000002,43.0176,21.067,0.896,6.683,109.0,72.08333333333333,37.333333333333336,206.29149999999998,,3.396,0.0
2011-03-13,196.54149999999998,59.333333333333336,36.541666666666664,20.0,11.75,22.325,40.1,17.7748,0.9375,6.7916,104.0,68.56933333333333,30.333333333333332,208.29149999999998,,3.29175,0.0
2011-03-14,197.4645,66.0,52.111,37.0,18.119,32.61,48.111200000000004,15.501,2.8550000000000004,12.317400000000001,103.33333333333333,72.722,36.666666666666664,215.58350000000002,,3.75425,0.0
2011-03-15,198.375,74.33333333333333,46.139,25.333333333333332,22.3125,30.111200000000004,62.7938,32.6822,1.229,19.9416,127.33333333333333,77.79166666666667,42.666666666666664,220.6875,,4.36075,0.0
2011-03-16,195.5,65.0,44.139,29.333333333333332,13.979500000000002,25.325200000000002,37.675200000000004,12.350200000000001,2.958,19.333199999999998,111.0,77.80566666666667,38.333333333333336,209.4795,,4.2085,0.0
2011-03-17,205.75,93.0,84.91666666666667,58.0,38.896,48.95,91.74159999999999,42.7916,1.3545,44.675,96.66666666666667,70.11133333333333,52.0,244.64600000000002,,6.63525,43.0
2011-03-18,210.39600000000002,92.0,87.08333333333333,79.66666666666667,35.0205,37.8252,63.125,25.3,1.9169999999999998,46.225,120.0,97.528,74.0,245.41649999999998,,6.656000000000001,1.0
2011-03-19,195.292,92.0,44.47233333333333,25.666666666666668,16.3335,25.9,48.825,22.925,0.7295,12.8,110.66666666666667,91.30533333333334,63.333333333333336,211.625,,3.53125,0.0
2011-03-20,194.7295,56.333333333333336,42.611,32.0,17.4375,28.1332,39.7584,11.625,3.5835,14.9332,116.66666666666667,82.44433333333333,41.0,212.16649999999998,,3.60425,0.0
2011-03-21,193.02100000000002,40.0,30.639,18.333333333333332,10.7915,21.8508,41.8944,20.043200000000002,1.087,9.2894,123.66666666666667,82.0,48.333333333333336,203.8125,,2.9917499999999997,0.0
2011-03-22,212.47750000000002,52.666666666666664,44.833333333333336,37.666666666666664,54.703,70.0762,154.0674,83.9912,6.9375,34.6768,140.33333333333334,100.75,47.0,267.17999999999995,,7.7455,0.0
2011-03-23,200.6745,92.0,70.91666666666667,48.333333333333336,25.4715,47.8614,92.8894,45.028,2.047,36.7038,119.33333333333333,98.653,78.0,226.14600000000002,,5.79575,17.0
2011-03-24,200.25,92.33333333333333,79.90266666666666,44.333333333333336,32.542,40.698,76.45824999999999,35.7605,2.167,19.89575,107.66666666666667,85.33366666666666,72.0,232.792,,6.389,7.0
2011-03-25,201.5,71.66666666666667,47.291666666666664,30.0,30.792,28.948,49.93775,20.9895,1.625,11.80225,129.0,91.33333333333333,52.333333333333336,232.292,,5.403,0.0
2011-03-26,196.58350000000002,47.666666666666664,33.986333333333334,24.0,17.729,30.6332,55.36659999999999,24.7334,1.5,11.334,108.33333333333333,81.486,47.666666666666664,214.3125,,4.514,0.0
2011-03-27,197.0,67.66666666666667,45.208333333333336,26.333333333333332,18.8545,32.05,53.316599999999994,21.2666,3.0205,15.875,126.0,91.58333333333333,45.333333333333336,215.85399999999998,,5.5696666666666665,0.0
2011-03-28,199.4675,71.66666666666667,54.385,39.666666666666664,29.561,39.5742,68.1802,28.6058,4.1305,32.513,157.33333333333334,105.62400000000001,62.666666666666664,229.0285,,6.2156666666666665,0.0
2011-03-29,192.655,56.0,41.81966666666667,22.333333333333332,15.973500000000001,28.913599999999995,43.6858,14.772200000000002,2.667,18.3738,153.33333333333334,114.56966666666666,70.33333333333333,208.62900000000002,,4.7156666666666665,0.0
2011-03-30,188.167,63.0,55.514,46.0,12.625,21.2408,31.8984,10.657599999999999,1.1875,15.415200000000002,182.66666666666666,152.236,125.66666666666667,200.79149999999998,,2.8786666666666663,0.0
2011-03-31,185.22899999999998,85.0,62.68066666666667,36.0,10.125,15.075,22.1334,7.058400000000001,0.875,17.0084,181.66666666666666,140.83333333333334,87.33333333333333,195.3545,,2.888666666666667,0.0
2011-04-01,194.36766666666668,63.666666666666664,51.013666666666666,32.0,19.999666666666666,34.257,60.7155,26.458333333333332,2.8196666666666665,20.034833333333335,145.33333333333334,109.34733333333334,58.333333333333336,214.36733333333333,,4.531499999999999,0.0
2011-04-02,201.86133333333336,70.66666666666667,53.74966666666666,36.0,27.069666666666667,46.70133333333333,76.5625,29.861166666666666,4.25,33.264,180.0,136.01366666666667,87.66666666666667,228.93033333333332,,5.6875,0.0
2011-04-03,192.44966666666664,65.33333333333333,46.94433333333333,27.666666666666668,10.406333333333334,15.839999999999998,20.104166666666668,4.264,2.1806666666666668,12.103833333333334,92.66666666666667,79.889,73.33333333333333,202.856,,3.0935,0.0
2011-04-04,192.36133333333336,60.666666666666664,40.65266666666667,14.333333333333334,10.013666666666666,20.555666666666667,34.902833333333334,14.347166666666666,1.3613333333333333,10.729333333333335,140.0,90.76400000000001,60.666666666666664,202.375,,2.94325,0.0
2011-04-05,195.092,58.333333333333336,36.263666666666666,18.666666666666668,15.593666666666666,36.145833333333336,53.132000000000005,16.986166666666666,3.2496666666666667,15.381833333333333,152.33333333333334,99.83333333333333,46.0,210.68566666666666,,3.90625,0.0
2011-04-06,195.97433333333333,60.333333333333336,44.30566666666667,24.333333333333332,25.307666666666666,41.976,68.83683333333333,26.860666666666663,5.259,25.111499999999996,183.0,133.63533333333334,76.0,221.282,,5.28825,0.0
2011-04-07,189.37133333333335,65.66666666666667,56.31933333333333,39.0,16.22833333333333,28.206166666666665,49.67966666666666,21.473166666666668,1.8533333333333335,19.083666666666666,193.33333333333334,155.486,114.33333333333333,205.59966666666665,,3.435,0.0
2011-04-08,185.70066666666665,68.0,58.916333333333334,50.666666666666664,10.235999999999999,17.402666666666665,24.486,7.083166666666666,1.3053333333333332,14.708333333333334,179.33333333333334,170.486,157.33333333333334,195.93666666666664,,2.26025,0.0
