date,SO2_mean,SPM_mean,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,5.677,33.05,196.083,6.333,94.0,73.604,56.0,14.625,7.75,8.54175,0.79175,,92.0,79.896,51.5,210.708
2011-01-02,1.30425,10.241800000000001,196.435,4.435,96.0,71.4375,48.5,11.739,4.1522499999999996,4.924,0.7717499999999999,,101.5,62.604,33.0,208.174
2011-01-03,6.60425,30.641399999999997,196.458,5.667,84.0,62.875,51.5,12.333,6.6875,7.11475,0.42725,,83.5,72.0625,58.0,208.792
2011-01-04,2.417,19.2018,192.35,4.478,79.5,60.8955,53.0,10.775,4.27625,4.726,0.44975,,69.0,41.2295,21.5,203.125
2011-01-05,1.9715,10.5054,191.79149999999998,3.958,71.0,57.7915,46.5,12.4585,8.25675,10.549,2.29225,,75.5,49.896,30.5,204.25
2011-01-06,2.5,12.1334,194.33350000000002,5.083,77.0,66.6665,57.0,13.75,15.64575,22.1875,6.54175,,78.5,56.5,36.0,208.083
2011-01-07,1.58325,7.841800000000001,194.64600000000002,4.208,87.5,68.479,47.5,12.4375,11.44775,15.073,3.625,,104.0,67.146,33.0,207.08350000000002
2011-01-08,2.54175,7.1668,195.8375,4.0,90.0,73.375,54.0,13.6705,13.4585,16.125,2.6665,,104.5,67.6875,21.0,209.50799999999998
2011-01-09,7.750249999999999,35.3332,199.652,6.435,77.5,60.3125,45.5,16.0435,11.98925,14.43475,2.44575,,102.0,79.0835,48.5,215.69549999999998
2011-01-10,7.7605,48.1334,203.08350000000002,8.167,89.5,79.1875,61.0,20.25,21.09375,33.0,11.90625,,92.0,68.75,45.0,223.33350000000002
2011-01-11,2.2815,14.7332,192.91649999999998,4.792,95.0,59.625,50.0,12.2295,8.23975,10.70825,2.46875,,81.0,53.2295,11.5,205.14600000000002
2011-01-12,4.65625,12.9666,199.10399999999998,5.625,96.0,80.9375,57.0,16.6875,16.62475,25.2915,8.6665,,76.5,47.833,18.0,215.79149999999998
2011-01-13,5.3125,23.9082,194.6875,5.125,72.5,57.6665,44.0,11.6665,7.59375,9.36475,1.77075,,80.5,67.625,48.5,206.35399999999998
2011-01-14,2.9585,24.9666,196.3125,6.125,81.0,61.9375,43.5,14.395499999999998,11.80225,16.25,4.44775,,94.5,64.9585,39.5,210.70850000000002
2011-01-15,2.29175,13.066399999999998,204.6135,5.708,83.0,69.375,54.0,19.555,17.56275,24.896,7.33325,,87.0,62.75,37.5,224.1685
2011-01-16,2.05425,11.158199999999999,196.1085,4.957,95.5,78.5,67.0,13.282499999999999,16.3695,22.3915,6.02175,,76.5,58.104,20.0,209.3915
2011-01-17,2.177,9.041,199.409,5.636,96.0,73.833,43.0,19.2275,20.17225,38.03225,17.86,,106.5,53.3335,3.0,218.6365
2011-01-18,4.5,18.882,194.95850000000002,6.0,93.0,82.396,64.0,19.875,25.00625,39.07075,14.064499999999999,,89.0,65.9375,32.5,214.83350000000002
2011-01-19,4.4485,21.0224,189.796,5.375,95.5,95.3335,92.0,17.476499999999998,21.387,29.69525,8.3085,,82.5,77.25,69.0,207.27249999999998
2011-01-20,1.73975,7.0334,195.6875,3.667,95.5,73.7085,47.5,15.1875,10.28125,15.655999999999999,5.374750000000001,,139.0,100.0415,78.0,210.875
2011-01-21,2.156,6.7998,192.72899999999998,4.042,92.5,71.9165,44.0,15.3335,13.3125,20.33325,7.02075,,129.0,90.271,62.5,208.0625
2011-01-22,2.0105,11.541599999999999,195.9435,4.917,94.5,85.0,65.5,15.3795,11.4375,20.52075,9.0835,,99.0,75.4585,47.5,211.3235
2011-01-23,1.1415,6.024800000000001,191.60899999999998,3.609,62.5,51.104,45.0,11.326,5.17375,8.3155,3.1412500000000003,,68.0,48.083,26.0,202.935
2011-01-24,2.45825,11.775,195.25,4.625,84.5,57.4375,44.5,10.9795,7.92725,11.2815,3.35425,,35.0,20.9795,11.5,206.22899999999998
2011-01-25,2.59375,14.3582,195.72899999999998,4.875,93.0,61.0625,48.0,10.6045,7.86475,11.8855,4.02075,,46.5,25.458,9.5,206.33350000000002
2011-01-26,2.82375,8.2704,195.97899999999998,4.708,60.5,47.6875,42.0,10.625,7.6015,10.35425,2.75275,,51.5,31.7915,15.5,206.6045
2011-01-27,4.35425,29.996199999999998,199.7125,7.208,95.5,85.729,62.0,16.2785,27.01975,37.68675,10.66675,,44.5,34.6455,24.5,215.9915
2011-01-28,3.28125,35.1252,209.083,6.292,95.5,70.6665,43.0,18.417,14.823,25.6355,10.812249999999999,,100.5,59.6045,26.5,227.5
2011-01-29,2.375,15.1418,203.292,5.125,94.0,69.3335,45.5,14.583,12.396,16.521,4.125249999999999,,103.0,55.104,12.5,217.875
2011-01-30,1.011,8.0666,197.739,4.348,77.5,55.6875,35.0,12.609,9.576,13.076,3.5,,90.0,55.1455,17.0,210.348
2011-01-31,5.08925,22.4016,197.33350000000002,6.542,82.5,56.208,31.5,14.479,16.0275,28.102,12.074,,90.0,46.354,1.0,211.8125
2011-02-01,4.1370000000000005,28.057,195.0,5.435,92.5,60.167,46.0,12.8125,6.981999999999999,9.14175,2.16,,92.5,59.5415,20.5,207.8125
2011-02-02,1.63025,8.7016,195.625,3.917,89.5,66.9165,48.5,12.292,5.7330000000000005,7.49725,1.764,,20.5,-4.021,-22.5,207.91649999999998
2011-02-03,3.0,13.741800000000001,198.125,4.792,86.5,73.042,63.0,13.6875,11.69775,13.85425,2.15625,,43.5,23.6665,2.5,211.8125
2011-02-04,5.146,24.7584,197.70850000000002,5.167,78.0,59.6455,48.0,13.125,9.375,11.354,1.979,,94.5,61.0625,39.0,210.83350000000002
2011-02-05,5.63525,43.2916,199.083,6.375,95.5,86.875,71.5,16.3955,17.85425,22.59375,4.7395,,79.0,56.146,23.0,215.4795
2011-02-06,6.0325,49.0834,195.4785,6.739,95.5,91.729,85.0,14.6735,20.6305,28.09775,7.4675,,99.5,82.2085,65.5,210.152
2011-02-07,2.2395,21.633,193.0,4.708,95.5,75.729,50.5,11.604,7.75725,9.958,2.2005,,104.5,78.6455,46.0,204.6045
2011-02-08,0.95825,7.2336,193.45850000000002,3.625,84.0,56.7915,49.5,9.771,4.65625,6.66675,2.0105,,38.5,18.625,6.0,203.2295
2011-02-09,1.07275,9.2918,195.1875,4.292,78.5,60.6875,50.5,9.271,7.2605,10.073,2.8125,,61.5,36.25,18.0,204.45850000000002
