date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean,HUM_max,HUM_mean,HUM_min,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-01,24.078,31.984,7.906,25.364,,1.111,75.0,54.958,40.0,0.0,7.4,3.342,0.2,199.854,20.938,220.792,6.361
2011-01-02,15.484,22.38,6.896,17.443,,0.778,81.0,58.708,30.0,0.0,9.3,3.508,-0.1,194.646,15.354,210.0,4.783
2011-01-03,10.364,12.912,2.547,4.312,,0.528,52.0,37.167,21.0,0.0,8.7,4.483,0.6,188.104,7.438,195.542,3.59
2011-01-04,20.818,29.714,8.896,10.386,,1.153,73.0,48.208,32.0,0.0,8.4,3.388,-1.8,194.45,14.62,209.07,5.278
2011-01-05,14.854,20.552,5.698,5.036,,0.875,55.0,34.542,19.0,0.0,7.8,3.671,0.3,190.896,8.52,199.417,4.028
2011-01-06,34.334,64.005,29.672,16.803,,1.764,69.0,45.958,28.0,0.0,7.4,3.421,0.0,197.602,22.452,220.054,7.083
2011-01-07,18.354,28.208,9.854,9.094,,0.875,75.0,45.375,23.0,0.0,7.4,2.883,-1.3,193.416,11.604,205.02,4.416
2011-01-08,15.094,18.792,3.698,7.078,,0.861,55.0,38.25,22.0,0.0,8.1,3.821,-1.0,194.312,10.416,204.729,4.404
2011-01-09,27.323,38.771,11.448,22.948,,1.681,82.0,55.125,34.0,0.0,8.5,3.75,-0.9,198.312,19.458,217.771,6.066
2011-01-10,32.688,55.614,22.926,23.008,,1.528,82.0,57.667,32.0,0.0,8.1,4.05,-1.9,197.587,23.587,221.174,6.417
2011-01-11,23.526,40.515,16.989,18.688,,1.347,84.0,61.667,40.0,0.0,9.1,3.438,-0.3,191.979,17.562,209.542,4.958
2011-01-12,24.652,45.409,20.758,9.853,,0.98,63.0,39.125,24.0,0.0,5.5,1.433,-1.9,194.782,15.478,210.26,5.416
2011-01-13,41.103,92.777,51.674,19.726,,2.123,68.0,51.458,29.0,0.0,8.0,2.9,-3.6,200.458,31.646,232.104,7.653
2011-01-14,23.932,39.286,15.354,10.138,,0.764,75.0,44.917,26.0,0.0,6.8,2.546,-1.9,196.208,17.5,213.708,6.207
2011-01-15,29.307,48.078,18.771,19.44,,1.319,61.0,49.875,33.0,0.0,4.7,1.658,-1.4,203.521,26.0,229.521,7.462
2011-01-16,28.75,46.229,17.479,23.454,,0.861,63.0,49.792,41.0,0.0,3.3,1.858,-0.4,197.284,17.869,215.153,5.778
2011-01-17,18.983,33.644,14.662,13.536,,0.68,78.0,50.167,33.0,0.0,5.9,2.562,-0.7,194.979,15.438,210.416,5.18
2011-01-18,39.71,83.782,44.072,32.281,,1.611,81.0,61.458,34.0,0.0,7.7,2.512,-2.9,203.416,37.645,241.062,7.944
2011-01-19,23.599,49.589,25.99,28.62,,1.528,74.0,61.792,49.0,0.0,8.9,3.892,-1.6,196.146,25.416,221.562,5.597
2011-01-20,15.099,21.729,6.63,20.755,,0.569,94.0,90.292,69.0,15.0,3.4,1.004,0.3,190.584,8.812,199.396,3.518
