date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean,SO2_mean
2011-01-01,203.148,60.0,49.083,41.0,21.71,25.167,32.889,7.722,,20.347,8.85,6.26,3.35,224.858,5.783,1.833
2011-01-02,198.584,67.0,49.5,34.0,17.688,16.679,20.976,4.296,,15.361,10.95,6.323,4.0,216.271,4.167,1.304
2011-01-03,193.396,43.0,34.125,21.0,12.375,10.175,12.492,2.317,,5.542,10.55,6.796,4.6,205.77,3.208,1.042
2011-01-04,196.854,55.0,45.0,35.0,17.438,19.972,28.903,8.93,,10.764,9.7,5.754,2.5,214.292,5.167,1.958
2011-01-05,196.619,43.0,33.875,22.0,15.072,20.011,33.251,13.239,,7.853,10.3,5.794,2.8,211.69,5.348,1.042
2011-01-06,204.92,64.0,41.708,33.0,20.07,35.602,62.767,27.164,,14.964,9.1,6.315,3.4,224.99,7.083,3.957
2011-01-07,196.684,52.0,38.0,25.0,14.454,17.889,26.07,8.181,,6.694,9.15,5.783,3.9,211.138,3.913,1.042
2011-01-08,197.084,48.0,34.958,27.0,13.27,12.67,16.226,3.556,,6.667,9.65,6.085,3.15,210.354,3.667,1.0
2011-01-09,200.854,70.0,50.708,39.0,20.229,28.494,41.124,12.631,,17.833,9.4,6.2,3.1,221.084,5.375,1.833
2011-01-10,209.854,70.0,54.042,33.0,22.062,39.375,69.597,30.222,,22.125,9.55,6.892,3.45,231.916,5.583,3.875
2011-01-11,198.146,69.0,52.875,31.0,22.771,29.639,55.181,25.541,,19.528,10.45,5.848,2.05,220.916,6.042,2.25
2011-01-12,201.32,51.0,35.958,27.0,14.5,27.058,45.42,18.362,,10.578,7.05,3.779,0.75,215.82,4.87,1.958
2011-01-13,208.247,63.0,47.083,39.0,29.236,44.355,99.971,55.616,,20.847,10.35,5.892,1.6,237.482,8.783,6.091
2011-01-14,200.021,51.0,39.792,31.0,18.02,24.103,37.747,13.644,,10.958,7.75,5.302,3.0,218.042,5.708,1.609
2011-01-15,203.729,54.0,43.958,40.0,19.938,24.51,33.646,9.136,,15.347,6.1,4.485,2.25,223.667,5.708,2.5
2011-01-16,197.125,46.0,41.125,36.0,17.521,27.805,45.236,17.43,,19.236,5.2,4.404,3.0,214.646,4.958,1.042
2011-01-17,194.27,61.0,45.625,32.0,15.979,25.514,37.278,11.764,,14.931,7.45,4.81,2.75,210.25,3.583,1.375
2011-01-18,202.456,63.0,50.917,39.0,28.913,45.75,90.554,44.804,,27.764,9.05,5.588,2.25,231.37,7.833,3.417
2011-01-19,198.868,68.0,55.667,48.0,22.348,30.278,54.255,23.977,,28.058,9.95,6.396,3.15,221.215,4.864,1.783
2011-01-20,196.062,88.0,83.333,73.0,15.416,23.446,37.653,14.208,,17.403,4.2,2.831,1.95,211.479,4.625,0.652
2011-01-21,195.688,89.0,81.875,70.0,14.812,20.615,28.739,8.123,,10.653,3.8,3.36,2.9,210.5,3.792,0.125
2011-01-22,198.812,91.0,82.792,71.0,17.396,20.097,35.305,15.208,,7.917,7.95,5.498,3.55,216.208,5.875,0.25
2011-01-23,234.167,92.0,81.833,58.0,38.062,37.792,126.209,88.417,,18.431,8.4,5.321,0.65,272.229,8.708,1.5
2011-01-24,204.282,87.0,54.625,38.0,16.174,28.528,45.631,17.103,,11.32,5.15,3.008,0.7,220.456,5.083,2.542
2011-01-25,209.66,77.0,58.083,30.0,27.187,39.278,87.014,47.736,,23.514,8.45,4.362,0.7,236.846,8.087,3.75
2011-01-26,199.761,80.0,45.667,29.0,19.956,28.893,50.048,21.155,,14.377,6.1,3.248,0.6,219.718,5.913,1.273
2011-01-27,205.812,60.0,49.125,32.0,27.562,36.727,80.95,44.223,,19.07,7.75,3.612,-0.1,233.375,7.958,3.042
2011-01-28,200.375,58.0,41.75,29.0,20.104,25.583,42.486,16.903,,17.694,5.9,2.725,0.45,220.479,5.458,1.708
2011-01-29,196.771,42.0,33.292,24.0,12.646,10.264,13.028,2.764,,8.583,6.75,3.127,1.3,209.416,3.375,1.042
2011-01-30,197.13,39.0,31.708,26.0,14.0,22.996,36.761,13.766,,9.556,6.35,3.794,1.45,211.13,4.167,1.0
2011-01-31,203.604,52.0,42.542,33.0,19.916,35.806,62.681,26.875,,15.083,8.05,4.125,0.75,223.521,6.217,2.167
2011-02-01,199.646,52.0,42.875,31.0,16.375,27.092,47.979,20.887,,17.764,11.95,6.406,2.15,216.02,6.458,5.478
2011-02-02,195.129,44.0,30.958,21.0,12.822,15.5,23.894,8.394,,9.607,5.45,2.502,0.6,207.951,4.217,1.273
