date,NO2_mean,NOX_mean,NO_mean,CH4_mean,CO_mean,NMHC_mean,PM25_mean,SPM_mean,THC_mean
2011-01-01,16.9375,24.104,7.167,194.417,4.625,15.958,,,210.375
2011-01-02,8.0,10.804499999999999,2.8045,191.609,3.652,6.435,,,198.043
2011-01-03,9.5835,13.417,3.8335,191.625,3.75,7.042,,,198.667
2011-01-04,9.042,13.104,4.0625,193.292,4.417,7.625,,,200.917
2011-01-05,10.326,14.6305,4.3045,192.391,3.261,8.87,,,201.261
2011-01-06,15.854500000000002,26.1875,10.3335,194.478,4.792,17.522,,,212.0
2011-01-07,8.5205,13.332999999999998,4.8125,190.783,3.333,9.391,,,200.174
2011-01-08,10.292,17.0,6.7085,191.783,3.917,13.913,,,205.696
2011-01-09,11.8915,16.957,5.0655,194.261,4.0,17.783,,,212.043
2011-01-10,22.3545,41.9375,19.5835,197.045,7.458,28.318,,,225.364
2011-01-11,12.5,19.021,6.521,192.522,4.708,11.609,,,204.13
2011-01-12,12.6455,19.854,7.2085,191.087,3.625,8.043,,,199.13
2011-01-13,16.4375,28.1665,11.729,193.174,5.083,17.565,,,210.739
2011-01-14,9.771,13.0,3.2295,192.478,4.208,14.652,,,207.13
2011-01-15,8.0835,11.625,3.5415,191.043,3.417,6.043,,,197.087
2011-01-16,17.261,27.130499999999998,9.8695,191.957,4.783,15.435,,,207.391
2011-01-17,19.5415,32.729,13.1875,194.739,5.125,22.174,,,216.913
2011-01-18,24.5835,42.604,18.0205,196.261,6.5,33.696,,,229.957
2011-01-19,23.833,39.8335,16.0,193.348,5.542,28.435,,,221.783
2011-01-20,16.1665,25.125,8.958,191.391,4.375,15.957,,,207.348
2011-01-21,16.875,26.0625,9.1875,189.913,4.333,16.087,,,206.0
2011-01-22,14.7915,22.7085,7.9165,191.348,4.208,19.87,,,211.217
2011-01-23,7.5,9.782499999999999,2.2824999999999998,191.13,3.174,7.435,,,198.565
2011-01-24,9.3125,15.270499999999998,5.958,190.348,2.917,9.87,,,200.217
2011-01-25,9.0625,13.021,3.9585,190.913,3.458,8.478,,,199.391
2011-01-26,8.5,11.1665,2.667,191.273,3.083,8.591,,,199.864
