date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CO_mean,SO2_mean
2011-03-26,8.8535,13.96575,5.112,,10.677,3.167,0.0
2011-03-27,14.9895,21.552,6.5625,,11.7605,4.125,0.292
2011-03-28,13.271,18.20075,4.92975,,15.825,4.174,0.833
2011-03-29,14.94425,20.4465,5.502000000000001,,17.238999999999997,4.696,0.625
2011-03-30,30.021,46.979,16.9585,,25.47925,7.167,1.5
2011-03-31,14.15625,21.15625,7.0,,18.0105,4.583,0.625
2011-04-01,12.687750000000001,17.85425,5.16675,,14.7915,4.542,0.125
2011-04-02,8.979,13.375,4.39575,,16.10425,3.125,0.792
2011-04-03,4.771,7.468999999999999,2.698,,10.396,2.583,0.0
2011-04-04,9.97175,15.453249999999999,5.48125,,5.98975,3.542,0.0
2011-04-05,11.7435,17.322499999999998,5.579,,10.283,3.783,0.083
2011-04-06,16.3555,22.842,6.48625,,16.502,4.696,0.667
2011-04-07,20.86925,28.442500000000003,7.57325,,18.3925,5.667,0.739
2011-04-08,12.002,18.30925,6.3075,,9.850999999999999,4.958,0.0
2011-04-09,11.45825,16.73975,5.281000000000001,,15.53125,4.25,0.0
2011-04-10,8.6145,11.51025,2.89575,,14.29175,3.833,0.0
2011-04-11,13.493,20.25175,6.75875,,20.4685,5.333,0.364
2011-04-12,9.125,13.9585,4.8335,,16.46875,3.417,0.0
2011-04-13,15.197000000000001,21.548000000000002,6.351,,34.646,5.304,1.208
2011-04-14,19.396,25.2915,5.89575,,43.13525,6.458,3.167
2011-04-15,22.39575,27.8645,5.46875,,42.27075,6.583,2.292
2011-04-16,11.61475,16.7085,5.09375,,24.03125,4.75,0.667
2011-04-17,4.95825,7.3125,2.35425,,9.8335,2.667,0.0
2011-04-18,8.935,12.868,3.933,,12.9985,3.652,0.333
2011-04-19,8.66675,14.823,6.15625,,7.0105,3.917,0.0
2011-04-20,6.919499999999999,11.5105,4.59075,,4.90325,3.0,0.0
2011-04-21,8.1145,11.64575,3.53125,,8.3855,3.25,0.125
