date,PM25_mean,SO2_mean
2012-09-10,1.5,1.042
2012-09-11,5.083,1.458
2012-09-12,12.875,2.0
2012-09-13,17.708,1.958
2012-09-14,15.708,1.625
2012-09-15,3.708,1.292
2012-09-16,3.875,1.083
2012-09-17,6.167,1.0
2012-09-18,4.833,1.125
2012-09-19,17.0,2.625
2012-09-20,22.542,2.667
2012-09-21,23.696,2.958
2012-09-22,31.583,2.625
2012-09-23,16.458,1.917
2012-09-24,10.833,2.417
2012-09-25,10.292,2.917
2012-09-26,9.667,2.739
2012-09-27,10.0,2.792
2012-09-28,15.0,2.958
2012-09-29,20.125,1.792
2012-09-30,2.417,1.333
2012-10-01,4.5,2.208
2012-10-02,8.5,2.833
2012-10-03,8.75,3.042
2012-10-04,8.208,2.958
2012-10-05,9.375,2.875
2012-10-06,12.708,2.375
2012-10-07,16.667,3.083
2012-10-08,12.417,2.958
2012-10-09,9.917,3.208
2012-10-10,10.958,2.696
2012-10-11,12.75,2.5
2012-10-12,18.583,2.417
2012-10-13,8.5,3.0
2012-10-14,13.458,2.583
2012-10-15,17.583,3.667
2012-10-16,26.25,3.125
2012-10-17,6.958,1.375
2012-10-18,10.083,1.792
2012-10-19,7.375,2.667
2012-10-20,11.5,2.583
2012-10-21,17.125,3.042
2012-10-22,23.125,2.917
2012-10-23,12.375,2.083
2012-10-24,13.5,2.391
2012-10-25,13.625,2.875
2012-10-26,15.625,3.083
2012-10-27,22.833,2.5
2012-10-28,19.75,1.542
2012-10-29,13.875,2.917
2012-10-30,15.708,2.75
2012-10-31,27.583,3.333
2012-11-01,14.125,2.917
2012-11-02,8.625,2.5
2012-11-03,14.208,2.292
2012-11-04,16.417,2.208
2012-11-05,16.125,1.833
2012-11-06,17.917,2.833
2012-11-07,21.542,3.261
2012-11-08,24.167,2.75
2012-11-09,24.875,3.292
2012-11-10,22.625,2.792
2012-11-11,9.25,1.125
2012-11-12,20.375,2.75
2012-11-13,17.542,1.636
2012-11-14,11.625,
2012-11-15,7.625,
2012-11-16,4.875,3.308
2012-11-17,5.75,2.0
2012-11-18,15.958,2.5
2012-11-19,13.708,3.75
2012-11-20,20.333,3.75
2012-11-21,16.0,3.0
2012-11-22,12.167,2.042
2012-11-23,13.458,2.0
2012-11-24,16.375,2.625
2012-11-25,11.083,2.458
2012-11-26,9.167,2.167
2012-11-27,9.917,2.958
2012-11-28,10.125,3.0
2012-11-29,12.667,2.333
2012-11-30,12.5,2.75
2012-12-01,13.542,3.458
2012-12-02,11.417,2.083
2012-12-03,5.208,1.708
2012-12-04,12.167,3.083
2012-12-05,10.083,2.609
2012-12-06,10.125,3.375
2012-12-07,11.042,3.0
2012-12-08,13.083,2.708
2012-12-09,10.542,1.75
2012-12-10,6.75,2.625
2012-12-11,8.25,3.0
2012-12-12,7.833,2.75
2012-12-13,7.417,2.708
2012-12-14,10.25,2.917
2012-12-15,8.625,1.958
2012-12-16,5.545,2.125
2012-12-17,,2.042
2012-12-18,,2.667
2012-12-19,6.875,2.696
2012-12-20,6.75,2.625
2012-12-21,9.667,2.375
2012-12-22,3.542,2.0
2012-12-23,13.458,3.083
2012-12-24,8.875,3.5
2012-12-25,14.417,2.792
2012-12-26,13.292,2.609
2012-12-27,7.958,2.5
2012-12-28,7.292,1.5
2012-12-29,5.042,1.792
2012-12-30,4.167,1.875
2012-12-31,7.458,2.125
2013-01-01,32.333,4.125
2013-01-02,18.708,3.917
2013-01-03,20.125,3.625
2013-01-04,25.625,4.542
2013-01-05,11.792,3.042
2013-01-06,10.167,3.667
2013-01-07,12.167,3.208
2013-01-08,10.227,2.304
2013-01-09,7.375,3.083
2013-01-10,5.667,3.042
2013-01-11,19.917,4.125
2013-01-12,22.75,3.958
2013-01-13,27.208,4.292
2013-01-14,15.25,3.583
2013-01-15,5.583,3.292
2013-01-16,4.917,3.042
2013-01-17,12.0,3.75
2013-01-18,31.167,7.167
2013-01-19,7.0,3.083
2013-01-20,17.667,5.542
2013-01-21,22.625,5.208
2013-01-22,16.708,4.913
2013-01-23,14.125,3.667
2013-01-24,15.625,3.583
2013-01-25,20.75,5.208
2013-01-26,13.542,2.708
2013-01-27,12.75,3.042
2013-01-28,12.792,4.75
2013-01-29,18.208,3.652
2013-01-30,17.667,2.542
2013-01-31,24.5,3.167
2013-02-01,20.458,2.958
2013-02-02,20.292,2.667
2013-02-03,42.583,3.625
2013-02-04,14.917,3.25
2013-02-05,5.792,3.478
2013-02-06,9.042,2.583
2013-02-07,5.25,2.417
2013-02-08,2.417,3.042
2013-02-09,4.458,3.458
2013-02-10,5.75,2.542
