date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.609,3.8125,85.0,80.417,69.0,4.739,5.75,6.729,0.979,1.958,70.0,53.25,21.0,196.348
2011-01-02,190.696,3.0625,88.0,68.667,50.0,3.478,5.375,6.4375,1.125,1.208,57.0,44.167,25.0,194.174
2011-01-03,192.13,3.4375,85.0,74.792,48.0,3.739,5.5,6.771,1.25,2.125,59.0,41.5,23.0,195.87
2011-01-04,187.609,2.896,85.0,63.75,48.0,3.522,3.8465,4.327999999999999,0.5,4.261,56.0,31.083,7.0,191.13
2011-01-05,186.609,3.896,85.0,81.375,73.0,4.87,10.8015,15.454,4.6955,2.292,47.0,28.25,18.0,191.478
2011-01-06,185.609,3.0415,86.0,75.042,55.0,4.217,9.576,14.050999999999998,4.475,2.333,99.0,41.625,24.0,189.826
2011-01-07,191.478,3.6875,89.0,82.958,74.0,5.783,13.8335,21.2085,7.396,0.583,47.0,28.458,10.0,197.261
2011-01-08,189.522,3.3225,85.0,70.458,42.0,5.696,9.104,14.229,5.208,0.625,96.0,47.958,5.0,195.217
2011-01-09,190.739,4.3125,86.0,76.792,53.0,5.087,11.021,16.5835,5.646,2.667,90.0,56.208,44.0,195.826
2011-01-10,196.0,5.022,84.0,76.333,66.0,7.0,10.2155,15.621500000000001,5.489,3.652,83.0,54.375,36.0,203.0
2011-01-11,187.783,2.9795,86.0,70.667,53.0,5.435,7.1875,10.145499999999998,3.0835,4.083,64.0,41.167,8.0,193.217
2011-01-12,190.478,3.1665,89.0,79.792,69.0,6.652,10.307,16.3975,6.197,0.913,56.0,32.375,6.0,197.13
2011-01-13,191.043,3.0625,79.0,63.375,47.0,6.435,6.2915,7.396,1.0835,4.292,65.0,54.083,43.0,197.478
2011-01-14,192.304,3.7085,75.0,60.792,47.0,6.217,8.1665,12.082999999999998,3.9375,2.375,80.0,57.25,45.0,198.522
2011-01-15,191.913,3.375,86.0,72.125,55.0,5.739,8.7085,13.1665,4.4585,0.792,76.0,49.667,33.0,197.652
2011-01-16,188.478,2.7085,86.0,69.083,55.0,4.913,8.809999999999999,15.459,6.6305,0.364,66.0,52.958,41.0,193.391
2011-01-17,187.261,3.75,82.0,68.292,39.0,7.174,14.387999999999998,24.129,9.802999999999999,0.792,99.0,47.958,4.0,194.435
2011-01-18,190.391,4.458,86.0,69.167,39.0,9.957,17.0835,33.7085,16.646,0.917,110.0,47.917,-10.0,200.348
2011-01-19,187.0,3.1665,86.0,81.292,69.0,6.957,12.896,21.3335,8.396,0.625,75.0,64.958,53.0,193.957
2011-01-20,182.913,2.1195,88.0,68.792,54.0,3.652,6.385999999999999,10.658999999999999,4.341,0.391,102.0,83.667,69.0,186.565
2011-01-21,189.609,3.1455,89.0,78.75,64.0,5.609,13.4375,21.9165,8.521,0.417,101.0,71.083,47.0,195.217
2011-01-22,191.435,2.729,88.0,83.0,67.0,5.043,6.1665,8.333,2.25,0.333,74.0,54.792,25.0,196.478
2011-01-23,195.522,2.803,87.0,75.25,54.0,5.13,7.84,13.444500000000001,5.639,2.208,56.0,28.667,8.0,200.652
2011-01-24,188.217,1.9585,73.0,59.625,48.0,4.174,1.125,1.125,0.0,1.542,29.0,17.208,-1.0,192.391
2011-01-25,188.957,2.8125,78.0,63.583,45.0,5.043,2.0,2.083,0.083,3.375,24.0,7.208,-10.0,194.0
2011-01-26,186.783,2.5415,83.0,69.792,54.0,4.696,4.3505,5.345,1.104,4.042,35.0,15.5,-3.0,191.478
