date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,26.458,37.25,10.792,27.375,1.583,27.479,202.536,6.653,22.739,225.275
2011-01-02,17.448,25.479,8.031,17.75,0.875,19.062,197.792,4.875,16.472,214.264
2011-01-03,11.531,15.208,3.677,2.542,0.333,3.146,189.347,3.568,7.68,197.028
2011-01-04,23.333,39.833,16.5,9.292,1.417,11.26,198.269,5.274,17.433,215.702
2011-01-05,18.864,25.469,6.604,3.292,0.875,6.062,191.389,3.458,8.028,199.417
2011-01-06,34.865,74.396,39.531,14.5,2.542,16.313,200.656,6.927,25.685,226.341
2011-01-07,24.146,51.365,27.219,7.292,0.917,9.968,197.621,5.25,16.975,214.595
2011-01-08,21.354,35.031,13.677,6.333,0.833,7.854,197.764,4.653,14.389,212.153
2011-01-09,29.386,43.646,14.261,18.917,2.0,20.927,200.444,5.754,20.444,220.889
2011-01-10,31.188,50.994,19.806,16.667,1.417,19.771,197.456,4.762,18.098,215.554
2011-01-11,22.614,35.825,13.211,12.333,1.261,14.229,192.719,3.172,14.585,207.303
2011-01-12,25.896,51.344,25.448,7.458,0.833,8.271,194.736,3.822,14.945,209.681
2011-01-13,42.51,103.458,60.948,17.167,2.25,20.01,200.837,6.667,38.539,239.376
2011-01-14,26.948,54.625,27.677,8.917,1.042,9.344,197.736,4.528,19.028,216.764
2011-01-15,28.792,49.156,20.364,18.25,1.875,19.406,202.334,5.824,24.111,226.445
2011-01-16,22.513,31.164,8.651,16.083,1.091,16.089,194.758,3.26,13.454,208.212
2011-01-17,22.042,39.948,17.906,9.167,1.083,10.833,193.558,3.875,14.288,207.846
2011-01-18,37.792,77.323,39.531,26.083,1.667,28.958,202.653,6.26,31.417,234.07
2011-01-19,25.99,49.802,23.812,25.75,2.208,26.812,196.044,4.528,19.776,215.82
2011-01-20,13.948,16.614,2.666,13.25,0.875,15.021,190.181,2.847,6.528,196.708
2011-01-21,14.01,16.302,2.292,6.792,0.292,8.26,189.653,2.68,6.653,196.306
2011-01-22,15.792,26.938,11.146,4.875,0.292,8.854,192.989,3.868,10.957,203.946
2011-01-23,28.71,111.4,82.69,10.708,0.958,14.718,202.681,7.264,26.149,228.83
2011-01-24,28.031,52.771,24.74,8.208,0.958,8.969,195.68,5.011,13.167,208.847
2011-01-25,36.468,86.056,49.588,16.955,1.773,19.496,200.17,6.653,25.153,225.322
2011-01-26,26.61,43.111,16.5,10.542,0.958,11.411,195.444,4.75,13.194,208.639
2011-01-27,34.677,83.938,49.26,14.583,1.583,15.771,201.07,6.274,22.597,223.666
2011-01-28,24.74,37.969,13.229,16.5,1.5,15.229,198.033,4.678,14.672,212.705
2011-01-29,9.115,10.708,1.594,6.083,0.958,6.364,192.328,3.069,5.476,197.804
2011-01-30,25.385,58.719,33.333,7.333,0.917,8.417,196.986,5.54,16.778,213.764
2011-01-31,36.729,78.979,42.25,15.292,2.958,16.302,200.124,6.666,24.034,224.159
2011-02-01,23.188,46.99,23.802,11.833,2.292,13.323,194.0,4.389,13.111,207.111
2011-02-02,15.458,19.802,4.344,5.5,1.083,5.386,191.041,3.382,6.694,197.736
2011-02-03,37.958,88.24,50.282,11.75,1.708,14.177,201.359,7.438,23.08,224.438
2011-02-04,39.792,106.448,66.656,17.833,3.333,19.25,205.065,9.028,34.745,239.809
2011-02-05,18.916,24.114,5.198,15.958,2.0,17.114,196.056,4.748,11.375,207.43
2011-02-06,35.141,54.877,19.736,31.167,1.167,38.24,197.986,5.556,22.57,220.556
2011-02-07,27.915,47.421,19.506,19.625,0.417,30.364,194.283,5.264,19.161,213.443
2011-02-08,20.114,35.601,15.488,4.333,0.565,7.758,191.841,4.232,10.858,202.7
2011-02-09,28.114,42.167,14.052,5.0,0.708,7.052,191.89,4.154,10.482,202.372
2011-02-10,33.271,60.333,27.062,11.167,1.833,13.729,195.32,5.403,15.306,210.625
2011-02-11,20.375,29.188,8.812,10.958,1.042,13.115,193.889,4.666,11.042,204.93
2011-02-12,15.844,19.948,4.104,9.25,0.75,9.114,193.229,4.236,9.06,202.289
2011-02-13,30.188,46.135,15.948,15.375,1.5,16.042,195.543,4.764,14.147,209.69
2011-02-14,33.344,49.177,15.834,28.375,1.208,36.167,195.264,5.195,20.944,216.208
2011-02-15,32.688,54.229,21.542,28.583,1.333,35.875,195.245,5.822,22.089,217.334
2011-02-16,21.021,27.521,6.5,11.625,1.042,12.823,190.764,3.805,7.528,198.292
2011-02-17,21.667,30.479,8.813,14.875,1.125,20.562,191.988,3.778,11.198,203.186
2011-02-18,13.427,16.896,3.469,7.875,0.833,8.666,191.859,3.222,6.116,197.975
2011-02-19,26.052,41.604,15.552,10.042,1.083,11.656,198.659,5.167,14.493,213.152
2011-02-20,37.229,65.146,27.917,15.542,2.25,15.438,203.014,6.051,19.722,222.736
2011-02-21,45.141,80.562,35.421,18.409,2.955,20.776,201.699,6.116,27.384,229.082
2011-02-22,20.83,25.067,4.238,20.667,2.708,21.514,192.167,3.652,10.506,202.673
2011-02-23,34.292,59.062,24.771,24.083,1.417,33.031,199.375,5.817,21.625,221.0
2011-02-24,19.417,21.25,1.834,23.833,2.833,23.354,193.994,4.403,9.308,203.303
2011-02-25,16.802,19.292,2.49,12.417,0.417,14.292,192.403,3.639,9.736,202.139
2011-02-26,10.948,11.979,1.031,6.542,0.0,7.229,191.389,3.105,7.236,198.625
2011-02-27,11.104,13.021,1.917,7.708,0.0,7.406,191.984,2.864,4.852,196.836
2011-02-28,15.01,18.927,3.917,6.792,0.542,7.719,193.126,2.833,5.633,198.76
2011-03-01,24.364,31.604,7.24,9.792,0.167,14.146,192.297,3.597,12.125,204.422
2011-03-02,22.23,29.0,6.771,8.458,0.625,13.062,190.361,3.25,10.042,200.403
2011-03-03,12.344,14.146,1.802,10.875,0.667,12.864,191.305,3.254,6.264,197.569
2011-03-04,12.146,13.156,1.01,14.792,2.375,14.167,192.1,3.46,6.5,198.599
2011-03-05,29.237,42.363,13.126,7.388,0.125,12.271,194.955,4.264,14.683,209.638
2011-03-06,30.026,57.132,27.106,10.958,0.75,22.875,195.345,5.332,19.163,214.508
2011-03-07,18.843,25.039,6.196,15.547,0.591,23.9,191.254,4.042,7.883,199.137
2011-03-08,14.365,18.136,3.771,10.875,0.875,13.427,190.097,3.208,5.5,195.597
2011-03-09,15.945,19.243,3.298,8.584,0.5,13.292,190.861,3.284,6.917,197.778
2011-03-10,11.875,13.636,1.76,2.229,0.083,3.625,191.553,3.231,6.4,197.953
2011-03-11,15.104,18.219,3.115,8.792,1.292,10.667,194.305,3.667,9.451,203.756
2011-03-12,19.51,26.854,7.344,4.604,1.125,6.771,192.208,3.518,8.097,200.306
2011-03-13,15.792,18.166,2.375,4.208,0.542,4.406,192.396,3.486,8.092,200.487
2011-03-14,25.448,32.802,7.354,9.0,1.167,10.115,195.194,4.014,11.57,206.764
2011-03-15,26.76,52.479,25.719,17.5,1.375,18.677,197.972,4.664,18.625,216.597
2011-03-16,31.104,42.375,11.271,17.146,1.75,17.771,197.394,4.398,13.687,211.082
2011-03-17,36.744,55.657,18.913,20.146,1.625,24.74,199.909,5.75,26.099,226.009
2011-03-18,25.854,43.552,17.698,21.5,1.375,32.718,196.764,5.879,20.083,216.847
2011-03-19,20.531,30.802,10.271,6.292,0.625,9.719,193.195,3.82,10.506,203.701
2011-03-20,27.136,31.614,4.479,15.438,3.625,17.323,195.849,5.0,15.918,211.766
