date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,SO2_mean
2011-01-01,13.042,14.312,1.271,,37.688,8.792
2011-01-02,7.688,8.354,0.667,,17.062,4.542
2011-01-03,13.892,14.566,0.674,,32.98,7.667
2011-01-04,10.333,11.405,1.072,,27.143,4.429
2011-01-05,17.125,20.25,3.125,,25.625,5.625
2011-01-06,19.625,25.146,5.52,,24.042,6.458
2011-01-07,16.604,21.5,4.896,,21.625,5.75
2011-01-08,17.812,22.396,4.584,,25.25,6.833
2011-01-09,16.928,20.143,3.214,,44.214,8.714
2011-01-10,21.848,30.544,8.696,,59.729,11.125
2011-01-11,15.895,25.438,9.542,,44.48,6.833
2011-01-12,23.729,34.146,10.416,,22.104,6.542
2011-01-13,18.292,23.062,4.771,,29.562,7.417
2011-01-14,17.875,20.625,2.75,,46.396,8.208
2011-01-15,13.792,14.708,0.916,,31.25,5.792
2011-01-16,13.23,14.708,1.479,,16.625,4.75
2011-01-17,14.05,17.275,3.225,,12.135,3.778
2011-01-18,23.875,40.084,16.208,,25.833,2.5
2011-01-19,23.625,39.521,15.895,,32.979,2.318
2011-01-20,11.916,15.771,3.854,,10.875,1.565
2011-01-21,7.458,8.104,0.646,,11.729,1.792
2011-01-22,8.542,9.479,0.938,,16.521,1.5
2011-01-23,7.084,7.875,0.792,,11.104,1.292
2011-01-24,8.826,9.696,0.87,,16.0,1.958
2011-01-25,14.476,16.452,1.976,,22.619,3.143
2011-01-26,15.312,21.458,6.146,,15.875,3.417
2011-01-27,18.438,23.104,4.667,,26.312,3.652
2011-01-28,14.333,18.896,4.562,,37.438,4.375
2011-01-29,7.688,8.896,1.208,,27.438,3.625
2011-01-30,11.479,13.104,1.625,,25.292,4.167
2011-01-31,17.522,20.718,3.196,,25.958,5.458
2011-02-01,14.404,18.714,4.31,,33.857,4.0
2011-02-02,6.25,7.562,1.312,,11.334,1.625
2011-02-03,16.125,19.458,3.333,,18.021,3.217
2011-02-04,15.834,19.792,3.958,,27.833,3.833
2011-02-05,15.396,18.042,2.646,,38.146,3.458
2011-02-06,23.354,38.812,15.458,,42.938,3.042
2011-02-07,8.978,9.5,0.522,,18.75,1.917
2011-02-08,5.572,5.905,0.333,,10.404,1.095
2011-02-09,13.583,16.062,2.479,,17.146,2.333
2011-02-10,16.48,20.417,3.938,,19.104,3.174
2011-02-11,11.375,13.104,1.729,,14.729,2.792
2011-02-12,15.354,16.688,1.334,,18.979,3.375
2011-02-13,24.562,47.646,23.084,,31.104,2.375
2011-02-14,25.55,64.35,38.8,,28.072,1.571
2011-02-15,15.166,24.833,9.666,,17.375,1.292
2011-02-16,12.646,14.625,1.979,,22.625,1.917
2011-02-17,7.542,8.562,1.021,,14.271,2.217
2011-02-18,6.792,7.604,0.812,,14.812,2.125
2011-02-19,9.23,10.042,0.812,,19.584,2.625
2011-02-20,15.083,18.354,3.271,,18.271,4.0
2011-02-21,24.25,30.875,6.625,,27.81,3.429
2011-02-22,22.562,48.229,25.666,,21.812,4.125
2011-02-23,15.375,28.0,12.625,,22.271,2.792
2011-02-24,12.166,12.604,0.438,,43.438,7.652
2011-02-25,11.521,12.166,0.646,,37.375,2.375
2011-02-26,7.562,7.958,0.396,,12.542,1.875
2011-02-27,11.771,15.5,3.729,,15.083,2.958
2011-02-28,10.225,10.975,0.75,,11.858,3.476
2011-03-01,23.104,34.542,11.438,,20.625,2.375
2011-03-02,16.084,19.146,3.062,,16.083,2.087
2011-03-03,5.48,5.771,0.292,,14.458,7.625
2011-03-04,15.084,17.167,2.084,,25.02,2.875
2011-03-05,23.375,44.729,21.354,,17.333,2.042
2011-03-06,9.0,9.875,0.875,,20.167,1.857
2011-03-07,14.062,15.333,1.271,,51.542,2.708
2011-03-08,18.125,26.542,8.416,,46.125,3.5
2011-03-09,8.75,9.188,0.438,,33.938,2.348
2011-03-10,9.208,10.083,0.875,,19.292,2.875
2011-03-11,8.104,8.875,0.771,,29.146,4.75
2011-03-12,6.5,6.854,0.354,,13.021,2.25
2011-03-13,17.325,19.225,1.9,,18.405,4.714
2011-03-14,17.125,20.042,2.917,,25.917,4.625
2011-03-15,16.73,19.084,2.354,,43.125,5.833
2011-03-16,26.188,29.938,3.75,,45.979,5.087
2011-03-17,15.021,16.292,1.271,,26.896,1.917
2011-03-18,12.084,12.312,0.229,,27.375,1.542
2011-03-19,12.952,15.786,2.833,,25.928,1.762
2011-03-20,12.13,14.652,2.522,,22.917,2.667
2011-03-21,13.562,15.292,1.729,,20.625,3.333
2011-03-22,16.938,19.062,2.125,,26.125,5.333
2011-03-23,10.188,10.667,0.479,,15.875,2.304
2011-03-24,5.25,5.666,0.416,,37.854,2.708
2011-03-25,4.479,4.584,0.104,,16.396,2.042
2011-03-26,5.812,6.23,0.416,,13.542,2.042
2011-03-27,12.375,14.15,1.775,,19.0,4.048
2011-03-28,12.646,14.229,1.584,,34.479,3.458
2011-03-29,13.396,14.75,1.354,,36.271,4.375
2011-03-30,11.292,12.375,1.084,,37.334,13.522
2011-03-31,4.979,5.292,0.312,,25.104,3.125
2011-04-01,16.438,18.27,1.834,,42.834,9.583
2011-04-02,13.834,16.354,2.521,,39.312,7.083
2011-04-03,6.958,7.042,0.084,,34.125,5.708
2011-04-04,5.48,5.979,0.5,,15.02,5.458
2011-04-05,11.625,12.375,0.75,,16.858,7.857
2011-04-06,14.25,16.312,2.062,,19.062,7.958
2011-04-07,8.27,9.084,0.812,,16.105,8.083
2011-04-08,11.146,12.375,1.23,,19.583,4.75
2011-04-09,8.0,8.562,0.562,,36.958,5.25
2011-04-10,9.084,9.562,0.479,,33.708,6.417
2011-04-11,9.729,10.479,0.75,,35.417,5.792
2011-04-12,11.075,11.8,0.725,,26.405,5.476
2011-04-13,10.042,10.625,0.583,,33.604,6.75
2011-04-14,9.979,10.646,0.666,,29.562,5.958
2011-04-15,13.334,15.021,1.688,,44.062,5.333
2011-04-16,9.958,10.312,0.354,,66.25,6.292
2011-04-17,8.229,8.438,0.208,,55.834,8.583
2011-04-18,4.958,5.542,0.584,,33.688,5.458
2011-04-19,5.925,6.55,0.625,,15.452,3.381
2011-04-20,11.375,12.666,1.292,,19.646,4.875
2011-04-21,12.062,13.042,0.98,,28.229,7.083
2011-04-22,12.604,13.75,1.146,,30.75,10.625
2011-04-23,5.812,6.0,0.188,,27.104,3.917
2011-04-24,10.125,10.458,0.334,,32.958,3.75
2011-04-25,11.416,12.604,1.188,,34.542,5.792
2011-04-26,10.45,11.45,1.0,,27.381,5.905
2011-04-27,8.979,9.542,0.562,,31.292,5.292
2011-04-28,5.625,6.042,0.416,,22.916,3.958
2011-04-29,10.021,10.75,0.729,,22.417,5.167
2011-04-30,12.334,14.167,1.834,,39.125,5.208
2011-05-01,5.646,5.688,0.042,,65.312,4.583
2011-05-02,8.88,9.5,0.619,,189.786,4.524
2011-05-03,12.348,13.087,0.739,,191.334,4.208
2011-05-04,9.208,9.708,0.5,,90.625,5.333
2011-05-05,7.084,7.146,0.062,,43.792,5.333
2011-05-06,9.312,9.625,0.312,,17.833,4.292
2011-05-07,9.292,10.229,0.938,,16.042,5.417
2011-05-08,7.188,7.48,0.292,,28.833,5.667
2011-05-09,4.792,6.375,1.584,,22.292,5.292
2011-05-10,4.652,6.196,1.544,,16.271,4.542
2011-05-11,5.524,8.476,2.952,,18.048,2.857
2011-05-12,5.896,8.271,2.375,,18.972,2.792
2011-05-13,5.916,6.479,0.562,,47.625,4.708
2011-05-14,10.834,13.479,2.646,,41.312,6.208
2011-05-15,8.062,8.25,0.188,,39.188,5.5
2011-05-16,10.812,11.104,0.292,,50.5,6.25
2011-05-17,8.625,9.0,0.375,,43.596,4.286
2011-05-18,9.979,11.271,1.292,,34.75,5.667
2011-05-19,10.562,11.083,0.52,,38.312,6.042
2011-05-20,8.584,9.292,0.708,,22.521,5.917
2011-05-21,6.438,7.667,1.229,,19.584,6.167
2011-05-22,5.542,5.771,0.229,,15.188,3.167
2011-05-23,8.166,8.625,0.458,,16.084,5.167
2011-05-24,5.95,6.15,0.2,,5.833,4.048
2011-05-25,4.02,4.146,0.125,,11.479,3.083
2011-05-26,11.292,12.208,0.916,,15.666,3.042
2011-05-27,9.834,10.521,0.688,,37.0,3.958
2011-05-28,10.0,10.542,0.542,,30.896,3.0
2011-05-29,2.584,2.604,0.021,,8.084,3.042
2011-05-30,4.042,4.084,0.042,,24.021,3.5
2011-05-31,10.761,12.435,1.674,,26.562,5.333
2011-06-01,9.405,10.024,0.619,,32.619,5.714
2011-06-02,6.708,7.104,0.396,,32.5,3.958
2011-06-03,8.208,9.084,0.875,,42.166,4.917
2011-06-04,6.5,7.166,0.666,,38.688,7.375
2011-06-05,7.167,7.52,0.354,,30.834,3.75
2011-06-06,9.25,11.062,1.812,,38.333,6.458
2011-06-07,8.375,8.475,0.1,,20.166,3.476
2011-06-08,8.458,9.646,1.188,,18.146,3.583
2011-06-09,6.708,7.604,0.896,,40.958,3.667
2011-06-10,11.333,14.188,2.854,,26.0,2.917
2011-06-11,4.208,6.917,2.708,,15.958,2.083
2011-06-12,8.688,8.854,0.167,,13.229,2.25
2011-06-13,8.928,13.024,4.096,,23.834,3.095
2011-06-14,10.0,14.24,4.239,,44.148,4.292
2011-06-15,10.354,10.98,0.625,,34.438,3.25
2011-06-16,13.666,17.146,3.479,,10.562,2.958
2011-06-17,5.958,8.812,2.854,,16.312,2.958
2011-06-18,13.125,16.562,3.438,,11.416,2.25
2011-06-19,8.02,8.416,0.396,,11.0,2.0
2011-06-20,10.958,16.458,5.5,,12.438,2.417
2011-06-21,8.175,10.975,2.8,,7.976,2.048
2011-06-22,6.375,9.896,3.521,,15.688,2.333
2011-06-23,3.708,5.688,1.979,,23.542,2.667
2011-06-24,4.417,6.188,1.771,,20.438,3.292
2011-06-25,6.625,9.562,2.938,,18.646,2.708
2011-06-26,3.27,4.042,0.771,,19.917,2.333
2011-06-27,4.916,5.771,0.854,,18.625,2.0
2011-06-28,5.05,6.95,1.9,,24.095,3.238
2011-06-29,5.146,8.208,3.062,,24.542,3.958
2011-06-30,6.438,9.416,2.979,,22.458,3.208
2011-07-01,5.334,6.646,1.312,,18.875,2.208
2011-07-02,7.062,10.833,3.77,,28.5,2.833
2011-07-03,3.729,4.062,0.334,,38.521,1.958
2011-07-04,4.416,5.562,1.146,,25.604,2.542
2011-07-05,6.175,6.725,0.55,,28.642,3.048
2011-07-06,9.792,12.479,2.688,,13.292,2.708
2011-07-07,4.125,8.229,4.104,,16.458,2.375
2011-07-08,6.417,10.125,3.708,,20.375,3.083
2011-07-09,5.104,7.916,2.812,,20.25,2.833
2011-07-10,4.688,6.042,1.354,,15.166,2.167
2011-07-11,8.312,11.062,2.75,,13.042,2.708
2011-07-12,7.325,11.2,3.875,,13.81,2.476
2011-07-13,7.77,12.438,4.666,,10.833,2.25
2011-07-14,5.562,9.375,3.812,,16.166,2.833
2011-07-15,4.562,6.792,2.229,,17.23,3.167
2011-07-16,4.062,5.125,1.062,,18.458,2.542
2011-07-17,3.062,3.688,0.625,,13.208,2.042
2011-07-18,2.854,3.48,0.625,,5.834,2.25
2011-07-19,3.774,4.22,0.446,,13.64,2.0
2011-07-20,4.167,4.551,0.384,,17.682,2.0
2011-07-21,4.188,4.729,0.542,,11.375,2.542
2011-07-22,7.833,8.833,1.0,,27.458,3.625
2011-07-23,10.854,12.229,1.375,,42.916,4.333
2011-07-24,5.708,6.229,0.521,,39.0,4.292
2011-07-25,6.562,7.917,1.354,,42.438,3.667
2011-07-26,6.65,7.875,1.225,,17.119,2.571
2011-07-27,5.833,7.729,1.896,,15.896,4.542
2011-07-28,5.125,8.75,3.625,,21.792,3.75
2011-07-29,4.812,7.125,2.312,,21.292,3.208
2011-07-30,4.666,5.938,1.271,,18.938,2.333
2011-07-31,4.104,4.416,0.312,,19.979,2.042
2011-08-01,7.333,8.458,1.125,,26.958,2.625
2011-08-02,9.45,11.3,1.85,,33.857,2.905
2011-08-03,4.062,6.5,2.438,,11.312,2.5
2011-08-04,2.854,3.438,0.584,,9.666,2.167
2011-08-05,5.23,7.125,1.896,,14.979,2.375
2011-08-06,5.896,8.666,2.771,,9.854,1.917
2011-08-07,3.083,3.708,0.625,,10.333,2.0
2011-08-08,5.25,7.125,1.875,,23.354,2.75
2011-08-09,4.565,6.304,1.739,,27.208,2.875
2011-08-10,4.143,5.452,1.31,,20.904,4.286
2011-08-11,6.021,7.771,1.75,,19.166,2.542
2011-08-12,5.125,6.208,1.084,,19.146,2.25
2011-08-13,3.896,4.646,0.75,,15.521,1.833
2011-08-14,5.584,5.938,0.354,,11.0,1.958
2011-08-15,6.916,7.208,0.292,,15.02,1.958
2011-08-16,6.065,7.174,1.108,,22.354,2.0
2011-08-17,4.5,5.857,1.358,,25.358,1.905
2011-08-18,5.792,6.27,0.48,,28.271,2.167
2011-08-19,6.438,7.458,1.021,,26.146,2.292
2011-08-20,6.0,6.583,0.584,,47.708,2.042
2011-08-21,5.646,5.854,0.208,,41.062,2.0
2011-08-22,7.37,8.159,0.79,,40.827,2.111
2011-08-23,7.075,10.725,3.65,,17.738,2.5
2011-08-24,5.771,9.396,3.625,,27.25,3.417
2011-08-25,5.417,7.77,2.354,,22.125,2.417
2011-08-26,6.958,9.25,2.292,,13.084,2.0
2011-08-27,7.52,11.542,4.021,,21.208,2.083
2011-08-28,5.084,6.458,1.375,,18.334,2.0
2011-08-29,7.759,9.39,1.631,,23.956,3.048
2011-08-30,8.32,9.906,1.586,,31.11,2.833
2011-08-31,8.083,8.75,0.666,,38.083,4.125
2011-09-01,5.334,5.562,0.229,,30.02,2.25
2011-09-02,4.125,4.792,0.667,,14.895,2.0
2011-09-03,2.125,2.416,0.292,,10.521,1.75
2011-09-04,2.334,2.438,0.104,,12.208,2.0
2011-09-05,2.916,2.958,0.042,,14.52,2.292
2011-09-06,8.539,9.575,1.036,,16.099,3.762
2011-09-07,8.536,9.363,0.828,,19.91,4.583
2011-09-08,8.229,9.416,1.188,,30.0,3.875
2011-09-09,8.358,9.589,1.231,,26.763,2.545
2011-09-10,4.3,5.247,0.947,,17.247,
2011-09-11,5.104,6.854,1.75,,13.5,
2011-09-12,5.834,6.75,0.916,,15.708,
2011-09-13,7.675,9.3,1.625,,18.0,4.125
2011-09-14,6.792,7.875,1.083,,17.916,3.417
2011-09-15,4.646,5.416,0.771,,12.875,2.5
2011-09-16,7.75,12.062,4.312,,10.583,2.125
2011-09-17,6.562,11.562,5.0,,10.208,2.125
2011-09-18,5.166,6.416,1.25,,13.729,1.417
2011-09-19,3.792,4.062,0.271,,8.916,2.042
2011-09-20,6.15,6.825,0.675,,6.857,2.143
2011-09-21,2.792,2.854,0.062,,10.125,2.417
2011-09-22,7.396,8.666,1.271,,13.792,3.542
2011-09-23,7.708,8.729,1.021,,13.667,3.625
2011-09-24,8.02,8.396,0.375,,19.625,5.792
2011-09-25,7.375,7.646,0.271,,25.312,5.417
2011-09-26,8.646,9.334,0.688,,21.188,4.625
2011-09-27,7.65,8.058,0.3,,20.072,4.286
2011-09-28,9.958,10.5,0.542,,23.458,3.833
2011-09-29,7.438,8.146,0.708,,24.688,3.958
2011-09-30,8.479,9.208,0.729,,22.938,2.667
2011-10-01,7.604,8.125,0.521,,22.375,3.083
2011-10-02,5.771,5.958,0.188,,19.354,3.083
2011-10-03,5.688,5.979,0.292,,14.708,3.25
2011-10-04,10.6,12.7,2.1,,16.604,3.5
2011-10-05,8.093,8.501,0.408,,13.214,2.619
2011-10-06,7.416,9.833,2.416,,22.98,3.458
2011-10-07,9.334,9.771,0.438,,47.854,4.25
2011-10-08,9.083,10.167,1.083,,56.667,6.083
2011-10-09,7.146,7.75,0.604,,54.771,8.208
2011-10-10,7.68,8.236,0.556,,50.965,8.333
2011-10-11,13.217,16.0,2.782,,39.584,4.375
2011-10-12,13.714,17.048,3.333,,37.358,4.762
2011-10-13,11.958,13.458,1.5,,46.208,5.0
2011-10-14,14.02,22.354,8.334,,34.146,2.833
2011-10-15,11.042,13.25,2.208,,16.75,3.0
2011-10-16,8.0,8.938,0.938,,33.438,3.708
2011-10-17,10.458,12.208,1.75,,31.646,3.917
2011-10-18,7.925,9.375,1.45,,21.786,3.619
2011-10-19,10.604,12.708,2.104,,24.896,7.542
2011-10-20,9.916,13.104,3.188,,24.52,4.833
2011-10-21,12.584,16.062,3.48,,12.98,3.417
2011-10-22,8.271,10.979,2.708,,10.521,2.75
2011-10-23,5.334,6.188,0.854,,11.688,2.667
2011-10-24,9.75,13.021,3.27,,20.584,4.667
2011-10-25,6.575,7.475,0.9,,19.905,3.667
2011-10-26,8.0,9.166,1.167,,13.166,3.875
2011-10-27,14.146,17.229,3.084,,21.02,5.5
2011-10-28,19.0,23.916,4.916,,33.146,3.792
2011-10-29,12.062,21.396,9.334,,29.0,3.292
2011-10-30,10.396,11.896,1.5,,12.584,2.917
2011-10-31,6.584,8.27,1.688,,11.354,3.083
2011-11-01,14.125,20.05,5.925,,17.5,3.571
2011-11-02,18.354,23.771,5.416,,24.334,3.792
2011-11-03,13.625,17.77,4.146,,24.458,4.25
2011-11-04,19.5,31.271,11.771,,28.958,4.125
2011-11-05,14.5,20.458,5.958,,17.75,3.0
2011-11-06,9.312,13.146,3.834,,12.438,2.375
2011-11-07,7.5,10.77,3.27,,14.125,2.708
2011-11-08,11.4,15.325,3.925,,18.024,4.19
2011-11-09,8.25,9.021,0.77,,13.166,5.208
2011-11-10,8.562,9.688,1.125,,14.125,4.667
