date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,16.042,29.917,13.875,,,192.25,15.792,208.042
2011-01-02,9.729,13.207999999999998,3.479,,,190.125,7.958,198.083
2011-01-03,12.2915,16.375,4.0835,,,191.0,12.875,203.875
2011-01-04,12.6085,18.869500000000002,6.261,,,191.542,6.75,198.292
2011-01-05,22.5625,40.3955,17.8335,,,189.652,15.304,204.957
2011-01-06,31.0205,84.0205,53.0,,,190.417,19.208,209.625
2011-01-07,23.4165,53.0,29.583,,,190.625,18.292,208.917
2011-01-08,20.1875,47.6665,27.479,,,191.458,23.542,215.0
2011-01-09,23.417,47.0835,23.6665,,,194.0,20.375,214.375
2011-01-10,28.2805,67.826,39.545500000000004,,,194.238,19.714,213.952
2011-01-11,17.935,36.674,18.7395,,,190.583,9.0,199.583
2011-01-12,30.5625,80.0625,49.5,,,192.292,20.042,212.333
2011-01-13,22.104,55.125,33.021,,,191.458,14.208,205.667
2011-01-14,19.479,32.8335,13.354,,,192.333,9.75,202.083
2011-01-15,23.021,40.2705,17.25,,,190.826,13.783,204.609
2011-01-16,24.271,46.083,21.8125,,,190.833,31.583,222.417
2011-01-17,32.1875,105.5,73.3125,,,189.792,35.583,225.375
2011-01-18,29.4345,85.978,56.5435,,,190.833,27.625,218.458
2011-01-19,26.396,50.625,24.2295,,,189.667,34.5,224.167
2011-01-20,21.521,42.2085,20.6875,,,187.652,19.174,206.826
2011-01-21,24.25,49.3335,25.0835,,,187.667,28.208,215.875
2011-01-22,16.4585,29.3125,12.854,,,188.458,12.375,200.833
2011-01-23,15.418,29.583000000000002,14.1645,,,189.478,8.609,198.087
2011-01-24,15.8125,33.0,17.1875,,,188.792,5.833,194.625
2011-01-25,21.326,46.239000000000004,24.9135,,,190.833,9.167,200.0
2011-01-26,20.2705,38.8335,18.5625,,,190.833,7.5,198.333
2011-01-27,28.0,51.021,23.021,,,191.833,12.0,203.833
2011-01-28,22.6875,42.604,19.9165,,,191.522,12.174,203.696
2011-01-29,21.75,46.2085,24.4585,,,190.875,15.875,206.75
2011-01-30,24.292,58.5205,34.2295,,,190.833,16.167,207.0
2011-01-31,30.1045,74.25,44.1455,,,190.375,16.583,206.958
2011-02-01,19.826,46.8915,27.0655,,,190.833,13.292,204.125
2011-02-02,15.521,28.958,13.4375,,,189.826,5.739,195.565
2011-02-03,20.396,39.3125,18.9165,,,188.944,7.778,196.722
2011-02-04,19.4585,32.771,13.3125,,,,,
2011-02-05,22.771,41.7915,19.0205,,,,,
2011-02-06,23.9775,40.682,16.7045,,,184.083,26.667,210.75
2011-02-07,19.8125,38.396,18.5835,,,183.333,10.125,193.458
2011-02-08,12.6305,25.4785,12.847999999999999,,,181.542,5.083,186.625
2011-02-09,17.604,33.5415,15.9375,,,181.583,6.167,187.75
2011-02-10,25.8125,58.375,32.5625,,,181.583,12.458,194.042
2011-02-11,20.0625,42.1875,22.125,,,189.304,17.217,206.522
2011-02-12,22.271,35.271,13.0,,,190.333,14.417,204.75
2011-02-13,24.6045,47.2085,22.604,,,190.25,27.125,217.375
2011-02-14,29.627000000000002,75.9665,46.3395,,,190.375,28.958,219.333
2011-02-15,22.3045,49.6305,27.326,,,190.25,21.042,211.292
2011-02-16,26.9585,58.3125,31.354,,,189.522,13.913,203.435
2011-02-17,19.8335,37.4375,17.604,,,189.625,7.458,197.083
2011-02-18,18.1665,34.1665,16.0,,,191.458,12.0,203.458
2011-02-19,20.3545,38.625,18.2705,,,191.958,14.5,206.458
2011-02-20,31.8235,78.565,46.742000000000004,,,191.083,26.542,217.625
2011-02-21,36.4185,92.949,56.53,,,192.19,34.143,226.333
2011-02-22,26.804,39.087,12.282499999999999,,,190.917,27.583,218.5
2011-02-23,25.7915,53.6875,27.896,,,191.417,15.917,207.333
2011-02-24,27.2915,46.521,19.2295,,,192.0,17.375,209.375
2011-02-25,24.9165,41.771,16.8545,,,191.042,14.125,205.167
2011-02-26,12.1665,18.75,6.5835,,,190.0,21.13,211.13
2011-02-27,19.854,44.8335,24.979,,,191.625,23.667,215.292
2011-02-28,20.521,31.354,10.8335,,,191.167,24.292,215.458
2011-03-01,24.896,47.396,22.5,,,189.917,28.417,218.333
2011-03-02,25.521,49.1875,23.6665,,,190.652,16.043,206.696
2011-03-03,17.9585,28.4585,10.5,,,190.333,23.25,213.583
2011-03-04,14.395499999999998,19.6665,5.271,,,191.208,36.708,227.917
2011-03-05,28.8915,64.89150000000001,36.0,,,192.227,34.5,226.727
2011-03-06,24.979,62.0625,37.0835,,,193.417,19.375,212.792
2011-03-07,29.848,56.10849999999999,26.2605,,,195.125,22.958,218.083
2011-03-08,32.3545,71.3125,38.9585,,,196.875,27.708,224.583
2011-03-09,26.8545,45.646,18.7915,,,193.083,21.25,214.333
2011-03-10,20.75,51.7085,30.9585,,,191.87,23.261,215.13
