date,SO2_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,1.47,5.281,5.886,0.604,,,9.5,6.833,4.0
2011-01-02,2.286,3.604,3.885,0.281,,,7.2,4.762,3.0
2011-01-03,2.923,4.677,5.208,0.531,,,6.2,4.333,2.3
2011-01-04,4.244,4.32,4.782,0.462,,,4.9,3.221,2.2
2011-01-05,2.024,5.802,6.438,0.636,,,4.5,3.062,1.3
2011-01-06,2.241,8.604,9.76,1.156,,,5.7,4.271,2.3
2011-01-07,1.298,6.594,7.438,0.844,,,5.0,3.408,1.6
2011-01-08,0.964,5.812,6.583,0.771,,,5.4,3.371,0.9
2011-01-09,2.756,8.625,9.802,1.177,,,7.4,5.896,4.7
2011-01-10,2.518,11.718,14.406,2.688,,,8.3,5.529,3.7
2011-01-11,2.545,5.812,6.526,0.714,,,6.3,4.617,0.6
2011-01-12,1.351,7.708,8.865,1.156,,,3.6,1.488,-1.2
2011-01-13,3.256,8.542,10.156,1.614,,,5.6,4.608,3.6
2011-01-14,5.982,7.833,8.802,0.969,,,6.3,5.321,4.2
2011-01-15,1.857,7.854,8.667,0.812,,,5.9,4.55,3.3
2011-01-16,1.464,9.271,10.104,0.834,,,3.6,2.8,0.3
2011-01-17,0.961,8.557,10.526,1.969,,,6.2,2.721,-0.2
2011-01-18,1.824,13.567,16.879,3.312,,,7.8,5.45,2.0
2011-01-19,0.964,14.229,17.823,3.594,,,8.7,5.842,3.6
2011-01-20,0.941,11.969,13.458,1.49,,,6.4,4.838,3.0
2011-01-21,0.78,9.927,11.281,1.354,,,7.0,5.421,4.7
2011-01-22,1.066,7.084,8.073,0.99,,,7.9,5.642,3.6
2011-01-23,1.506,4.521,5.25,0.729,,,6.6,4.958,1.5
2011-01-24,1.852,4.423,5.054,0.631,,,2.7,1.3,0.3
2011-01-25,2.592,5.298,6.062,0.765,,,2.3,0.704,-1.1
2011-01-26,1.905,4.25,4.979,0.729,,,2.4,0.775,-0.7
2011-01-27,4.089,7.323,8.302,0.979,,,5.3,2.846,0.5
2011-01-28,3.405,8.552,9.302,0.75,,,4.6,3.288,1.0
2011-01-29,1.53,6.136,6.844,0.708,,,4.3,1.471,-0.6
2011-01-30,1.554,7.531,9.104,1.573,,,3.7,1.942,-0.3
2011-01-31,1.976,6.062,6.958,0.896,,,3.5,1.942,0.6
2011-02-01,3.473,5.974,6.469,0.495,,,7.0,3.212,-0.3
2011-02-02,1.911,3.865,4.396,0.531,,,0.0,-1.008,-2.6
2011-02-03,2.149,7.24,8.24,1.0,,,1.3,-0.346,-2.8
2011-02-04,3.667,7.208,8.323,1.115,,,4.1,2.767,0.9
2011-02-05,3.673,8.125,8.875,0.75,,,6.5,3.771,1.7
2011-02-06,2.143,18.604,23.792,5.188,,,8.2,6.154,2.9
2011-02-07,2.024,15.021,19.604,4.583,,,12.1,6.788,3.3
2011-02-08,1.698,4.204,5.032,0.828,,,3.1,0.738,-1.9
2011-02-09,2.619,7.344,8.427,1.083,,,1.9,-0.021,-1.9
2011-02-10,2.417,7.875,9.166,1.292,,,3.5,1.721,-0.6
2011-02-11,2.304,6.646,7.521,0.875,,,4.0,2.379,-0.2
2011-02-12,1.702,5.677,6.344,0.667,,,4.7,2.429,0.5
2011-02-13,1.03,15.312,17.729,2.416,,,6.2,3.6,2.0
2011-02-14,0.842,18.219,21.722,3.504,,,5.7,4.354,3.6
2011-02-15,1.339,11.922,13.487,1.565,,,5.2,3.533,0.6
2011-02-16,1.75,8.073,9.25,1.177,,,5.2,2.062,-0.6
2011-02-17,2.131,5.052,5.99,0.938,,,3.3,1.721,-0.3
2011-02-18,1.273,4.969,5.698,0.729,,,1.8,-0.467,-1.9
