date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,203.667,89.0,69.375,50.0,17.75,16.667,21.024,4.357,,2.222,22.048,9.5,5.3,0.8,221.417,6.542
2011-01-02,192.042,93.0,60.417,32.0,13.708,11.964,15.06,3.095,,1.278,15.548,10.5,6.321,3.7,205.75,5.25
2011-01-03,189.652,50.0,33.25,22.0,6.522,7.427,9.044,1.617,,1.23,3.089,10.3,6.917,4.0,196.174,3.292
2011-01-04,192.833,79.0,50.625,32.0,13.542,13.651,18.263,4.612,,2.666,8.429,10.7,5.138,-1.5,206.375,5.174
2011-01-05,189.792,44.0,29.875,18.0,7.708,12.968,17.058,4.09,,1.868,3.589,9.3,6.208,3.5,197.5,3.833
2011-01-06,194.417,83.0,44.625,29.0,13.375,18.653,26.858,8.206,,1.574,10.53,9.5,5.108,-0.1,207.792,4.417
2011-01-07,191.25,66.0,38.25,22.0,8.625,13.441,17.887,4.446,,1.306,4.994,9.3,5.658,2.9,199.875,3.708
2011-01-08,194.083,69.0,39.5,23.0,9.625,10.131,12.845,2.714,,1.167,5.946,9.3,5.217,1.0,203.708,4.208
2011-01-09,200.917,90.0,63.292,42.0,23.125,20.911,31.601,10.691,,2.236,21.316,9.9,4.571,0.5,224.042,6.167
2011-01-10,197.609,92.0,69.708,28.0,21.609,21.655,36.96,15.304,,2.426,22.332,11.4,4.979,-0.8,219.217,6.042
2011-01-11,189.917,90.0,66.833,33.0,13.208,16.871,28.622,11.751,,1.627,12.092,10.4,5.367,1.7,203.125,4.913
2011-01-12,191.708,69.0,39.833,27.0,10.375,16.011,22.843,6.832,,1.096,7.97,6.0,3.129,0.1,202.083,4.042
2011-01-13,196.25,81.0,60.583,40.0,23.125,22.396,39.345,16.949,,2.053,17.851,10.6,4.321,-1.2,219.375,6.25
2011-01-14,193.375,74.0,46.625,29.0,13.5,15.804,23.268,7.464,,1.486,10.22,7.8,3.842,-1.2,206.875,5.833
2011-01-15,197.958,78.0,48.958,33.0,15.125,15.101,20.28,5.179,,2.625,15.607,6.7,3.35,-1.8,213.083,6.542
2011-01-16,190.958,53.0,47.292,38.0,10.0,17.327,22.797,5.47,,2.569,12.679,5.1,3.829,1.8,200.958,5.292
2011-01-17,189.783,83.0,50.917,33.0,8.13,15.648,20.674,5.026,,2.701,9.31,7.4,4.062,-1.6,197.913,5.333
2011-01-18,198.833,87.0,67.458,43.0,19.833,23.9,39.075,15.175,,2.319,19.827,8.6,3.262,-3.3,218.667,6.261
2011-01-19,194.917,88.0,64.875,47.0,16.542,18.557,31.389,12.832,,2.398,22.53,10.6,5.908,1.0,211.458,5.125
2011-01-20,187.625,95.0,88.75,63.0,6.0,12.358,15.37,3.012,,1.126,15.994,6.2,3.712,2.9,193.625,3.417
2011-01-21,187.5,97.0,89.125,80.0,6.208,13.536,16.804,3.268,,0.667,8.673,4.1,3.775,3.4,193.708,3.208
2011-01-22,188.208,99.0,96.5,88.0,9.833,11.816,14.816,3.0,,0.806,9.994,7.3,5.1,2.4,198.042,4.0
2011-01-23,196.375,100.0,89.542,65.0,16.875,18.199,34.098,15.899,,1.347,15.604,8.9,4.704,1.1,213.25,5.458
