date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean
2011-01-01,4.667,65.0,51.125,34.0,15.013666666666666,20.222333333333335,5.208333333333333,,1.0415,15.555666666666667,78.0,24.417,-13.0,194.565,14.565,209.13
2011-01-02,3.333,74.0,53.417,35.0,9.903,13.569666666666668,3.6666666666666665,,0.521,12.916666666666666,105.0,33.25,-19.0,194.043,9.565,203.609
2011-01-03,2.688,49.0,37.292,24.0,5.458333333333333,6.958333333333333,1.5,,0.1875,4.639,92.0,48.833,24.0,188.043,4.348,192.391
2011-01-04,3.625,67.0,49.333,31.0,11.791666666666666,16.638666666666666,4.847,,0.9585,10.208333333333334,90.0,29.542,-18.0,190.87,7.261,198.13
2011-01-05,3.189,53.0,41.542,22.0,15.424,24.166666666666668,8.742333333333333,,0.8045,6.5073333333333325,74.0,28.542,-7.0,191.727,7.955,199.682
2011-01-06,3.699,53.0,38.333,19.0,19.180666666666667,30.319333333333333,11.139000000000001,,1.0835,11.014000000000001,98.0,45.417,-5.0,192.043,16.304,208.348
2011-01-07,2.708,54.0,40.333,25.0,12.058333333333332,19.155666666666665,7.097,,0.521,5.402666666666666,81.0,39.958,9.0,191.217,9.043,200.261
2011-01-08,3.0,55.0,40.75,26.0,9.888666666666667,12.889000000000001,2.9996666666666667,,0.646,5.4863333333333335,81.0,34.0,-15.0,192.0,8.522,200.522
2011-01-09,5.229,65.0,49.75,30.0,23.083333333333332,44.77766666666667,21.694666666666667,,1.125,23.846999999999998,81.0,26.917,-21.0,196.87,22.391,219.261
2011-01-10,5.029999999999999,73.0,49.833,29.0,27.930666666666667,57.5,29.569666666666667,,1.542,20.680333333333333,96.0,42.458,-17.0,195.304,23.435,218.739
2011-01-11,3.5835,67.0,46.833,26.0,19.694666666666667,46.472,26.778000000000002,,1.1875,17.721999999999998,96.0,32.208,-5.0,193.174,18.826,212.0
2011-01-12,3.1665,50.0,35.25,24.0,20.548666666666666,36.74033333333333,16.192,,0.7044999999999999,4.866666666666666,62.0,16.583,-19.0,190.609,17.652,208.261
2011-01-13,3.617,56.0,38.958,24.0,21.757666666666665,34.89366666666667,13.136333333333333,,1.1395,9.966,109.0,38.25,-36.0,190.238,12.667,202.905
2011-01-14,3.5235,51.0,38.292,24.0,13.305333333333335,19.842000000000002,6.536666666666666,,1.0625,9.403,70.0,32.625,3.0,193.826,9.87,203.696
2011-01-15,3.792,58.0,43.917,32.0,12.125,16.403000000000002,4.278,,0.9375,13.749666666666668,70.0,35.417,-6.0,194.609,10.13,204.739
2011-01-16,4.4585,51.0,41.458,35.0,24.096999999999998,48.90266666666667,24.805666666666667,,0.9585,22.375,49.0,32.583,21.0,193.522,19.696,213.217
2011-01-17,4.8025,57.0,43.792,30.0,29.875,57.56966666666667,27.694333333333333,,1.3955,21.013666666666666,75.0,33.958,2.0,195.522,25.435,220.957
2011-01-18,5.208,62.0,49.417,32.0,32.93066666666667,71.139,38.208666666666666,,1.6875,27.444333333333333,75.0,22.292,-31.0,195.565,31.696,227.261
2011-01-19,3.854,80.0,54.208,35.0,24.029,48.038000000000004,24.009,,1.4275,24.041666666666668,96.0,44.667,-14.0,192.435,19.13,211.565
2011-01-20,4.692,90.0,87.667,84.0,30.805666666666667,60.44433333333333,29.638666666666666,,0.589,26.014,24.0,15.417,4.0,192.826,22.174,215.0
2011-01-21,3.6665,91.0,86.833,83.0,22.123666666666665,38.86866666666666,16.744666666666667,,0.1875,15.958333333333334,39.0,28.5,18.0,191.043,15.348,206.391
2011-01-22,5.0835,91.0,83.875,72.0,17.208,32.208,15.0,,0.333,17.166666666666668,79.0,47.667,21.0,198.043,25.13,223.174
2011-01-23,5.1245,90.0,77.375,53.0,20.22733333333333,54.742333333333335,34.515,,0.598,14.138,87.0,40.542,9.0,196.667,22.143,218.81
2011-01-24,3.365,76.0,51.583,30.0,16.180666666666667,24.764,8.583,,0.6665,11.875,54.0,20.5,-11.0,192.0,12.522,204.522
2011-01-25,4.1875,77.0,52.458,23.0,23.416666666666668,42.916666666666664,19.5,,1.021,16.555666666666667,78.0,25.083,-23.0,192.652,19.652,212.304
2011-01-26,4.146,78.0,46.292,29.0,21.998666666666665,41.15566666666667,19.157,,1.0859999999999999,10.278,47.0,11.792,-22.0,194.522,16.304,210.826
2011-01-27,5.098,69.0,51.417,30.0,26.888666666666666,53.94433333333333,27.055333333333333,,1.508,17.639,64.0,5.375,-50.0,197.174,25.13,222.304
2011-01-28,4.0205,72.0,46.292,25.0,17.611666666666668,32.614666666666665,15.002666666666665,,1.292,13.097333333333333,49.0,5.125,-31.0,194.87,15.391,210.261
2011-01-29,2.9375,56.0,42.292,25.0,8.347,11.458666666666668,3.111,,0.875,7.111,50.0,5.667,-22.0,190.957,7.13,198.087
2011-01-30,4.25,58.0,40.417,21.0,21.458333333333332,39.388666666666666,17.930666666666667,,1.083,8.305333333333333,54.0,8.208,-31.0,192.652,14.217,206.87
2011-01-31,3.688,60.0,41.375,17.0,21.625,38.166666666666664,16.541666666666668,,1.375,11.110999999999999,87.0,18.583,-35.0,192.739,13.522,206.261
2011-02-01,3.8955,64.0,48.042,32.0,21.638666666666666,39.416666666666664,17.777666666666665,,1.4585,12.472333333333333,84.0,12.708,-42.0,193.826,14.87,208.696
2011-02-02,3.261,49.0,34.583,15.0,14.158666666666667,24.451999999999998,10.293333333333333,,1.1395,8.940666666666667,41.0,5.75,-19.0,192.524,6.095,198.619
2011-02-03,4.318,50.0,33.417,14.0,22.903000000000002,37.68066666666667,14.777666666666667,,1.4889999999999999,11.958333333333334,61.0,10.833,-44.0,193.913,15.391,209.304
2011-02-04,3.6875,51.0,36.167,17.0,18.300333333333334,26.427666666666667,8.127666666666666,,1.4585,14.139000000000001,106.0,32.167,-35.0,191.478,10.957,202.435
2011-02-05,4.2085,64.0,46.875,30.0,13.847333333333333,18.583333333333332,4.736,,1.771,19.305666666666667,84.0,43.042,1.0,193.043,10.957,204.0
2011-02-06,6.269,77.0,66.708,49.0,32.02766666666667,61.791666666666664,29.763666666666666,,1.875,46.50033333333334,61.0,30.25,-15.0,196.217,25.13,221.348
2011-02-07,6.6385000000000005,89.0,80.042,59.0,28.406333333333333,65.40633333333334,37.0,,1.125,34.639,108.0,69.542,39.0,197.261,31.478,228.739
2011-02-08,3.0,61.0,35.5,22.0,13.235999999999999,22.638666666666666,9.402666666666667,,0.8335,5.861,87.0,52.875,-1.0,190.435,6.565,197.0
2011-02-09,3.3335,55.0,36.417,21.0,18.174,31.40166666666667,13.228,,1.002,6.750333333333333,73.0,27.083,-11.0,189.739,10.609,200.348
