date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,PM25_mean,THC_mean
2011-01-01,16.792,20.875,4.084,2.979,11.062,200.833,4.261,16.667,14.826,217.5
2011-01-02,7.834,10.208,2.375,3.354,10.688,195.739,4.458,10.696,12.833,206.435
2011-01-03,12.334,15.834,3.5,4.416,11.458,194.833,4.958,9.417,17.0,204.25
2011-01-04,12.208,16.75,4.542,6.604,22.854,196.583,5.083,8.958,23.708,205.542
2011-01-05,23.958,36.062,12.104,2.708,9.521,196.364,5.333,19.909,12.875,216.273
2011-01-06,32.979,63.625,30.646,3.416,11.729,201.0,5.667,26.125,14.958,227.125
2011-01-07,14.042,21.916,7.875,2.166,7.23,194.261,4.391,17.957,8.875,212.217
2011-01-08,16.438,21.312,4.875,2.354,6.562,197.739,4.087,15.826,8.417,213.565
2011-01-09,23.23,35.0,11.771,4.125,18.0,203.348,6.0,24.304,20.542,227.652
2011-01-10,36.987,73.316,36.329,6.106,32.699,207.455,7.957,34.773,33.333,242.227
2011-01-11,20.521,34.0,13.48,5.25,24.521,194.333,5.208,18.292,23.417,212.625
2011-01-12,29.034,54.928,25.894,3.254,6.666,198.542,5.25,24.917,13.391,223.458
2011-01-13,28.666,59.416,30.75,4.834,17.042,197.391,6.125,28.783,19.875,226.174
2011-01-14,23.729,37.396,13.667,6.416,31.396,197.955,7.125,24.591,37.167,222.545
2011-01-15,16.875,22.792,5.916,3.125,12.916,196.75,4.826,21.333,15.667,218.083
2011-01-16,14.229,20.271,6.042,2.292,9.688,194.391,3.792,18.522,12.167,212.913
2011-01-17,26.146,43.979,17.834,2.912,13.858,196.917,4.708,26.833,13.792,223.75
2011-01-18,35.716,57.814,22.098,2.903,13.75,199.739,6.043,42.609,18.5,242.348
2011-01-19,32.542,48.375,15.834,2.354,11.438,195.087,5.167,32.087,15.958,227.174
2011-01-20,22.454,30.062,7.608,1.604,7.333,191.833,4.458,25.75,8.571,217.583
2011-01-21,23.23,29.958,6.729,1.583,14.042,192.19,4.458,34.286,12.875,226.476
2011-01-22,24.584,35.271,10.688,2.875,9.812,199.217,5.174,24.435,12.625,223.652
2011-01-23,18.771,32.021,13.25,2.771,5.708,193.167,4.667,15.333,6.583,208.5
2011-01-24,19.434,32.266,12.834,3.021,9.229,193.875,4.542,14.583,9.875,208.458
2011-01-25,21.938,35.842,13.905,4.396,11.125,196.13,5.417,15.565,19.5,211.696
2011-01-26,21.896,38.812,16.916,2.958,4.646,195.739,4.667,17.391,11.958,213.13
2011-01-27,27.916,47.479,19.562,6.084,23.396,198.783,5.917,16.478,28.455,215.261
2011-01-28,23.27,33.042,9.771,5.208,16.896,197.13,6.125,20.043,23.833,217.174
2011-01-29,11.562,14.792,3.229,2.208,5.604,195.208,4.826,17.5,9.083,212.708
2011-01-30,27.021,47.188,20.167,2.833,6.312,197.696,5.375,24.87,12.913,222.565
2011-01-31,32.0,55.917,23.916,3.66,10.396,197.458,5.333,27.625,13.609,225.083
2011-02-01,25.146,50.438,25.292,4.729,19.125,198.167,6.0,24.625,20.917,222.792
2011-02-02,15.88,25.564,9.685,2.848,5.827,193.522,4.957,12.565,9.542,206.087
2011-02-03,25.458,45.042,19.584,3.521,9.292,199.625,5.958,21.083,15.333,220.708
2011-02-04,19.625,30.812,11.188,6.23,17.854,196.958,6.75,12.5,21.958,209.458
2011-02-05,21.458,28.375,6.917,7.084,35.271,201.435,6.0,21.087,36.458,222.522
2011-02-06,30.583,44.417,13.833,3.75,37.958,197.304,6.5,34.043,31.417,231.348
2011-02-07,32.042,57.666,25.625,2.688,20.333,195.208,6.542,25.375,16.875,220.583
2011-02-08,18.625,32.958,14.334,3.458,11.584,193.292,4.667,11.958,8.273,205.25
2011-02-09,21.938,37.854,15.916,3.75,10.02,193.87,5.042,14.435,14.042,208.304
2011-02-10,26.146,45.729,19.584,3.958,13.312,196.042,5.292,19.083,17.125,215.125
2011-02-11,16.062,22.667,6.604,3.188,9.021,193.696,4.75,14.304,12.542,208.0
2011-02-12,13.854,18.125,4.271,3.312,9.166,195.174,4.435,12.652,14.783,207.826
2011-02-13,29.594,39.829,10.234,2.191,17.376,196.087,5.417,26.0,19.773,222.087
2011-02-14,34.875,65.958,31.084,1.792,25.771,199.0,6.75,38.167,20.042,237.167
2011-02-15,30.424,73.106,42.682,2.494,26.644,201.13,6.609,38.565,23.167,239.696
2011-02-16,30.979,53.084,22.104,3.292,14.792,196.087,5.625,21.957,15.458,218.043
2011-02-17,22.688,40.25,17.562,3.73,9.25,193.25,5.0,15.0,15.125,208.25
2011-02-18,14.312,22.334,8.021,2.258,5.688,193.957,4.333,16.609,9.333,210.565
2011-02-19,17.896,24.146,6.25,3.02,8.021,200.0,4.783,18.0,15.304,218.0
2011-02-20,36.812,71.875,35.062,3.812,9.125,205.348,6.708,27.739,17.458,233.087
2011-02-21,49.788,124.095,74.307,7.646,36.354,209.0,9.75,48.048,37.125,257.048
2011-02-22,27.125,35.104,7.98,3.604,27.167,194.417,5.5,24.625,25.042,219.042
2011-02-23,25.335,47.862,22.526,2.354,19.146,194.542,5.917,25.417,15.583,219.958
2011-02-24,16.812,21.812,5.0,4.521,24.916,194.304,4.958,40.304,29.25,234.609
2011-02-25,28.666,45.375,16.708,2.98,29.021,198.25,5.958,24.25,27.042,222.5
2011-02-26,9.625,12.292,2.666,2.125,9.416,193.667,4.087,11.667,10.458,205.333
2011-02-27,14.729,20.52,5.792,2.271,7.146,194.0,3.667,17.478,12.417,211.478
2011-02-28,22.438,30.144,7.706,2.956,7.816,195.13,4.261,19.348,11.7,214.478
2011-03-01,44.375,81.5,37.125,4.812,28.146,202.375,7.083,42.083,24.292,244.458
2011-03-02,32.896,69.458,36.562,3.167,23.875,198.227,5.75,30.591,20.5,228.818
2011-03-03,12.312,15.646,3.334,3.396,13.292,193.083,4.042,16.833,17.609,209.917
2011-03-04,12.542,15.333,2.792,2.334,15.666,195.333,4.087,18.75,16.833,214.083
2011-03-05,27.896,50.875,22.979,2.021,16.312,197.048,5.5,33.524,2.25,230.571
2011-03-06,37.375,85.521,48.146,4.792,25.416,203.625,7.375,31.5,20.0,235.125
2011-03-07,20.125,27.125,7.0,5.084,31.938,198.522,6.417,20.217,31.458,218.739
2011-03-08,24.479,36.042,11.562,5.416,30.208,196.739,6.667,26.174,31.458,222.913
2011-03-09,24.938,33.542,8.604,3.0,19.875,196.625,5.833,26.792,22.417,223.417
2011-03-10,13.584,17.542,3.958,2.688,11.438,193.5,4.292,17.875,14.783,211.375
2011-03-11,13.062,16.792,3.729,4.0,12.084,194.87,4.609,13.174,18.083,208.043
2011-03-12,17.559,27.576,10.017,3.006,11.534,194.957,5.091,16.957,14.174,211.913
2011-03-13,21.0,33.812,12.812,3.042,7.77,195.391,4.417,16.435,14.875,211.826
2011-03-14,35.416,54.812,19.396,5.188,12.438,201.542,5.042,19.25,16.478,220.792
2011-03-15,25.958,40.354,14.395,4.458,19.354,195.727,5.5,24.727,21.167,220.455
2011-03-16,36.448,53.089,16.642,4.381,10.782,199.5,5.917,33.167,17.708,232.667
2011-03-17,36.521,58.52,22.0,2.604,24.188,200.304,6.958,41.217,17.917,241.522
2011-03-18,34.438,59.625,25.188,4.562,44.875,207.087,7.87,28.609,31.958,235.696
2011-03-19,14.474,19.816,5.342,3.271,5.708,194.792,4.083,17.333,6.958,212.125
2011-03-20,21.646,27.875,6.229,4.354,11.438,197.13,4.375,16.652,15.708,213.783
2011-03-21,26.087,38.748,12.661,4.203,15.644,194.818,4.217,16.409,16.0,211.227
2011-03-22,45.396,79.25,33.854,8.583,28.438,202.0,6.708,33.292,26.125,235.292
2011-03-23,26.062,34.062,8.0,2.458,20.0,192.208,4.667,23.833,13.583,216.042
2011-03-24,20.416,27.667,7.25,4.666,20.458,196.522,5.708,13.0,16.792,209.522
2011-03-25,11.062,14.312,3.25,4.292,16.792,198.542,4.739,11.0,17.125,209.542
2011-03-26,26.8,40.142,13.342,3.75,14.438,200.143,5.333,22.143,15.348,222.286
2011-03-27,39.198,58.864,19.666,5.978,25.276,202.174,5.773,21.304,24.25,223.478
2011-03-28,35.354,64.0,28.646,6.416,39.166,203.609,6.417,31.261,33.75,234.87
2011-03-29,35.583,51.416,15.834,5.917,20.938,198.87,5.458,25.261,22.167,224.13
2011-03-30,35.792,62.938,27.146,6.396,21.208,201.375,5.583,29.333,20.292,230.708
2011-03-31,22.458,30.458,8.0,3.812,20.334,193.739,4.667,16.696,12.083,210.435
2011-04-01,41.708,53.98,12.271,7.166,26.125,195.522,5.625,26.391,29.733,221.913
2011-04-02,39.086,56.948,17.862,8.417,38.25,200.292,6.0,27.208,52.0,227.5
2011-04-03,5.875,6.917,1.042,2.688,9.729,192.083,3.391,10.417,9.955,202.5
2011-04-04,13.856,19.572,5.716,2.875,7.146,192.864,3.542,13.455,11.143,206.318
2011-04-05,28.708,39.542,10.833,4.25,18.229,195.167,4.625,22.458,22.25,217.625
2011-04-06,40.98,56.583,15.605,6.208,14.438,196.375,4.875,26.208,22.045,222.583
2011-04-07,43.021,65.042,22.021,6.666,22.208,198.217,5.333,33.783,22.059,232.0
2011-04-08,43.188,73.208,30.021,4.0,18.208,197.522,5.333,29.087,18.708,226.609
2011-04-09,21.916,36.375,14.458,3.125,18.834,191.75,4.75,21.125,20.667,212.875
2011-04-10,25.167,29.083,3.917,6.188,29.542,198.522,5.304,19.739,31.955,218.261
