date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min,CO_mean
2011-01-01,185.218,12.37,13.649,17.245,3.596,,4.125,27.347,197.587,78.0,63.125,46.5,10.1,7.075,3.75,6.083
2011-01-02,180.891,5.044,5.644,6.981,1.336,,1.982,14.57,185.935,74.5,53.146,39.0,8.6,5.077,2.05,3.75
2011-01-03,184.304,8.87,9.683,12.018,2.334,,5.967,31.729,193.174,67.0,54.0,39.0,10.0,5.86,3.0,5.208
2011-01-04,181.298,5.937,8.009,10.071,2.062,,4.497,25.363,187.235,72.0,58.269,48.0,5.8,4.222,2.55,4.458
2011-01-05,181.348,12.456,13.59,17.941,4.351,,2.131,22.05,193.804,85.0,63.208,36.0,8.0,3.4,-0.1,5.087
2011-01-06,183.13,16.891,20.378,32.229,11.851,,3.169,19.2,200.022,77.0,60.125,41.0,9.2,3.55,-1.3,6.667
2011-01-07,181.652,8.0,9.368,11.878,2.511,,0.834,8.333,189.652,78.0,54.458,37.0,9.0,5.3,1.3,3.75
2011-01-08,181.63,9.391,9.65,11.908,2.258,,1.198,7.992,191.022,70.0,53.875,38.0,9.3,4.788,-0.1,4.333
2011-01-09,186.913,16.044,14.22,18.462,4.242,,4.613,32.625,202.956,81.0,56.333,32.0,10.8,6.904,3.7,5.542
2011-01-10,186.544,17.497,18.072,26.161,8.089,,5.604,43.594,204.041,74.0,56.583,36.0,10.2,6.488,2.1,8.0
2011-01-11,180.973,8.684,11.817,15.682,3.864,,3.636,23.986,189.658,70.0,50.333,32.0,8.1,5.642,1.6,4.667
2011-01-12,182.862,10.78,13.783,19.642,5.858,,2.708,11.915,193.642,77.0,59.625,32.0,7.5,3.6,-1.3,6.292
2011-01-13,181.27,10.256,13.841,18.576,4.734,,5.72,29.255,191.526,71.0,56.167,36.0,7.8,5.671,2.7,5.458
2011-01-14,184.339,13.296,16.066,23.342,7.275,,4.219,38.958,197.635,78.0,54.625,36.0,9.7,5.312,1.3,6.583
2011-01-15,183.528,11.198,10.833,14.308,3.475,,1.896,17.4,194.726,64.0,52.792,39.0,8.4,5.721,2.5,5.042
2011-01-16,179.522,5.304,5.65,7.058,1.408,,0.816,11.845,184.826,75.0,60.375,46.0,6.8,5.388,3.9,2.913
2011-01-17,179.373,7.376,9.183,11.592,2.408,,0.916,10.342,186.75,71.0,56.875,40.0,9.9,5.838,2.8,3.375
2011-01-18,182.241,19.44,25.126,38.605,13.479,,6.365,26.107,201.68,74.0,59.583,44.0,10.5,6.304,1.2,7.042
2011-01-19,179.634,13.326,26.133,37.142,11.008,,2.927,21.944,192.959,78.0,68.958,42.0,9.6,7.679,6.3,7.542
2011-01-20,177.568,6.248,6.233,8.092,1.858,,0.949,5.05,183.815,72.0,62.5,54.0,11.4,9.446,7.7,3.125
2011-01-21,177.082,5.81,7.059,8.708,1.65,,0.771,8.758,182.892,70.0,61.375,56.0,10.3,8.9,7.4,2.875
2011-01-22,180.072,8.058,9.75,13.375,3.625,,1.604,11.175,188.13,79.0,64.375,48.0,12.5,8.592,5.1,4.5
2011-01-23,179.674,6.413,8.113,11.904,3.791,,2.228,12.75,186.087,70.0,47.125,31.0,9.0,5.704,2.1,4.043
2011-01-24,179.421,6.544,9.0,12.783,3.783,,2.5,12.45,185.964,61.0,47.292,33.0,4.3,1.658,-0.5,3.917
2011-01-25,181.807,9.513,11.365,15.357,3.992,,2.729,16.808,191.32,72.0,54.708,33.0,5.3,1.271,-1.6,4.583
2011-01-26,182.347,9.972,11.758,16.358,4.6,,1.729,13.125,192.32,78.0,53.625,30.0,5.9,1.517,-2.6,4.417
2011-01-27,183.992,15.296,17.608,24.041,6.433,,4.403,32.014,199.288,68.0,58.0,44.0,7.7,3.892,0.1,5.917
2011-01-28,184.014,11.708,12.542,16.058,3.517,,3.375,36.492,195.722,74.0,53.917,34.0,9.6,5.804,2.6,5.417
2011-01-29,181.844,7.973,9.733,13.025,3.292,,2.625,13.35,189.817,71.0,57.833,42.0,8.8,4.158,0.5,4.25
2011-01-30,185.012,11.403,12.16,17.992,5.833,,1.497,15.358,196.414,73.0,53.833,28.0,9.0,3.758,0.2,4.75
2011-01-31,186.217,10.392,12.527,17.424,4.896,,2.698,16.439,196.608,70.0,47.75,24.0,8.3,3.333,-1.2,5.261
