date,CH4_mean,NMHC_mean,SO2_mean,SPM_mean,THC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,194.292,12.667,0.917,19.166,206.958,14.75,23.708,8.958,
2011-01-02,190.875,8.875,0.75,12.75,199.75,9.542,15.542,6.0,
2011-01-03,187.625,6.0,0.125,3.351,193.625,6.625,10.458,3.833,
2011-01-04,188.292,12.667,1.042,6.229,200.958,13.125,22.292,9.167,
2011-01-05,190.0,7.435,0.625,6.292,197.435,9.375,17.042,7.667,
2011-01-06,191.958,10.333,1.083,8.083,202.292,19.917,52.5,32.583,
2011-01-07,193.125,10.667,0.792,7.083,203.792,21.542,47.958,26.417,
2011-01-08,193.875,9.083,0.417,6.854,202.958,13.0,22.042,9.042,
2011-01-09,194.083,11.917,0.958,9.729,206.0,16.583,34.25,17.667,
2011-01-10,192.208,11.583,1.13,11.938,203.792,20.333,35.042,14.708,
2011-01-11,191.667,8.095,1.167,8.772,199.762,15.609,27.87,12.261,
2011-01-12,192.417,9.25,0.833,4.75,201.667,16.5,28.375,11.875,
2011-01-13,192.0,10.708,1.25,13.666,202.708,22.125,45.542,23.417,
2011-01-14,191.792,6.375,0.875,6.625,198.167,10.739,21.043,10.304,
2011-01-15,192.542,6.833,0.917,9.188,199.375,10.208,16.583,6.375,
2011-01-16,192.292,7.708,0.833,8.979,200.0,15.542,27.5,11.958,
2011-01-17,193.304,15.391,1.292,12.77,208.696,23.542,54.0,30.458,
2011-01-18,193.375,14.792,1.542,17.854,208.167,25.792,57.708,31.917,
2011-01-19,192.292,13.125,1.5,21.025,205.417,22.375,40.625,18.25,
2011-01-20,191.792,9.083,1.208,11.708,200.875,17.458,31.083,13.625,
2011-01-21,190.917,10.5,0.958,11.25,201.417,20.625,46.875,26.25,
2011-01-22,190.625,11.958,0.833,9.0,202.583,19.25,37.917,18.667,
2011-01-23,189.333,7.417,0.875,9.584,196.75,13.0,24.25,11.25,
2011-01-24,189.708,9.125,0.87,9.52,198.833,16.708,33.25,16.542,
2011-01-25,191.375,10.375,1.375,13.458,201.75,21.5,39.542,18.042,
2011-01-26,193.25,11.542,1.167,11.708,204.792,22.625,40.625,18.0,
2011-01-27,193.583,10.958,1.375,12.042,204.542,19.583,37.625,18.042,
2011-01-28,193.708,7.542,1.0,10.771,201.25,13.13,26.435,13.304,
2011-01-29,192.5,5.958,0.958,6.708,198.458,7.542,12.667,5.125,
2011-01-30,192.458,10.625,1.458,10.938,203.083,21.375,41.417,20.042,
2011-01-31,193.042,13.042,1.042,10.52,206.083,24.0,52.667,28.667,
2011-02-01,190.958,13.625,1.375,12.958,204.583,25.917,63.25,37.333,
2011-02-02,189.417,10.5,1.333,6.792,199.917,21.667,42.375,20.708,
2011-02-03,191.882,11.353,1.471,10.536,203.235,26.875,55.708,28.833,
2011-02-04,,,,13.875,,23.208,49.417,26.208,
2011-02-05,,,,8.375,,17.667,30.5,12.833,
2011-02-06,193.286,19.786,3.4,18.652,213.071,29.375,70.333,40.958,
2011-02-07,190.833,15.458,1.522,21.167,206.292,26.125,50.542,24.417,
2011-02-08,189.0,5.444,1.167,10.769,194.444,13.773,27.182,13.409,
2011-02-09,198.333,8.583,1.167,8.125,206.917,14.958,31.917,16.958,
2011-02-10,196.333,13.619,1.417,12.303,209.952,20.292,36.667,16.375,
2011-02-11,192.292,9.542,1.167,10.604,201.833,18.174,31.217,13.043,
2011-02-12,192.042,6.583,0.833,8.02,198.625,7.458,13.125,5.667,
2011-02-13,187.826,10.739,1.125,9.604,198.565,21.875,46.208,24.333,
2011-02-14,190.333,19.042,1.875,20.875,209.375,31.042,70.542,39.5,
2011-02-15,188.917,10.625,1.75,20.021,199.542,15.667,43.625,27.958,
2011-02-16,186.625,5.875,1.0,8.25,192.5,12.292,21.833,9.542,
2011-02-17,188.042,10.042,1.625,14.625,198.083,19.917,33.333,13.417,
2011-02-18,187.25,7.417,1.042,8.584,194.667,17.042,32.042,15.0,
2011-02-19,189.208,9.125,1.292,14.708,198.333,16.5,26.708,10.208,
