date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean,CO_mean
2011-01-01,10.608,12.975,2.367,1.167,9.817,192.896,13.646,11.542,206.542,4.25
2011-01-02,5.708,6.267,0.558,1.042,5.133,188.354,7.125,5.917,195.48,3.458
2011-01-03,7.8,9.492,1.692,1.0,5.792,191.458,9.562,6.083,201.021,3.625
2011-01-04,7.867,9.342,1.475,1.389,7.209,188.292,7.146,7.167,195.438,3.833
2011-01-05,11.479,14.732,3.252,1.164,5.7,191.282,8.956,6.375,200.239,3.435
2011-01-06,18.909,30.301,11.392,1.333,9.425,191.333,11.542,9.625,202.875,3.917
2011-01-07,10.283,13.483,3.2,1.125,7.747,192.292,8.666,7.708,200.958,3.167
2011-01-08,10.4,12.475,2.075,1.208,7.767,193.812,11.166,7.875,204.979,3.792
2011-01-09,8.217,9.625,1.408,1.736,8.933,192.02,8.916,9.958,200.938,3.417
2011-01-10,18.667,32.667,14.0,1.708,12.417,194.208,15.105,12.667,209.312,4.5
2011-01-11,8.2,12.1,3.9,1.397,10.3,190.5,7.208,10.458,197.708,3.958
2011-01-12,11.658,16.94,5.283,1.163,4.9,189.152,9.239,5.792,198.392,2.739
2011-01-13,13.311,19.198,5.888,1.069,8.242,188.396,8.98,9.375,197.375,3.708
2011-01-14,8.792,12.842,4.05,1.444,9.633,190.667,8.104,11.083,198.771,3.792
2011-01-15,7.442,9.758,2.317,1.25,8.558,191.875,8.229,10.708,200.104,3.667
2011-01-16,9.867,15.467,5.6,1.056,10.692,189.312,7.438,12.917,196.75,3.583
2011-01-17,11.15,16.242,5.092,0.986,8.3,187.89,8.129,8.375,196.019,3.625
2011-01-18,19.0,37.358,18.358,1.569,9.267,191.125,14.208,10.958,205.334,3.875
2011-01-19,18.251,34.8,16.549,1.269,9.108,190.978,13.0,11.708,203.978,4.348
2011-01-20,17.864,28.798,10.935,1.458,10.666,190.458,12.833,12.0,203.292,3.792
2011-01-21,13.875,19.8,5.925,1.458,9.858,189.042,11.458,9.25,200.5,3.625
2011-01-22,10.567,14.192,3.625,0.945,5.758,189.708,10.5,6.125,200.208,3.5
2011-01-23,4.925,8.375,3.45,0.694,7.067,189.104,6.562,7.625,195.666,3.25
2011-01-24,11.208,18.117,6.908,1.181,7.892,189.208,8.0,9.0,197.208,3.542
2011-01-25,9.187,14.531,5.344,1.498,6.035,189.304,7.304,5.75,196.608,3.609
2011-01-26,11.509,18.837,7.328,1.925,8.082,190.435,7.869,10.083,198.304,3.13
2011-01-27,15.346,24.319,8.973,1.778,9.558,191.271,10.042,10.5,201.312,3.792
2011-01-28,6.7,10.058,3.358,1.486,8.441,190.125,6.354,10.417,196.48,3.083
2011-01-29,8.117,10.408,2.292,1.403,7.842,191.75,7.938,9.417,199.688,3.0
2011-01-30,12.908,21.725,8.817,1.542,8.242,192.396,8.875,8.458,201.271,3.417
2011-01-31,19.008,33.591,14.583,1.278,9.767,193.292,12.98,9.917,206.271,4.042
2011-02-01,9.792,15.183,5.392,1.583,10.4,190.146,9.562,12.75,199.708,3.667
2011-02-02,9.549,13.799,4.251,1.703,9.158,190.674,7.674,10.333,198.348,3.304
2011-02-03,11.471,18.259,6.788,1.111,6.505,190.166,8.375,6.208,198.542,3.125
2011-02-04,8.406,12.219,3.812,1.375,10.0,189.688,7.334,11.708,197.021,3.625
2011-02-05,14.825,19.217,4.392,1.389,13.083,193.75,12.167,13.667,205.917,4.25
2011-02-06,34.392,66.629,32.237,1.708,26.4,196.271,26.98,25.583,223.25,6.917
2011-02-07,25.498,46.842,21.344,1.07,14.848,195.646,20.833,11.792,216.479,5.917
2011-02-08,7.429,11.871,4.443,1.018,5.913,188.666,7.25,5.833,195.916,3.208
2011-02-09,9.392,14.205,4.813,1.081,5.692,189.26,7.348,4.792,196.609,3.0
2011-02-10,12.823,18.611,5.787,0.861,8.183,189.583,8.208,6.125,197.792,3.208
2011-02-11,9.092,12.305,3.213,1.444,10.05,189.875,7.166,11.667,197.042,3.208
2011-02-12,9.79,13.162,3.372,1.306,11.85,191.0,8.396,12.708,199.396,3.5
2011-02-13,22.792,33.704,10.912,1.583,14.133,192.52,13.27,17.333,205.792,4.292
2011-02-14,31.298,57.614,26.316,1.704,25.545,196.541,28.598,25.875,225.14,5.583
2011-02-15,17.147,27.688,10.541,1.319,18.688,191.666,12.75,16.625,204.417,4.292
2011-02-16,12.04,17.486,5.445,1.055,8.292,188.696,9.087,7.917,197.783,3.174
2011-02-17,9.846,14.719,4.872,1.083,9.064,189.042,7.896,9.083,196.938,3.083
2011-02-18,11.246,15.778,4.532,1.208,9.567,191.062,9.52,9.625,200.584,3.542
2011-02-19,12.909,16.69,3.781,1.792,10.142,194.333,10.271,12.375,204.604,3.667
2011-02-20,16.132,23.565,7.433,1.278,10.283,191.312,11.396,10.667,202.708,3.5
2011-02-21,21.792,37.316,15.524,2.153,16.808,190.312,14.938,16.0,205.25,4.292
2011-02-22,23.115,35.658,12.543,2.484,25.233,192.396,13.854,26.833,206.25,5.375
2011-02-23,24.005,37.525,13.52,1.424,30.258,192.282,17.022,27.458,209.304,5.083
2011-02-24,16.438,24.314,7.876,2.056,28.625,192.562,12.396,29.625,204.958,4.958
2011-02-25,21.175,29.45,8.275,1.167,18.442,195.916,14.584,20.458,210.5,5.458
2011-02-26,8.883,10.563,1.68,0.861,13.15,193.27,9.042,13.542,202.312,3.583
2011-02-27,13.898,19.732,5.834,1.306,12.508,193.042,9.208,14.333,202.25,3.833
2011-02-28,17.348,24.964,7.616,1.403,11.155,193.688,10.562,12.333,204.25,3.833
2011-03-01,18.765,33.408,14.642,1.298,17.6,194.261,13.348,16.667,207.608,4.625
2011-03-02,13.537,19.896,6.359,0.959,15.158,191.062,9.188,16.792,200.25,4.167
2011-03-03,8.559,16.527,7.968,1.028,16.8,192.104,6.938,16.917,199.042,3.75
2011-03-04,5.038,6.08,1.043,0.806,13.7,191.354,7.125,15.0,198.479,3.875
2011-03-05,19.977,30.97,10.993,0.778,15.933,193.542,13.312,14.952,206.854,5.125
2011-03-06,15.852,27.314,11.462,0.945,9.075,195.73,13.896,4.667,209.625,4.5
2011-03-07,10.064,14.602,4.538,1.399,23.017,192.562,9.792,23.875,202.354,5.375
2011-03-08,13.524,23.39,9.866,1.098,17.775,192.522,10.804,16.0,203.326,5.25
2011-03-09,10.889,17.605,6.716,1.014,19.392,192.438,9.896,17.292,202.333,5.042
2011-03-10,4.996,5.963,0.967,0.708,10.825,188.854,7.271,9.083,196.125,4.0
2011-03-11,4.529,4.908,0.379,1.153,10.142,189.208,7.667,8.667,196.875,3.458
2011-03-12,7.056,8.501,1.445,0.931,9.117,189.52,6.958,7.208,196.48,3.625
2011-03-13,9.852,11.954,2.102,0.903,10.5,191.438,8.229,7.875,199.666,3.708
2011-03-14,11.811,16.32,4.51,1.889,12.655,191.625,9.521,11.25,201.146,3.625
2011-03-15,11.033,13.551,2.518,1.184,13.616,191.87,8.544,12.125,200.413,4.083
2011-03-16,13.877,19.969,6.092,1.292,15.661,193.666,11.375,15.125,205.042,4.25
