date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,20.836,28.154,7.318,,1.521,17.667,200.0,22.292,222.292
2011-01-02,8.438,10.448,2.01,,2.236,11.104,189.261,7.13,196.391
2011-01-03,12.427,15.261,2.833,,2.277,15.688,188.542,8.875,197.417
2011-01-04,10.99,14.232,3.242,,4.523,20.197,188.652,7.13,195.783
2011-01-05,25.688,41.416,15.729,,1.5,10.438,190.5,16.458,206.958
2011-01-06,29.74,56.156,26.417,,1.854,15.26,192.292,23.042,215.333
2011-01-07,16.872,27.25,10.378,,0.729,6.354,191.542,11.958,203.5
2011-01-08,15.979,20.521,4.542,,0.822,8.562,193.826,14.957,208.783
2011-01-09,26.5,39.823,13.323,,2.619,21.021,199.792,25.708,225.5
2011-01-10,30.335,51.136,20.801,,2.94,29.554,193.875,28.208,222.083
2011-01-11,23.78,40.906,17.126,,3.396,23.656,189.5,15.292,204.792
2011-01-12,25.319,37.946,12.627,,1.484,9.322,191.636,21.591,213.227
2011-01-13,27.099,48.494,21.395,,3.135,18.656,191.042,24.75,215.792
2011-01-14,26.406,41.208,14.802,,5.437,36.938,192.957,16.913,209.87
2011-01-15,19.969,26.166,6.198,,2.118,16.394,194.292,22.458,216.75
2011-01-16,18.439,27.317,8.879,,1.263,11.583,190.625,12.708,203.333
2011-01-17,20.767,32.449,11.682,,0.854,10.927,190.333,18.125,208.458
2011-01-18,37.169,85.512,48.344,,1.354,19.36,205.048,58.238,263.286
2011-01-19,35.206,80.703,45.497,,1.682,19.21,194.708,34.208,228.917
2011-01-20,23.562,38.271,14.708,,0.978,7.052,187.348,16.435,203.783
2011-01-21,24.26,36.781,12.521,,1.0,11.583,189.214,16.429,205.643
2011-01-22,20.917,27.667,6.75,,1.458,13.427,191.375,19.875,211.25
2011-01-23,21.54,39.148,17.609,,1.562,7.062,189.958,14.75,204.708
2011-01-24,21.228,37.57,16.342,,1.671,9.139,188.542,13.083,201.625
2011-01-25,23.482,42.367,18.886,,3.23,16.417,189.917,11.792,201.708
2011-01-26,26.297,45.454,19.157,,3.101,12.299,191.652,14.565,206.217
2011-01-27,31.604,55.125,23.521,,4.132,28.136,192.917,20.583,213.5
2011-01-28,27.416,39.26,11.844,,3.688,26.688,193.833,19.458,213.292
2011-01-29,13.473,16.776,3.303,,1.292,7.76,192.292,16.208,208.5
2011-01-30,28.208,47.292,19.084,,1.396,10.146,195.042,23.5,218.542
2011-01-31,28.88,50.624,21.745,,1.942,12.048,191.042,17.958,209.0
2011-02-01,27.333,44.823,17.49,,3.292,20.25,191.261,22.522,213.783
2011-02-02,17.99,29.083,11.094,,1.676,8.556,190.682,10.091,200.773
2011-02-03,26.479,43.906,17.427,,1.938,13.875,194.708,17.25,211.958
2011-02-04,21.485,32.927,11.441,,3.917,21.594,192.0,11.833,203.833
2011-02-05,20.24,24.094,3.854,,4.854,37.948,195.75,15.458,211.208
2011-02-06,36.021,68.105,32.084,,2.708,30.396,196.5,29.083,225.583
2011-02-07,36.1,66.931,30.83,,2.236,17.446,193.87,22.957,216.826
2011-02-08,20.188,35.073,14.885,,2.199,13.875,189.542,11.583,201.125
2011-02-09,23.238,41.522,18.284,,1.886,13.058,191.125,12.5,203.625
2011-02-10,27.375,43.948,16.572,,2.562,14.186,192.292,17.75,210.042
2011-02-11,17.781,24.656,6.875,,1.688,12.367,192.708,13.958,206.667
2011-02-12,16.977,22.052,5.074,,1.771,13.971,195.292,14.833,210.125
2011-02-13,38.368,72.232,33.864,,1.326,21.328,199.565,28.652,228.217
2011-02-14,37.771,79.812,42.042,,1.195,19.792,196.917,38.458,235.375
2011-02-15,33.062,72.594,39.531,,1.834,24.01,198.042,32.917,230.958
2011-02-16,27.028,46.333,19.304,,3.042,16.333,192.125,20.625,212.75
2011-02-17,23.394,40.737,17.344,,1.964,12.948,190.091,11.818,201.909
2011-02-18,16.036,25.606,9.57,,1.312,7.619,,,
2011-02-19,17.333,22.25,4.916,,1.525,12.729,,,
2011-02-20,32.594,53.469,20.875,,2.043,17.084,,,
2011-02-21,44.346,75.557,31.211,,4.165,30.088,,,
2011-02-22,26.894,39.144,12.25,,2.125,22.333,,,
2011-02-23,33.708,69.51,35.802,,2.25,18.708,,,
2011-02-24,24.945,35.294,10.35,,2.168,29.489,193.727,23.909,217.636
2011-02-25,33.416,50.781,17.364,,2.405,30.583,197.348,26.261,223.609
2011-02-26,12.688,16.521,3.833,,1.087,12.597,193.75,12.0,205.75
2011-02-27,20.282,30.29,10.008,,0.935,13.061,195.583,13.458,209.042
2011-02-28,25.327,39.065,13.739,,1.25,12.177,195.917,16.0,211.917
2011-03-01,42.245,71.818,29.573,,1.854,24.854,199.417,42.5,241.917
