date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,12.482,18.298,5.816,,4.604,,5.5,191.833,10.0,201.833
2011-01-02,5.929,7.851,1.923,,4.479,,4.273,189.364,3.045,192.409
2011-01-03,12.095,17.095,5.0,,6.094,,5.583,191.667,7.833,199.5
2011-01-04,7.022,9.682,2.66,,7.01,,5.339,191.391,4.174,195.565
2011-01-05,12.056,17.306,5.251,,5.094,,5.667,190.292,6.583,196.875
2011-01-06,19.096,32.17,13.074,,5.207,,6.0,190.45,12.65,203.1
2011-01-07,13.059,19.935,6.875,,4.396,,4.486,189.042,10.0,199.042
2011-01-08,14.815,23.482,8.667,,3.406,,5.167,192.292,14.625,206.917
2011-01-09,18.613,29.696,11.083,,7.167,,6.253,195.682,16.773,212.455
2011-01-10,20.994,35.917,14.923,,8.198,,7.792,193.583,18.583,212.167
2011-01-11,9.899,13.482,3.583,,6.156,,5.056,188.13,9.783,197.913
2011-01-12,19.173,33.191,14.018,,5.469,,5.889,190.792,16.833,207.625
2011-01-13,12.869,18.774,5.905,,7.375,,4.917,187.792,8.5,196.292
2011-01-14,11.351,16.202,4.851,,9.386,,5.278,189.583,10.5,200.083
2011-01-15,17.28,24.53,7.25,,6.719,,5.569,189.042,10.125,199.167
2011-01-16,14.408,21.046,6.638,,3.691,,5.381,189.619,13.952,203.571
2011-01-17,18.464,32.674,14.21,,3.835,,6.403,190.625,18.833,209.458
2011-01-18,27.271,54.097,26.826,,5.646,,8.111,192.625,24.042,216.667
2011-01-19,26.847,42.347,15.5,,4.146,,7.208,191.125,29.625,220.75
2011-01-20,22.732,38.107,15.375,,3.615,,6.597,187.417,14.583,202.0
2011-01-21,22.298,36.583,14.286,,3.052,,6.125,188.609,16.826,205.435
2011-01-22,16.232,26.81,10.577,,4.583,,5.084,188.208,13.292,201.5
2011-01-23,8.488,12.077,3.589,,4.302,,4.322,188.818,7.273,196.091
2011-01-24,7.988,11.506,3.518,,4.333,,3.986,189.304,6.826,196.13
2011-01-25,11.321,17.037,5.716,,5.812,,5.514,190.833,7.5,198.333
2011-01-26,10.661,15.089,4.429,,5.24,,4.653,191.167,8.542,199.708
