date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,211.958,67.0,49.958,38.0,25.458,23.573,33.479,9.906,28.417,0.0,1.056,26.094,7.3,4.275,1.3,237.417,6.625
2011-01-02,202.09,76.0,52.958,26.0,16.872,13.842,20.018,6.176,14.625,0.0,0.775,21.864,10.3,4.667,1.0,218.961,4.0
2011-01-03,194.667,41.0,31.417,20.0,9.334,10.448,12.021,1.573,2.375,0.0,0.458,7.014,9.9,5.912,2.8,204.0,2.833
2011-01-04,203.761,60.0,42.667,30.0,19.022,21.217,28.358,7.141,8.13,0.0,0.928,11.975,9.2,4.483,-0.2,222.782,4.522
2011-01-05,195.452,48.0,30.917,20.0,10.648,13.184,14.928,1.744,4.292,0.0,0.725,8.151,8.6,4.804,2.1,206.1,2.875
2011-01-06,208.75,54.0,39.292,23.0,26.062,33.698,61.115,27.417,13.167,0.0,1.584,17.229,10.0,4.967,1.3,234.812,7.042
2011-01-07,201.042,60.0,41.143,21.0,14.958,15.667,20.51,4.844,5.833,0.0,0.583,9.875,8.5,4.538,1.5,216.0,3.125
2011-01-08,202.708,,,,13.666,14.229,17.51,3.281,6.167,0.0,0.653,9.854,8.9,5.025,1.8,216.375,3.708
2011-01-09,207.796,,,,21.988,25.584,33.714,8.13,18.583,0.0,1.561,21.552,10.8,5.025,1.0,229.784,5.522
2011-01-10,202.122,57.0,40.429,29.0,22.3,30.04,52.032,21.992,18.217,0.0,1.39,21.698,9.7,5.252,-0.6,224.421,6.435
2011-01-11,196.78,76.0,53.292,36.0,18.724,23.366,39.791,16.425,15.5,0.0,1.255,18.794,10.6,4.742,1.3,215.504,4.667
2011-01-12,202.083,47.0,32.125,21.0,19.48,22.188,39.052,16.865,7.75,0.0,0.597,11.854,7.0,2.95,0.2,221.562,5.125
2011-01-13,206.562,53.0,41.417,26.0,31.938,39.084,84.094,45.01,15.708,0.0,1.972,19.865,10.6,4.3,-1.5,238.5,7.375
2011-01-14,209.48,57.0,36.042,23.0,20.958,23.677,40.854,17.177,8.292,0.0,1.111,11.49,7.9,3.979,0.7,230.438,5.958
2011-01-15,212.584,50.0,41.375,31.0,27.584,28.406,46.958,18.552,19.583,0.0,1.417,21.219,6.5,3.225,-0.3,240.167,8.542
2011-01-16,204.608,52.0,41.708,34.0,20.676,30.062,49.084,19.022,22.087,0.0,1.295,23.42,4.9,3.338,1.3,225.284,5.909
2011-01-17,204.0,60.0,41.833,28.0,17.938,22.708,37.396,14.688,10.708,0.0,0.778,16.292,8.3,4.442,2.1,221.938,5.458
2011-01-18,211.233,65.0,52.042,34.0,36.042,39.156,78.287,39.131,27.083,0.0,1.847,30.668,9.1,3.8,-1.1,247.274,7.458
2011-01-19,200.042,64.0,55.292,43.0,24.042,24.25,47.688,23.438,25.958,0.0,2.028,30.635,10.9,5.1,-0.2,224.084,5.292
2011-01-20,192.125,90.0,85.292,73.0,10.771,15.281,18.562,3.281,15.333,14.0,0.681,21.448,4.4,2.379,1.7,202.896,3.542
2011-01-21,191.792,91.0,83.25,72.0,9.854,13.584,15.531,1.948,7.083,20.0,0.319,11.948,3.4,2.738,2.2,201.646,3.333
2011-01-22,197.896,92.0,84.542,77.0,14.417,14.76,21.719,6.958,5.0,6.0,0.361,10.25,6.8,4.542,2.9,212.312,4.417
2011-01-23,212.091,91.0,85.389,78.0,31.703,26.42,79.275,52.854,13.292,8.0,0.771,18.659,6.3,3.461,0.6,243.794,7.591
2011-01-24,204.458,89.0,61.083,44.0,19.562,27.375,45.938,18.562,9.083,11.0,0.556,13.281,4.5,1.883,-0.8,224.021,6.167
2011-01-25,209.019,77.0,57.5,24.0,30.193,34.334,71.609,37.275,18.083,1.0,1.273,23.656,8.4,3.079,-0.7,239.212,6.667
2011-01-26,203.584,79.0,45.917,24.0,18.25,24.396,33.781,9.386,10.667,0.0,1.042,14.406,6.0,1.883,-0.9,221.834,5.042
2011-01-27,216.833,63.0,49.792,33.0,30.812,31.271,68.792,37.521,17.125,0.0,1.306,19.438,7.0,1.817,-2.4,247.646,6.875
2011-01-28,206.875,64.0,43.417,22.0,20.438,22.99,37.896,14.906,17.792,0.0,1.319,20.177,5.7,1.471,-2.0,227.312,5.708
2011-01-29,196.292,41.0,34.167,21.0,7.334,7.375,8.364,0.99,6.625,0.0,0.972,10.323,5.6,2.108,0.2,203.625,3.333
2011-01-30,216.408,48.0,33.75,21.0,26.314,27.306,53.768,26.462,9.261,0.0,0.913,12.658,6.1,2.142,-1.5,242.722,5.773
2011-01-31,212.979,58.0,40.708,26.0,29.042,34.927,66.552,31.625,14.583,0.0,1.556,17.552,8.3,2.729,-2.5,242.021,6.333
