date,NO2_mean,NOX_mean,NO_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,12.997,16.591,3.593,,92.5,77.271,49.0,9.4,4.75,0.5,,182.917,3.778,13.75,196.667
2011-01-02,6.051,6.842,0.791,,93.5,85.062,61.0,6.85,4.012,2.25,,183.083,3.111,12.375,195.458
2011-01-03,7.07,7.84,0.771,,90.5,73.062,52.0,6.9,3.983,1.4,,182.125,2.986,8.667,190.792
2011-01-04,6.014,6.681,0.667,,94.0,70.812,31.5,7.5,2.912,0.3,,184.083,3.5,9.125,193.208
2011-01-05,11.531,16.472,4.941,,93.5,84.521,61.0,5.85,2.025,-0.3,,184.045,2.809,10.636,194.682
2011-01-06,18.139,30.382,12.243,,93.5,74.416,43.5,9.15,3.879,-0.7,,186.875,3.597,14.792,201.667
2011-01-07,12.41,17.215,4.805,,92.0,84.062,64.0,5.95,3.219,1.55,,183.917,3.222,11.25,195.167
2011-01-08,11.307,15.007,3.7,,91.0,81.688,65.0,5.4,2.365,-0.5,,184.708,3.361,12.542,197.25
2011-01-09,14.845,21.923,7.078,,90.0,77.084,54.0,9.3,4.246,0.9,,187.292,3.861,14.75,202.042
2011-01-10,21.403,37.819,16.417,,92.5,80.146,51.0,9.5,4.452,0.85,,186.417,4.625,17.75,204.167
2011-01-11,17.028,26.771,9.743,,94.0,77.792,43.0,9.05,3.906,0.15,,185.417,3.807,19.417,204.833
2011-01-12,19.859,32.7,12.84,,92.5,82.23,57.0,4.85,1.252,-0.8,,183.091,2.99,13.909,197.0
2011-01-13,18.222,31.729,13.507,,93.5,70.916,42.0,8.85,3.565,-1.05,,185.583,3.514,16.542,202.125
2011-01-14,9.778,11.938,2.16,,87.0,74.604,53.5,7.75,4.546,2.8,,183.875,3.917,12.333,196.208
2011-01-15,8.51,10.595,2.084,,85.5,71.188,52.0,7.35,4.735,2.1,,182.583,3.139,10.083,192.667
2011-01-16,16.158,22.648,6.49,,75.0,63.23,48.0,5.25,3.929,2.7,,180.917,3.194,12.5,193.417
