date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,191.208,78.0,64.833,50.0,2.333,10.702,12.845,2.143,14.73,0.0,2.142,12.2,6.212,-0.3,193.542,4.583
2011-01-02,189.208,74.0,57.417,40.0,1.167,6.196,7.351,1.155,9.042,0.0,1.717,10.5,6.067,3.0,190.375,4.458
2011-01-03,189.292,69.0,58.958,48.0,1.125,9.435,11.375,1.941,18.084,0.0,2.417,7.2,4.925,2.1,190.417,4.417
2011-01-04,189.958,78.0,58.583,26.0,0.958,9.565,12.577,3.012,22.021,0.0,3.45,7.8,3.617,0.0,190.917,4.875
2011-01-05,190.261,85.0,69.333,43.0,3.174,14.044,20.863,6.82,8.708,0.0,0.661,10.1,3.329,-1.9,193.435,4.304
2011-01-06,188.333,88.0,62.292,33.0,6.5,21.907,44.274,22.368,12.584,0.0,1.183,10.1,3.904,-2.1,194.833,4.208
2011-01-07,194.625,84.0,65.792,39.0,3.875,17.906,28.333,10.427,6.854,0.0,0.583,9.6,3.8,0.0,198.5,2.708
2011-01-08,195.708,82.0,65.083,41.0,3.708,12.073,14.951,2.878,8.104,0.0,0.6,7.9,3.729,0.5,199.417,2.792
2011-01-09,196.625,81.0,64.542,45.0,4.458,16.28,23.593,7.313,18.896,0.0,2.15,11.0,5.112,1.0,201.083,4.083
2011-01-10,199.083,88.0,67.375,39.0,11.167,25.893,47.705,21.786,34.312,0.0,3.017,11.9,4.738,-1.4,210.25,6.333
2011-01-11,191.958,71.0,58.708,36.0,1.375,13.143,21.071,7.929,21.32,0.0,2.508,9.3,5.142,-0.2,193.333,4.083
2011-01-12,193.478,80.0,64.542,46.0,4.348,16.77,23.596,6.826,7.75,0.0,1.357,7.1,2.767,-1.2,197.826,3.13
2011-01-13,193.042,82.0,61.042,35.0,8.292,18.531,35.58,20.502,19.25,0.0,1.684,9.7,4.388,-1.0,201.333,4.333
2011-01-14,193.125,63.0,53.375,34.0,2.833,14.774,20.881,6.107,33.854,0.0,3.334,9.8,5.933,3.5,195.958,5.083
2011-01-15,192.75,81.0,62.5,42.0,4.625,11.47,15.03,3.559,14.271,0.0,0.575,8.8,5.225,1.1,197.375,3.792
2011-01-16,189.417,74.0,58.083,52.0,0.417,4.518,4.923,0.405,9.416,0.0,0.35,7.2,5.238,3.5,189.833,2.083
2011-01-17,189.417,78.0,56.708,35.0,2.542,10.726,13.619,2.893,7.666,0.0,0.167,9.6,5.483,0.0,191.958,2.125
2011-01-18,193.75,85.0,66.583,42.0,9.917,34.51,54.255,19.745,15.896,0.0,2.95,10.8,4.15,-1.7,203.667,4.5
2011-01-19,188.522,89.0,75.417,60.0,3.913,14.472,17.242,2.77,8.396,20.0,0.522,7.7,5.588,3.6,192.435,2.348
2011-01-20,188.375,88.0,78.458,69.0,1.25,6.143,6.644,0.501,7.188,2.0,0.326,9.8,7.225,3.5,189.625,2.208
2011-01-21,188.208,87.0,81.625,72.0,1.542,8.065,8.649,0.583,6.98,6.0,0.233,9.3,7.425,5.0,189.75,2.333
2011-01-22,192.125,94.0,79.417,54.0,6.917,17.333,23.345,6.012,10.417,0.0,1.267,11.6,6.15,0.9,199.042,4.083
2011-01-23,190.917,84.0,65.333,46.0,2.625,13.339,21.006,7.667,7.188,0.0,1.258,10.3,5.854,2.1,193.542,3.833
2011-01-24,191.042,65.0,52.667,38.0,1.083,13.095,21.947,8.851,7.854,0.0,1.25,6.0,2.529,0.0,192.125,3.542
2011-01-25,192.917,68.0,56.042,37.0,1.417,15.219,24.328,9.109,16.438,0.0,2.342,6.0,1.683,-0.7,194.333,4.375
2011-01-26,194.174,71.0,53.25,29.0,1.696,18.014,32.026,14.012,8.284,0.0,1.383,6.5,1.638,-2.6,195.87,4.043
2011-01-27,194.417,78.0,55.667,34.0,3.917,20.691,35.131,14.441,23.02,0.0,2.491,8.8,2.829,-2.4,198.333,4.75
2011-01-28,194.5,76.0,62.292,41.0,2.708,16.929,22.042,5.113,21.084,0.0,1.542,9.4,3.938,0.2,197.208,3.833
2011-01-29,193.25,85.0,68.417,45.0,0.25,5.994,6.482,0.488,8.542,0.0,0.25,7.5,2.596,-0.5,193.5,2.333
2011-01-30,194.667,85.0,66.0,47.0,1.0,15.361,24.208,8.847,7.5,0.0,0.883,7.8,2.583,-2.3,195.667,3.458
2011-01-31,192.5,72.0,53.708,34.0,2.417,18.664,29.62,10.956,10.0,0.0,1.158,8.4,2.504,-1.2,194.917,3.917
2011-02-01,192.25,78.0,54.75,29.0,2.542,17.484,29.922,12.437,16.729,0.0,2.558,8.4,3.158,-2.1,194.792,4.333
2011-02-02,191.13,71.0,54.5,30.0,0.0,9.571,16.962,7.391,7.042,0.0,1.051,3.4,0.175,-3.6,191.13,3.174
2011-02-03,192.333,83.0,57.625,34.0,2.458,16.666,33.266,16.599,12.229,0.0,1.915,5.6,0.754,-5.7,194.792,4.0
2011-02-04,192.333,79.0,53.042,30.0,2.708,15.182,24.188,9.005,21.77,0.0,3.225,7.7,3.321,-1.2,195.042,4.458
2011-02-05,194.083,78.0,56.5,33.0,2.333,14.916,18.787,3.87,35.688,0.0,4.333,8.8,4.575,-1.0,196.417,4.75
2011-02-06,192.833,90.0,80.042,68.0,7.833,23.12,35.87,12.75,37.646,8.0,2.442,8.8,6.562,3.5,200.667,5.417
2011-02-07,188.625,91.0,73.333,48.0,4.417,17.87,31.787,13.917,17.73,16.0,1.783,10.5,7.712,3.5,193.042,5.25
2011-02-08,187.542,61.0,47.083,28.0,0.208,10.708,21.036,10.328,8.75,0.0,1.275,7.4,2.712,-1.2,187.75,3.125
2011-02-09,190.826,74.0,55.875,42.0,1.522,14.293,28.02,13.727,12.271,0.0,1.391,5.6,1.229,-3.3,192.348,4.19
2011-02-10,190.875,67.0,54.864,43.0,1.708,13.425,23.004,9.579,10.812,0.0,1.453,6.8,2.773,-1.6,192.583,3.958
2011-02-11,192.042,84.0,59.792,38.0,3.625,13.784,22.772,8.987,12.292,0.0,1.808,9.3,3.329,-2.0,195.667,3.625
2011-02-12,192.708,79.0,61.292,37.0,1.333,8.219,12.719,4.501,12.771,0.0,0.967,8.8,2.938,-1.7,194.042,3.375
2011-02-13,191.565,91.0,80.833,60.0,2.696,14.553,18.809,4.256,16.438,15.0,0.686,5.6,3.417,0.7,194.261,3.333
2011-02-14,192.136,90.0,87.958,82.0,9.409,23.979,34.359,10.38,14.346,12.0,0.708,7.8,5.771,3.7,201.545,4.542
2011-02-15,191.875,92.0,80.208,66.0,6.875,13.135,19.016,5.88,13.708,0.0,0.617,7.4,4.817,1.6,198.75,3.333
2011-02-16,190.696,81.0,60.625,41.0,4.391,17.522,27.896,10.374,9.854,0.0,1.504,6.8,3.375,-0.6,195.087,4.217
2011-02-17,191.375,76.0,50.542,29.0,1.292,13.011,20.916,7.904,11.062,0.0,1.272,8.8,3.342,-0.9,192.667,3.958
