date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,6.334,6.667,0.334,3.812,17.688,,85.0,71.333,60.0,,22.292,9.3,7.338,5.2,
2011-01-02,4.87,5.522,0.652,1.652,9.73,,87.0,63.792,45.0,,10.833,9.5,5.375,1.6,
2011-01-03,5.75,6.25,0.5,5.375,23.416,,80.0,60.792,46.0,,26.375,10.7,6.508,4.4,
2011-01-04,15.938,17.438,1.5,3.416,19.48,,89.0,67.625,47.0,,19.667,6.9,3.35,1.1,
2011-01-05,11.892,13.478,1.587,3.045,15.978,,75.0,57.417,39.0,,14.545,9.3,3.962,-0.6,
2011-01-06,13.792,18.688,4.896,2.27,11.833,,84.0,67.042,47.0,,11.583,10.3,4.212,-0.6,
2011-01-07,9.416,13.646,4.23,1.562,5.438,,81.0,66.292,51.0,,3.375,9.5,5.488,0.9,
2011-01-08,4.458,5.0,0.542,1.021,5.834,,73.0,58.833,42.0,,4.583,11.5,6.392,3.0,
2011-01-09,9.956,12.261,2.304,5.044,25.979,,90.0,63.167,31.0,,25.917,13.4,7.383,3.7,
2011-01-10,12.604,15.708,3.104,5.854,34.625,,77.0,65.292,43.0,,40.417,11.2,6.271,1.3,
2011-01-11,9.188,9.542,0.354,3.958,13.834,,73.0,54.083,39.0,,15.375,9.0,5.571,2.5,
2011-01-12,11.924,15.514,3.59,2.584,13.417,,82.0,69.208,58.0,,10.458,8.7,3.904,-0.2,
2011-01-13,10.196,12.37,2.174,5.188,20.417,,76.0,61.083,50.0,,23.25,8.4,5.688,2.1,
2011-01-14,11.833,17.229,5.396,3.417,20.875,,84.0,61.333,38.0,,24.708,11.6,5.296,1.0,
2011-01-15,11.166,13.812,2.646,2.292,10.354,,76.0,64.708,50.0,,11.667,8.2,5.433,2.3,
2011-01-16,5.435,5.674,0.239,1.174,7.23,,92.0,75.417,60.0,,7.708,6.9,5.021,2.9,
2011-01-17,7.188,9.5,2.312,0.562,7.083,,86.0,67.417,41.0,,3.5,12.0,5.667,1.7,
2011-01-18,13.729,15.917,2.188,4.231,13.044,,81.0,63.375,49.0,,12.0,11.0,7.333,3.2,
