date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-01,197.583,17.167,22.084,27.958,5.875,,2.375,19.688,214.75,5.375
2011-01-02,193.917,13.25,15.0,19.208,4.208,,1.708,14.458,207.167,3.958
2011-01-03,189.625,7.958,10.416,14.396,3.98,,1.083,6.312,197.583,3.333
2011-01-04,191.708,11.208,14.208,19.042,4.834,,2.125,11.271,202.917,4.375
2011-01-05,191.565,11.391,18.674,29.022,10.348,,1.304,8.334,202.957,5.391
2011-01-06,192.292,14.792,26.312,47.833,21.52,,1.958,11.604,207.083,6.542
2011-01-07,191.875,9.667,14.916,20.208,5.292,,1.708,6.771,201.542,3.75
2011-01-08,193.25,10.208,14.02,18.146,4.125,,1.542,6.938,203.458,3.625
2011-01-09,198.75,21.083,30.25,50.958,20.708,,3.875,21.062,219.833,6.917
2011-01-10,193.833,19.458,28.188,43.833,15.646,,3.125,20.334,213.292,5.542
2011-01-11,191.583,15.583,23.979,39.562,15.584,,2.958,19.229,207.167,4.75
2011-01-12,193.0,14.818,22.658,41.222,18.564,,2.455,11.608,207.818,5.522
2011-01-13,192.5,21.125,30.146,58.833,28.688,,2.667,15.479,213.625,6.75
2011-01-14,195.042,16.458,21.875,40.875,19.0,,3.042,14.917,211.5,6.375
2011-01-15,197.333,17.583,23.916,37.438,13.52,,4.542,16.583,214.917,6.625
2011-01-16,194.042,13.792,23.875,33.479,9.604,,3.0,17.208,207.833,4.292
2011-01-17,192.609,16.478,28.054,42.87,14.816,,2.783,19.27,209.087,5.609
2011-01-18,197.773,29.136,42.68,83.483,40.803,,5.318,31.341,226.909,8.958
2011-01-19,191.958,16.333,26.042,36.416,10.375,,3.625,26.583,208.292,4.25
2011-01-20,189.667,9.833,13.166,17.188,4.021,,1.583,17.854,199.5,2.917
2011-01-21,188.333,8.083,11.438,15.792,4.354,,1.042,8.792,196.417,2.875
2011-01-22,190.083,11.958,13.834,23.646,9.812,,1.208,9.084,202.042,4.333
