date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean,PM25_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,9.771,12.062,2.292,5.042,42.979,5.333,,7.3,6.546,4.4
2011-01-02,11.5,16.02,4.52,2.208,16.792,4.875,,6.1,4.342,2.0
2011-01-03,8.041,9.771,1.729,5.917,38.792,4.542,,6.3,5.425,3.8
2011-01-04,11.388,15.574,4.185,2.478,24.02,3.75,,5.1,2.833,1.5
2011-01-05,15.354,24.354,9.0,1.208,14.958,3.583,,5.4,3.483,2.3
2011-01-06,25.75,50.438,24.688,1.375,20.042,5.333,,6.3,4.929,3.3
2011-01-07,29.229,71.042,41.812,1.25,19.854,7.583,,7.8,5.325,3.4
2011-01-08,18.979,34.166,15.188,1.375,15.75,5.917,,8.8,6.725,4.2
2011-01-09,21.062,31.458,10.395,7.375,46.458,6.458,,7.9,6.542,4.6
2011-01-10,31.312,70.666,39.354,6.375,65.062,9.5,,7.8,5.708,3.9
2011-01-11,18.64,30.864,12.224,2.5,23.562,4.478,,6.4,4.367,1.0
2011-01-12,20.708,43.229,22.521,1.125,17.375,5.375,,5.6,3.517,1.0
2011-01-13,16.021,26.834,10.812,3.792,29.833,4.542,,6.1,4.9,2.7
2011-01-14,30.938,64.958,34.021,2.542,37.042,7.25,,7.4,5.458,3.4
2011-01-15,28.875,55.667,26.792,2.125,25.0,7.917,,6.9,5.446,3.7
2011-01-16,30.22,73.122,42.902,1.478,21.604,7.458,,6.2,4.9,3.2
2011-01-17,29.48,73.52,44.042,0.708,15.229,7.708,,8.5,5.379,1.8
2011-01-18,31.166,79.5,48.334,2.625,25.479,7.208,,9.0,6.667,3.3
2011-01-19,28.604,67.438,38.834,2.125,24.271,6.167,,7.9,7.392,6.9
2011-01-20,27.458,65.5,38.042,1.833,13.146,6.792,,11.0,8.804,6.8
2011-01-21,27.958,58.416,30.458,1.208,12.916,6.708,,11.2,8.021,5.1
2011-01-22,19.771,32.375,12.605,1.083,18.396,5.25,,7.8,6.175,3.8
2011-01-23,18.646,32.875,14.229,1.125,10.125,3.292,,5.0,3.029,1.4
2011-01-24,16.438,28.458,12.02,1.542,16.146,4.0,,1.6,0.512,-0.4
2011-01-25,19.302,37.26,17.958,2.083,21.792,4.522,,2.4,1.383,0.5
2011-01-26,18.208,31.646,13.438,1.75,11.583,4.5,,2.9,1.554,0.5
2011-01-27,24.917,43.916,19.0,2.667,33.354,6.792,,6.0,3.867,2.4
2011-01-28,28.458,56.75,28.292,3.292,39.542,7.292,,7.7,5.925,2.3
2011-01-29,22.438,36.021,13.584,3.417,25.062,6.375,,8.0,5.192,3.3
2011-01-30,22.07,39.402,17.332,1.957,18.108,4.958,,6.3,4.125,1.8
2011-01-31,30.083,68.146,38.062,4.417,30.854,7.458,,6.1,3.783,1.3
2011-02-01,15.083,22.916,7.834,3.875,36.584,4.833,,7.2,4.621,1.2
2011-02-02,13.771,23.375,9.604,1.125,11.396,3.25,,1.1,-2.446,-4.2
2011-02-03,10.584,16.896,6.312,0.833,13.25,3.458,,2.5,0.092,-2.2
2011-02-04,15.479,24.208,8.729,3.333,28.208,5.167,,5.6,4.008,2.4
2011-02-05,25.042,45.604,20.562,3.958,49.062,7.417,,6.7,4.496,2.1
2011-02-06,30.521,78.36,47.839,3.542,66.375,8.75,,10.0,6.929,5.1
2011-02-07,20.042,30.125,10.084,2.25,29.25,4.958,,7.9,5.704,2.5
2011-02-08,15.275,26.744,11.468,1.125,11.584,3.478,,1.9,-0.292,-1.2
2011-02-09,16.75,30.416,13.666,1.0,13.312,4.333,,3.3,1.733,-0.3
2011-02-10,21.75,42.104,20.354,0.417,13.396,4.542,,5.2,3.667,2.7
2011-02-11,21.938,39.062,17.125,0.208,13.771,5.292,,6.2,3.404,1.3
2011-02-12,24.77,44.896,20.125,0.0,22.708,7.0,,6.9,3.992,0.9
2011-02-13,30.417,71.062,40.646,0.708,23.625,7.125,,6.6,4.775,3.7
2011-02-14,30.104,88.166,58.062,1.0,20.416,8.875,,8.6,6.442,4.8
2011-02-15,31.282,67.305,36.022,1.13,34.02,8.458,,9.1,7.371,5.1
2011-02-16,23.667,46.666,23.0,1.292,17.458,5.417,,7.5,4.904,2.6
2011-02-17,15.708,25.5,9.792,2.042,16.02,3.708,,4.3,2.354,0.9
2011-02-18,12.855,21.333,8.48,1.083,15.5,3.792,,1.0,-0.217,-1.4
2011-02-19,10.5,15.458,4.958,0.5,13.729,3.583,,2.7,0.925,-0.3
2011-02-20,26.208,55.438,29.229,0.174,16.604,6.5,,7.9,3.721,-0.1
2011-02-21,35.833,87.416,51.584,1.292,26.667,7.458,,8.1,5.354,4.0
2011-02-22,29.185,59.756,30.572,1.292,33.77,6.217,,8.0,5.988,4.3
2011-02-23,27.5,55.646,28.146,1.917,27.646,7.417,,12.0,9.571,7.3
2011-02-24,35.458,60.458,25.0,4.25,43.333,7.5,,10.6,7.738,5.9
2011-02-25,25.584,41.416,15.834,2.333,33.584,6.125,,9.0,7.417,6.0
2011-02-26,21.25,32.25,11.0,1.625,14.729,5.833,,6.7,5.158,3.0
2011-02-27,24.584,47.5,22.916,1.042,12.542,5.5,,7.5,4.771,2.6
2011-02-28,29.229,63.292,34.062,1.208,17.312,6.292,,5.4,3.258,0.4
2011-03-01,33.958,92.914,58.956,2.348,32.396,7.833,,9.0,7.512,5.7
