date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,20.146,33.375,13.23,,22.625,199.478,,19.739,219.217
2011-01-02,13.521,22.312,8.792,,17.062,196.435,,10.565,207.0
2011-01-03,11.354,17.084,5.73,,5.562,188.609,,4.652,193.261
2011-01-04,17.5,30.978,13.478,,11.75,193.565,,9.043,202.609
2011-01-05,23.391,39.783,16.391,,7.196,189.591,,8.955,198.545
2011-01-06,33.625,72.229,38.604,,14.583,193.652,,21.522,215.174
2011-01-07,19.292,34.354,15.062,,5.188,188.565,,5.783,194.348
2011-01-08,15.208,24.771,9.562,,7.875,190.217,,17.174,207.391
2011-01-09,28.021,69.625,41.604,,23.042,197.174,,24.652,221.826
2011-01-10,32.396,81.562,49.166,,20.792,194.783,,24.348,219.13
2011-01-11,26.87,71.587,44.717,,21.042,192.348,,19.174,211.522
2011-01-12,29.854,76.896,47.042,,9.812,191.913,,16.913,208.826
2011-01-13,36.875,99.229,62.354,,15.355,192.217,,26.391,218.609
2011-01-14,23.334,49.042,25.708,,11.625,192.957,,15.391,208.348
2011-01-15,22.938,39.375,16.438,,18.042,198.174,,20.565,218.739
2011-01-16,29.792,69.104,39.312,,24.354,196.609,,22.913,219.522
2011-01-17,31.521,81.396,49.875,,21.375,194.652,,21.087,215.739
2011-01-18,40.282,129.652,89.369,,33.104,198.13,,40.739,238.87
2011-01-19,28.771,95.562,66.792,,29.604,195.304,,28.304,223.609
2011-01-20,19.95,33.348,13.398,,13.587,186.727,,5.455,192.182
2011-01-21,20.25,36.75,16.5,,9.688,186.565,,7.13,193.696
2011-01-22,19.583,48.062,28.479,,9.062,195.174,,19.217,214.391
2011-01-23,25.333,101.333,76.0,,18.708,201.826,,33.391,235.217
2011-01-24,28.292,53.666,25.375,,12.938,191.609,,16.957,208.565
2011-01-25,31.978,90.478,58.5,,17.896,192.565,,22.826,215.391
2011-01-26,33.333,93.688,60.354,,14.479,195.087,,19.826,214.913
2011-01-27,37.75,144.416,106.666,,18.334,196.652,,31.609,228.261
2011-01-28,26.75,69.354,42.604,,15.688,193.13,,15.435,208.565
2011-01-29,11.708,17.562,5.854,,8.0,189.217,,6.696,195.913
2011-01-30,29.672,74.024,44.353,,10.674,191.286,,20.333,211.619
2011-01-31,34.75,104.438,69.688,,14.688,194.478,,23.261,217.739
2011-02-01,31.24,96.022,64.783,,13.604,193.739,,19.391,213.13
2011-02-02,20.167,36.062,15.896,,9.166,189.783,,5.609,195.391
2011-02-03,37.542,96.354,58.812,,14.792,193.957,,25.652,219.609
2011-02-04,30.0,72.604,42.604,,15.625,192.435,,18.87,211.304
2011-02-05,18.521,28.292,9.771,,21.042,193.261,,14.348,207.609
2011-02-06,42.292,123.771,81.479,,50.0,198.435,,39.522,237.957
2011-02-07,33.604,90.875,57.271,,39.021,196.87,,32.739,229.609
2011-02-08,25.282,45.848,20.566,,7.834,190.13,,9.522,199.652
2011-02-09,26.688,53.958,27.271,,6.0,189.217,,9.783,199.0
2011-02-10,33.15,80.792,47.644,,16.109,193.81,,26.238,220.048
2011-02-11,20.625,35.792,15.166,,8.916,189.391,,9.783,199.174
2011-02-12,17.812,28.208,10.396,,8.125,190.435,,9.522,199.957
2011-02-13,29.875,59.833,29.958,,22.708,193.304,,22.391,215.696
2011-02-14,38.104,105.042,66.938,,38.52,195.0,,28.652,223.652
2011-02-15,32.935,96.956,64.022,,38.229,196.391,,40.0,236.391
2011-02-16,27.021,44.396,17.375,,18.584,190.435,,13.087,203.522
2011-02-17,25.188,62.292,37.104,,23.166,191.652,,15.391,207.043
