date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,7.625,8.361,0.736,,2.333,7.986,188.625,8.75,197.375
2011-01-02,5.097,5.986,0.889,,1.5,6.403,187.958,9.125,197.083
2011-01-03,3.806,4.153,0.347,,1.334,4.333,185.667,6.333,192.0
2011-01-04,7.315,9.17,1.855,,1.587,7.304,188.25,9.208,197.458
2011-01-05,3.176,3.661,0.486,,1.479,8.5,190.174,7.043,197.217
2011-01-06,20.76,29.714,8.954,,2.074,8.111,190.957,11.739,202.696
2011-01-07,3.472,4.403,0.93,,1.354,7.014,187.875,6.667,194.542
2011-01-08,7.736,8.694,0.958,,1.375,7.903,190.583,8.875,199.458
2011-01-09,8.875,10.389,1.514,,2.23,8.444,190.042,9.25,199.292
2011-01-10,19.583,25.917,6.333,,1.958,7.639,190.042,11.5,201.542
2011-01-11,17.887,27.245,9.358,,1.673,9.85,191.75,14.375,206.125
2011-01-12,8.958,13.819,4.861,,1.625,3.597,187.042,7.583,194.625
2011-01-13,11.099,17.951,6.851,,2.392,8.18,186.435,11.174,197.609
2011-01-14,9.875,16.639,6.764,,1.792,12.611,189.833,10.292,200.125
2011-01-15,10.667,17.167,6.5,,1.958,15.597,189.208,10.792,200.0
2011-01-16,20.861,31.931,11.069,,2.146,12.194,191.25,11.5,202.75
2011-01-17,21.034,30.541,9.507,,2.038,7.839,189.542,12.125,201.667
2011-01-18,20.0,27.444,7.444,,2.64,11.549,188.417,13.292,201.708
2011-01-19,22.37,29.41,7.04,,2.834,8.188,191.85,12.8,204.65
2011-01-20,22.574,33.472,10.899,,2.724,9.403,193.348,14.348,207.696
2011-01-21,15.139,18.75,3.611,,2.312,6.084,189.042,10.5,199.542
2011-01-22,14.611,18.195,3.583,,2.375,5.764,191.458,10.458,201.917
2011-01-23,10.556,14.93,4.375,,1.521,7.986,189.0,12.375,201.375
2011-01-24,16.608,23.303,6.695,,1.674,5.919,191.417,11.5,202.917
2011-01-25,10.903,16.706,5.803,,2.0,4.653,190.417,8.458,198.875
2011-01-26,13.592,22.64,9.049,,2.104,6.458,193.542,13.625,207.167
2011-01-27,11.0,19.333,8.333,,3.078,10.903,189.652,11.87,201.522
2011-01-28,10.678,20.017,9.34,,2.166,10.125,188.208,14.667,202.875
2011-01-29,2.32,5.069,2.75,,1.521,5.653,189.25,5.5,194.75
2011-01-30,9.833,16.82,6.986,,1.958,10.722,188.708,6.667,195.375
2011-01-31,10.464,18.739,8.275,,2.043,7.739,187.696,7.13,194.826
2011-02-01,7.097,10.375,3.278,,2.354,6.208,188.083,6.667,194.75
2011-02-02,3.958,6.347,2.389,,2.292,10.0,188.458,6.792,195.25
2011-02-03,15.688,20.613,4.925,,2.676,6.278,191.609,9.043,200.652
2011-02-04,8.264,10.625,2.361,,2.958,7.819,189.708,6.833,196.542
2011-02-05,14.361,18.486,4.125,,2.646,11.334,194.292,9.542,203.833
2011-02-06,29.319,44.208,14.889,,3.542,16.903,195.958,17.542,213.5
2011-02-07,21.403,33.833,12.431,,2.994,14.653,193.583,13.125,206.708
2011-02-08,9.915,19.001,9.086,,3.279,7.891,187.583,9.875,197.458
2011-02-09,7.472,15.736,8.264,,3.0,4.236,188.0,7.083,195.083
2011-02-10,15.429,24.663,9.235,,3.31,4.375,190.783,8.478,199.261
2011-02-11,12.695,20.833,8.139,,3.396,12.278,190.5,8.792,199.292
2011-02-12,4.806,8.07,3.264,,3.312,9.667,189.708,7.0,196.708
2011-02-13,19.875,28.25,8.375,,4.292,8.667,192.333,10.833,203.167
2011-02-14,32.444,51.583,19.139,,4.125,13.278,197.708,17.792,215.5
2011-02-15,20.175,28.768,8.593,,3.961,21.073,190.958,12.875,203.833
2011-02-16,14.532,20.47,5.938,,3.416,6.952,188.273,7.955,196.227
2011-02-17,13.123,18.098,4.975,,3.342,7.577,190.043,9.261,199.304
2011-02-18,6.056,9.653,3.597,,2.917,7.444,190.833,6.708,197.542
2011-02-19,13.361,17.958,4.597,,3.792,6.292,193.917,8.542,202.458
2011-02-20,21.028,27.666,6.639,,3.98,11.334,193.458,11.625,205.083
2011-02-21,19.194,28.055,8.861,,4.604,15.111,192.75,10.25,203.0
2011-02-22,30.704,40.88,10.176,,5.479,27.889,197.167,14.167,211.333
2011-02-23,24.281,42.145,17.864,,4.006,20.97,198.5,18.75,217.25
2011-02-24,15.421,22.711,7.29,,5.47,28.764,191.652,13.304,204.957
2011-02-25,21.028,28.32,7.291,,3.354,13.056,194.167,12.083,206.25
2011-02-26,8.417,12.32,3.903,,2.875,12.167,191.792,9.5,201.292
2011-02-27,5.399,8.457,3.058,,2.47,9.351,191.217,7.087,198.304
2011-02-28,17.164,21.978,4.814,,2.676,7.75,191.667,8.458,200.125
2011-03-01,23.959,32.27,8.311,,2.5,15.236,193.875,14.875,208.75
2011-03-02,29.839,39.5,9.661,,1.644,14.555,195.304,17.957,213.261
2011-03-03,15.222,17.972,2.75,,1.562,16.236,191.292,9.667,200.958
2011-03-04,9.056,10.556,1.5,,2.084,12.694,191.042,7.833,198.875
2011-03-05,20.389,29.275,8.886,,1.566,9.611,192.083,15.167,207.25
2011-03-06,26.22,40.023,13.803,,1.625,6.708,193.667,18.042,211.708
2011-03-07,12.861,17.181,4.32,,2.438,16.625,192.042,12.958,205.0
2011-03-08,25.237,34.344,9.106,,2.153,12.9,196.0,15.625,211.625
2011-03-09,21.608,26.734,5.126,,2.088,17.583,195.435,13.652,209.087
2011-03-10,14.014,17.0,2.986,,1.312,6.639,193.375,10.833,204.208
2011-03-11,5.236,6.542,1.305,,2.021,7.833,188.583,8.5,197.083
2011-03-12,2.654,3.539,0.885,,1.456,10.961,188.957,6.304,195.261
2011-03-13,7.556,9.75,2.194,,1.562,7.0,190.708,8.375,199.083
2011-03-14,14.75,17.847,3.097,,2.875,8.153,191.583,9.75,201.333
2011-03-15,7.309,8.924,1.616,,2.55,11.806,191.333,8.875,200.208
2011-03-16,16.913,19.682,2.769,,2.716,15.736,192.478,11.565,204.043
2011-03-17,18.028,21.041,3.014,,2.23,12.208,190.0,14.5,204.5
2011-03-18,16.195,19.597,3.403,,1.375,10.32,190.333,13.125,203.458
2011-03-19,9.792,13.361,3.569,,1.604,11.361,188.75,10.708,199.458
2011-03-20,7.472,9.417,1.944,,2.084,9.653,188.625,7.708,196.333
2011-03-21,7.461,8.575,1.114,,1.875,11.145,188.042,7.417,195.458
