date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,PM25_mean
2011-01-01,206.958,20.667,21.125,26.375,5.25,2.8955,28.5625,227.625,
2011-01-02,196.917,11.625,11.0625,13.146,2.0835,1.292,18.458,208.542,
2011-01-03,191.739,8.043,7.146,8.104,0.9585,0.6665,5.2915,199.783,
2011-01-04,195.75,13.708,15.7915,20.729,4.9375,2.604,13.146,209.458,
2011-01-05,191.909,9.227,9.5,10.4545,0.9545,1.636,9.068,201.136,
2011-01-06,199.792,14.917,19.1665,26.7915,7.625,1.333,15.354,214.708,
2011-01-07,200.792,17.125,17.771,27.875,10.104,0.9375,13.6875,217.917,
2011-01-08,198.708,12.667,14.6665,19.333,4.6665,0.875,10.6455,211.375,
2011-01-09,198.826,14.478,16.375,19.4795,3.104,1.417,20.25,213.304,
2011-01-10,196.667,12.542,15.8125,20.417,4.604,1.6875,16.7295,209.208,
2011-01-11,192.917,11.917,14.3335,20.292,5.9585,1.396,15.021,204.833,
2011-01-12,196.522,14.391,14.530000000000001,22.0585,7.528499999999999,0.979,8.8415,210.913,
2011-01-13,203.583,25.958,32.896,60.667,27.771,3.958,22.5415,229.542,
2011-01-14,198.042,14.958,16.583,21.9585,5.375,1.625,10.667,213.0,
2011-01-15,201.478,12.826,15.1875,18.604,3.417,1.4165,20.9375,214.304,
2011-01-16,193.042,8.292,11.396,12.2705,0.875,1.1875,17.3125,201.333,
2011-01-17,190.3,6.3,12.167,14.75,2.5835,1.3955,11.604,196.6,
2011-01-18,197.167,18.0,20.8335,27.7915,6.958,1.3335,19.5835,215.167,
2011-01-19,196.125,20.708,18.521,26.271,7.75,2.5,27.583,216.833,
2011-01-20,190.375,11.167,6.292,6.5625,0.271,1.25,13.6665,201.542,
2011-01-21,190.217,11.957,8.854,9.396,0.542,0.6665,8.6665,202.174,
2011-01-22,193.167,14.5,10.208,12.2915,2.0835,0.5415,9.208,207.667,
2011-01-23,201.625,24.292,16.4585,31.0,14.542000000000002,1.042,13.875,225.917,
2011-01-24,198.833,17.833,14.583,19.6455,5.0625,0.8545,11.3125,216.667,
2011-01-25,201.708,26.708,25.167,41.0625,15.896,2.625,19.917,228.417,
2011-01-26,196.917,16.708,17.932000000000002,22.182,4.25,1.2905000000000002,13.3885,213.625,
2011-01-27,200.043,22.391,22.0415,39.375,17.3335,2.417,18.0625,222.435,
2011-01-28,194.542,15.0,12.1665,13.6875,1.521,1.7915,14.875,209.542,
2011-01-29,193.333,12.375,5.042,5.5415,0.5,1.021,8.479,205.708,
2011-01-30,197.833,16.375,13.1045,19.75,6.646,1.0625,7.9585,214.208,
2011-01-31,201.042,23.042,24.8125,37.1665,12.354,2.7085,17.208,224.083,
2011-02-01,194.792,15.792,10.521,11.646,1.125,2.875,13.917,210.583,
2011-02-02,194.087,13.043,8.7705,9.9375,1.167,1.6455,9.833,207.13,
2011-02-03,202.208,19.333,19.854,27.9375,8.0835,1.9165,11.8545,221.542,
2011-02-04,203.708,23.458,24.1875,35.3955,11.2085,3.0625,16.521,227.167,
2011-02-05,199.042,16.792,11.3125,12.5,1.1875,2.021,18.8125,215.833,
2011-02-06,200.333,24.125,28.646,37.604,8.958,1.25,35.9375,224.458,
2011-02-07,194.75,20.792,19.542,26.0205,6.4795,1.25,27.479,215.542,
2011-02-08,195.261,15.957,13.125,14.1875,1.0625,1.125,9.667,211.217,
2011-02-09,195.591,17.591,17.432000000000002,21.364,3.932,1.841,9.2345,213.182,
2011-02-10,201.0,20.917,22.0625,30.708,8.646,2.375,15.3335,221.917,
2011-02-11,200.083,16.625,11.9375,15.0625,3.125,1.146,14.229,216.708,
2011-02-12,198.375,16.292,11.521,13.5,1.979,1.3545,13.958,214.667,
2011-02-13,198.542,17.958,17.3955,20.979,3.5835,1.4585,15.9585,216.5,
2011-02-14,193.13,17.913,19.5835,21.4795,1.896,0.854,25.75,211.043,
2011-02-15,196.833,25.5,27.3125,35.354,8.0415,1.3125,35.4585,222.333,
2011-02-16,192.583,12.875,9.4375,10.1665,0.7295,1.1665,15.896,205.458,
2011-02-17,192.333,14.417,12.771,14.4375,1.6665,1.521,16.979,206.75,
2011-02-18,192.75,12.417,6.625,7.5415,0.9165,1.0205,9.8955,205.167,
2011-02-19,202.333,18.75,14.6455,17.5625,2.9165,1.5205,12.2705,221.083,
2011-02-20,204.261,18.696,17.3125,22.75,5.4375,1.4585,15.104500000000002,222.957,
2011-02-21,207.208,23.5,23.8545,34.104,10.25,2.25,18.4165,230.708,
2011-02-22,194.167,14.208,10.354,11.083,0.729,2.3125,26.771,208.375,
2011-02-23,197.909,25.182,30.386499999999998,46.568,16.182,3.0,32.079499999999996,223.091,
2011-02-24,198.5,8.875,9.354,9.7915,0.4375,3.271,23.625,207.375,
2011-02-25,190.208,8.292,10.6045,11.229,0.625,1.0,15.6875,198.5,
2011-02-26,192.609,8.739,8.4375,9.0415,0.604,1.104,11.854,201.348,
2011-02-27,191.333,5.792,6.7705,7.3955,0.625,0.9375,10.229,197.125,
2011-02-28,192.458,6.375,6.6045,7.146,0.5415,1.3955,11.875,198.833,
2011-03-01,192.458,10.583,16.25,18.2085,1.9585,0.9375,22.200499999999998,203.042,
2011-03-02,191.083,8.042,11.771,12.375,0.6045,1.458,14.1665,199.125,
2011-03-03,191.87,6.87,6.729,7.146,0.417,1.7085,13.208,198.739,
2011-03-04,191.75,6.292,5.479,5.625,0.14600000000000002,1.2085,16.521,198.042,
2011-03-05,194.708,13.917,21.396,26.1875,4.792,1.083,12.7085,208.625,
2011-03-06,202.375,13.375,17.0415,21.8125,4.771,1.1045,24.229,215.75,
2011-03-07,193.25,8.208,8.9375,9.625,0.6875,1.146,21.5,201.458,
2011-03-08,189.739,6.261,7.1335,7.5045,0.3705,1.0645,13.421,196.0,
2011-03-09,189.478,6.609,6.7044999999999995,7.2515,0.547,0.5415,11.3125,196.087,
2011-03-10,189.75,5.667,4.9585,5.5205,0.5625,0.771,6.0625,195.417,
2011-03-11,192.5,6.625,6.083,6.9375,0.854,1.375,11.5625,199.125,
2011-03-12,191.958,8.458,9.1875,11.125,1.9375,1.6045,7.4165,200.417,
2011-03-13,193.348,8.696,10.104,11.4165,1.3125,1.0415,9.667,202.043,
2011-03-14,204.846,15.846,12.646,14.771,2.125,1.6875,9.7915,220.692,
2011-03-15,199.739,18.435,14.5625,20.521,5.9585,2.0,16.75,218.174,
2011-03-16,199.958,15.625,12.146,13.8545,1.7085,1.271,15.895499999999998,215.583,
2011-03-17,196.667,14.708,15.082999999999998,22.8335,7.75,0.9375,17.9585,211.375,
2011-03-18,196.0,19.125,17.229,20.1045,2.875,1.458,31.125,215.125,
2011-03-19,193.375,14.458,10.9165,12.146,1.229,1.167,13.645499999999998,207.833,
2011-03-20,196.292,13.833,10.625,11.771,1.146,1.2295,14.1455,210.125,
2011-03-21,196.217,14.739,12.8335,14.333,1.5,1.0625,13.0415,210.957,
2011-03-22,202.917,24.958,30.746,37.439499999999995,6.6935,4.055,26.646,227.875,
2011-03-23,207.5,21.583,21.646,29.458,7.8125,1.2295,33.9375,229.083,
2011-03-24,194.875,15.208,12.4375,17.3125,4.875,0.5,10.75,210.083,
2011-03-25,195.708,16.333,10.8125,13.5625,2.75,1.479,10.7085,212.042,
2011-03-26,197.792,15.625,12.5835,14.604500000000002,2.021,1.0,12.2085,213.417,
