date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,191.958,79.0,62.417,39.0,12.583,13.706,17.913,4.208,17.292,3.087,15.958,7.9,3.483,-0.3,204.542,5.5
2011-01-02,188.25,87.0,61.417,38.0,8.417,7.75,9.875,2.125,7.25,2.625,9.979,10.2,4.908,1.7,196.667,4.125
2011-01-03,187.167,71.0,56.625,39.0,7.917,10.204,14.168,3.964,10.375,2.042,10.875,9.0,5.146,2.9,195.083,3.391
2011-01-04,188.875,85.0,53.958,32.0,7.667,8.188,11.938,3.75,22.542,4.625,22.792,8.9,4.371,0.9,196.542,3.875
2011-01-05,189.417,93.0,78.083,59.0,9.25,18.208,32.646,14.438,5.708,1.667,9.667,6.0,2.038,0.2,198.667,4.833
2011-01-06,191.208,82.0,67.333,43.0,14.917,25.479,51.375,25.896,13.25,2.792,14.458,9.3,4.329,0.9,206.125,5.542
2011-01-07,189.583,67.0,52.917,33.0,7.667,13.062,21.334,8.27,5.625,1.958,7.958,8.2,4.362,1.1,197.25,3.542
2011-01-08,190.75,72.0,52.375,35.0,8.542,12.084,18.166,6.083,6.75,2.083,7.979,8.8,3.808,0.5,199.292,4.042
2011-01-09,190.75,68.0,60.708,49.0,9.958,13.646,17.875,4.229,12.083,3.333,12.562,10.1,4.808,1.2,200.708,4.042
2011-01-10,190.565,84.0,65.042,43.0,12.609,24.104,49.458,25.354,18.875,2.708,18.25,11.7,5.904,1.5,203.174,6.25
2011-01-11,189.958,80.0,58.625,39.0,11.667,20.682,40.777,20.096,19.458,3.261,19.625,11.0,5.133,1.2,201.625,5.333
2011-01-12,189.667,76.0,50.708,32.0,10.167,17.979,30.312,12.334,8.875,2.333,9.938,7.2,1.979,-0.9,199.833,4.833
2011-01-13,190.042,74.0,59.833,38.0,11.167,22.173,45.521,23.348,14.208,4.667,15.542,9.8,4.412,0.0,201.208,4.087
2011-01-14,190.458,80.0,62.833,46.0,7.75,11.938,17.52,5.584,12.417,3.042,12.625,7.9,5.125,3.0,198.208,3.5
2011-01-15,188.292,73.0,59.458,46.0,5.417,8.625,12.708,4.084,8.292,2.042,9.458,8.7,5.65,3.9,193.708,2.958
2011-01-16,189.818,78.0,50.458,38.0,9.818,19.396,30.666,11.271,14.458,2.292,13.979,6.3,4.329,2.6,199.636,3.75
2011-01-17,190.292,84.0,59.625,32.0,11.5,26.771,59.542,32.77,12.667,2.125,13.75,10.4,4.583,0.9,201.792,4.542
2011-01-18,189.833,76.0,59.625,41.0,13.083,26.292,48.729,22.438,20.208,4.417,18.166,9.1,3.996,-0.6,202.917,4.958
2011-01-19,188.292,91.0,68.792,42.0,11.042,26.062,47.333,21.271,16.375,4.25,16.75,8.3,4.629,2.7,199.333,4.875
2011-01-20,187.783,93.0,87.75,77.0,14.174,24.708,36.792,12.083,9.542,1.958,10.938,8.4,6.346,4.4,201.957,4.708
2011-01-21,189.708,93.0,88.458,76.0,14.625,23.618,30.865,7.248,10.833,2.261,11.396,7.9,6.562,5.6,204.333,4.75
2011-01-22,187.75,91.0,71.583,47.0,10.542,11.875,17.583,5.708,6.25,1.792,7.584,13.2,7.338,3.0,198.292,4.458
2011-01-23,188.208,72.0,60.792,44.0,8.458,14.777,27.068,12.292,4.917,1.333,7.583,11.8,7.412,3.0,196.667,3.609
2011-01-24,188.375,63.0,51.458,37.0,8.125,15.562,31.458,15.896,4.792,1.292,7.562,7.7,3.858,1.2,196.5,3.417
2011-01-25,189.083,65.0,48.0,30.0,8.167,17.208,33.042,15.834,12.833,2.167,13.438,7.2,2.583,0.5,197.25,4.042
2011-01-26,191.043,92.0,70.955,47.0,8.217,15.479,27.646,12.166,6.273,1.542,7.604,4.8,1.373,-0.7,199.261,3.75
2011-01-27,191.333,85.0,61.5,44.0,10.458,20.98,38.834,17.854,14.625,2.75,15.562,8.3,3.071,-0.3,201.792,5.125
2011-01-28,190.708,90.0,68.125,45.0,9.458,14.98,22.5,7.521,13.125,2.917,15.166,6.7,3.025,0.8,200.167,4.583
2011-01-29,190.542,64.0,50.75,34.0,7.042,7.938,10.188,2.25,6.958,1.917,8.438,7.7,2.512,-0.6,197.583,3.542
2011-01-30,191.348,78.0,59.583,35.0,8.522,17.834,35.604,17.771,7.042,1.708,9.521,7.2,2.342,-1.5,199.87,4.625
2011-01-31,189.833,89.0,64.833,38.0,8.5,16.72,27.466,10.746,6.375,1.478,8.188,7.8,2.333,-1.5,198.333,4.458
2011-02-01,190.458,89.0,71.333,50.0,10.167,22.0,41.666,19.666,11.417,4.0,14.0,4.7,0.846,-2.7,200.625,5.5
2011-02-02,190.167,91.0,74.375,57.0,6.25,14.892,28.096,13.204,5.208,1.708,8.75,0.2,-0.942,-3.0,196.417,3.391
2011-02-03,193.667,90.0,75.708,51.0,13.917,30.062,54.375,24.312,9.792,1.958,11.52,4.1,-0.392,-3.4,207.583,4.625
2011-02-04,192.75,89.0,63.958,38.0,11.333,20.146,32.584,12.438,17.625,4.292,21.042,7.7,2.183,-3.0,204.083,4.958
2011-02-05,192.458,85.0,63.708,44.0,11.333,13.042,16.125,3.084,22.542,3.417,23.188,8.3,4.883,1.9,203.792,4.333
2011-02-06,192.875,95.0,89.708,83.0,13.583,26.979,34.604,7.625,23.292,3.625,23.521,5.6,4.15,2.7,206.458,5.25
2011-02-07,190.167,95.0,78.5,62.0,12.042,20.688,33.292,12.604,10.167,2.417,12.666,9.8,7.212,5.0,202.208,5.542
2011-02-08,187.5,68.0,53.708,42.0,6.625,10.416,17.979,7.562,4.75,1.5,9.084,6.8,2.958,0.0,194.125,3.792
2011-02-09,189.261,64.0,51.5,36.0,7.0,12.084,21.188,9.105,7.75,1.667,10.062,7.1,1.754,-1.5,196.261,4.167
2011-02-10,189.208,81.0,56.25,32.0,8.625,17.101,35.297,18.196,8.25,1.696,9.958,8.3,3.521,-0.6,197.833,4.583
