date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-01,11.9585,14.451333333333332,2.493,0.5415,,12.042,,,,,,,190.826,17.304,208.13,3.375
2011-01-02,5.305666666666666,6.3806666666666665,1.0748333333333333,0.60625,,8.375,,,,,,,186.826,7.87,194.696,2.826
2011-01-03,5.486166666666667,6.4585,0.972,0.36475,,4.167,,,,,,,185.652,7.783,193.435,2.333
2011-01-04,5.924333333333333,6.680666666666667,0.7566666666666667,3.90625,,19.875,,,,,,,187.652,6.478,194.13,3.75
2011-01-05,7.880857142857143,9.376428571428573,1.4949999999999999,0.753,,3.083,,,,,,,186.957,7.043,194.0,2.5
2011-01-06,18.233,23.031,4.798,1.17725,,8.083,,,,,,,186.478,11.174,197.652,3.708
2011-01-07,9.910714285714286,12.315428571428571,2.4047142857142854,0.33325,,3.167,,,,,,,187.304,8.652,195.957,2.25
2011-01-08,7.797714285714286,8.892714285714286,1.0952857142857142,0.552,,2.583,,,,,,,186.652,8.0,194.652,2.208
2011-01-09,13.228428571428571,16.043857142857142,2.8154285714285714,1.53575,,9.458,,,,,,,187.435,11.783,199.217,2.87
2011-01-10,21.51928571428571,27.955142857142853,6.435857142857143,1.6785,,12.917,,,,,,,187.565,13.87,201.435,3.739
2011-01-11,17.173714285714286,23.204285714285714,6.030285714285715,2.177,,14.792,,,,,,,187.087,12.739,199.826,3.5
2011-01-12,11.190285714285713,13.724285714285713,2.534142857142857,0.6232500000000001,,3.292,,,,,,,186.095,8.524,194.619,2.625
2011-01-13,19.876,34.89142857142857,15.015285714285714,1.7085,,10.875,,,,,,,188.609,19.478,208.087,3.75
2011-01-14,10.273714285714286,12.934571428571429,2.6608571428571426,2.5625,,10.25,,,,,,,188.522,9.565,198.087,3.708
2011-01-15,7.791714285714286,9.67842857142857,1.8868571428571428,0.875,,5.75,,,,,,,186.217,7.826,194.043,2.458
2011-01-16,18.427,29.451999999999998,11.024714285714285,0.7545,,9.167,,,,,,,188.043,15.391,203.435,3.739
2011-01-17,20.708428571428573,35.428714285714285,14.720142857142857,0.7497499999999999,,10.292,,,,,,,187.391,16.348,203.739,3.208
2011-01-18,23.255714285714284,46.824571428571424,23.569,1.08325,,15.792,,,,,,,191.435,28.696,220.13,3.667
2011-01-19,16.621285714285715,29.982,13.360857142857144,0.53125,,7.708,,,,,,,186.652,21.261,207.913,2.792
2011-01-20,20.232428571428574,28.29457142857143,8.062142857142858,0.10425,,2.208,,,,,,,184.217,13.609,197.826,3.458
2011-01-21,17.589285714285715,24.928571428571427,7.339285714285714,0.0415,,1.333,,,,,,,186.0,13.217,199.217,2.917
2011-01-22,11.850999999999999,14.803571428571429,2.9525714285714284,0.52075,,0.792,,,,,,,185.652,12.435,198.087,2.75
2011-01-23,11.512428571428572,14.61542857142857,3.103,1.013,,1.792,,,,,,,185.826,9.957,195.783,2.706
2011-01-24,11.554999999999998,14.600285714285715,3.045714285714286,0.86575,,1.042,,,,,,,186.87,9.478,196.348,2.739
2011-01-25,12.430571428571428,15.051142857142858,2.6207142857142856,1.7915,,8.0,,,,,,,185.87,9.87,195.739,3.125
2011-01-26,14.09457142857143,17.134857142857143,3.0402857142857145,1.22275,,4.708,,,,,,,188.217,10.609,198.826,3.083
2011-01-27,19.037285714285712,27.762,8.724714285714287,2.4375,,12.917,,,,,,,189.522,18.217,207.739,4.75
2011-01-28,14.732142857142858,18.339285714285715,3.6072857142857138,2.29175,,12.708,,,,,,,187.609,11.348,198.957,3.458
2011-01-29,4.535714285714286,5.654714285714285,1.1192857142857142,1.031,,2.875,,,,,,,186.304,5.478,191.783,2.125
2011-01-30,12.367857142857144,16.12385714285714,3.7561428571428572,1.2690000000000001,,3.083,,,,,,,187.478,9.739,197.217,3.13
2011-01-31,18.803571428571427,24.261714285714284,5.458428571428572,1.08325,,5.292,,,,,,,187.043,12.783,199.826,3.167
2011-02-01,17.06742857142857,30.365000000000002,13.297428571428572,1.7605,,8.25,,,,,,,186.13,12.043,198.174,3.083
