date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean,PM25_mean
2011-01-01,14.875,24.042,9.167,,14.625,,
2011-01-02,11.375,19.167,7.792,,10.542,,
2011-01-03,15.458,24.833,9.375,,7.625,,
2011-01-04,16.375,30.0,13.625,,13.083,,
2011-01-05,24.348,68.696,44.348,,9.13,,
2011-01-06,30.0,88.458,58.458,,11.0,,
2011-01-07,21.522,81.913,60.391,,9.958,,
2011-01-08,18.5,42.542,24.042,,8.208,,
2011-01-09,23.958,55.542,31.583,,16.083,,
2011-01-10,28.167,89.833,61.667,,19.792,,
2011-01-11,22.208,67.875,45.667,,15.125,,
2011-01-12,23.083,60.667,37.583,,8.125,,
2011-01-13,30.625,76.417,45.792,,13.042,,
2011-01-14,21.375,59.042,37.667,,16.583,,
2011-01-15,18.696,40.13,21.435,,13.875,,
2011-01-16,26.792,70.25,43.458,,13.458,,
2011-01-17,27.083,69.625,42.542,,15.125,,
2011-01-18,33.333,113.875,80.542,,19.083,,
2011-01-19,33.833,97.083,63.25,,16.708,,
2011-01-20,27.739,60.739,33.0,,11.625,,
2011-01-21,20.333,40.917,20.583,,10.542,,
2011-01-22,16.833,42.333,25.5,,11.292,,
2011-01-23,16.043,55.478,39.435,,7.417,,
2011-01-24,23.25,58.458,35.208,,6.333,,
2011-01-25,29.042,68.708,39.667,,13.042,,
2011-01-26,26.375,61.792,35.417,,9.125,,
2011-01-27,28.958,74.167,45.208,,17.083,,
2011-01-28,21.833,62.542,40.708,,15.625,,
2011-01-29,14.375,28.667,14.292,,10.417,,
2011-01-30,27.542,70.625,43.083,,9.458,,
2011-01-31,30.304,102.391,72.087,,11.583,,
2011-02-01,26.083,61.667,35.583,,12.5,,
2011-02-02,20.875,44.75,23.875,,9.792,,
2011-02-03,29.458,80.0,50.542,,12.667,,
2011-02-04,25.833,69.208,43.375,,18.333,,
2011-02-05,20.25,43.667,23.417,,20.667,,
2011-02-06,32.667,87.375,54.708,,21.542,,
2011-02-07,32.043,90.478,58.435,,13.87,,
2011-02-08,21.478,46.087,24.609,,7.667,,
2011-02-09,23.333,46.917,23.583,,8.292,,
2011-02-10,25.667,52.208,26.542,,11.292,,
2011-02-11,21.833,57.708,35.875,,11.875,,
2011-02-12,18.167,37.75,19.583,,10.708,,
2011-02-13,26.5,54.375,27.875,,11.625,,
2011-02-14,33.208,99.167,65.958,,16.417,,
2011-02-15,25.417,50.958,25.542,,14.583,,
2011-02-16,30.826,74.391,43.565,,14.25,,
2011-02-17,24.25,49.75,25.5,,9.333,,
2011-02-18,15.167,31.792,16.625,,8.75,,
2011-02-19,20.667,42.083,21.417,,9.375,,
2011-02-20,29.042,79.167,50.125,,11.708,,
2011-02-21,34.304,93.739,59.435,,15.25,,
2011-02-22,34.792,88.5,53.708,,25.75,,
2011-02-23,27.833,57.458,29.625,,21.625,,
2011-02-24,33.435,70.913,37.478,,28.75,,
2011-02-25,27.917,49.625,21.708,,27.583,,
2011-02-26,12.875,27.208,14.333,,9.542,,
2011-02-27,15.208,32.083,16.875,,9.542,,
